,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,€,desc_en
20,20,17-08-2020 02:24:18,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,2,нет,Тбилиси,1 гр,0.0048,4173,1573,140,57.0,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
21,21,17-08-2020 02:24:18,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,9,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,Auto Amnesia Haze 1 gr
22,22,17-08-2020 02:24:18,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,1,нет,Тбилиси,1 гр,0.0046,4027,1518,135,55.0,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
23,23,17-08-2020 02:24:18,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3661,1380,123,50.0,,,,,,,,,,VHQ Hybrid MJ Buds 1G
24,24,17-08-2020 02:24:18,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,2 гр,0.0083,7248,2732,243,99.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
25,25,17-08-2020 02:24:18,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0089,7761,2926,260,106.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
26,26,17-08-2020 02:24:18,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0083,7248,2732,243,99.0,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
27,27,17-08-2020 02:24:18,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
28,28,17-08-2020 02:24:18,Tbilisi,7918572a66,2G TYson Budds Скидка 5%,True,7,нет,Тбилиси,2 гр,0.006,5711,2153,192,78.0,True,,,,,,,,,2G TYson Budds Skidka 5%
29,29,17-08-2020 02:24:18,Tbilisi,e56bb6ca93,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,2,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86.0,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
30,30,17-08-2020 02:24:18,Tbilisi,0dec0e1c48,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,3,нет,Тбилиси,2 гр,0.0073,6297,2374,211,86.0,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
31,31,17-08-2020 02:24:18,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,2,нет,Тбилиси,2 гр,0.0093,8054,3036,270,110.0,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
32,32,17-08-2020 02:24:18,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6589,2484,221,90.0,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
33,33,17-08-2020 02:24:18,Tbilisi,dd631c4acf,👽🤩🌈️‍NEW!!!! 3 LSD 250ug.🌈️‍🤩👽,True,1,нет,Тбилиси,3 гр,0.0127,10909,4112,366,149.0,,,,,,,,,,👽🤩🌈️‍NEW!!!! 3 LSD 250ug.🌈️‍🤩👽
34,34,17-08-2020 02:24:18,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0045,4027,1518,135,55.0,True,,,,,,,,,Suboxene 4mg
35,35,17-08-2020 02:24:18,Tbilisi,509c9eb778,Метадон VHQ 0.5гр,True,2,нет,Тбилиси,0.5 гр,0.0359,32508,12254,1091,444.0,,,,,,,,,,Metadon VHQ 0.5gr
36,36,17-08-2020 02:25:21,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0044,4027,1518,135,55.0,True,,,,,,,,,Suboxene 4mg
37,37,17-08-2020 02:25:21,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0202,17572,6624,590,240.0,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
38,38,17-08-2020 02:25:21,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,1,нет,Тбилиси,5 гр,0.021,18304,6900,614,250.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,17-08-2020 02:25:21,Tbilisi,52fe6d0af9,Subotex From France B8 VHQ 1pc,True,нет,5,Тбилиси,1 гр,0.0193,16840,6348,565,230.0,,,,,,,,,,Subotex From France B8 VHQ 1pc
40,40,17-08-2020 02:25:21,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.021,18304,6900,614,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,41,17-08-2020 02:25:21,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,5,Тбилиси,5 гр,0.0227,19768,7452,663,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
42,42,17-08-2020 02:25:21,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0231,20134,7590,676,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
43,43,17-08-2020 02:25:21,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0202,17572,6624,590,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,17-08-2020 02:25:21,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20500,7728,688,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,17-08-2020 02:25:21,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0227,19768,7452,663,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,46,17-08-2020 02:25:21,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0167,16034,6044,538,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,17-08-2020 02:25:21,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17572,6624,590,240.0,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
48,48,17-08-2020 02:25:21,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.021,18304,6900,614,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,17-08-2020 02:25:21,Tbilisi,52fe6d0af9,Subotex From France B8 VHQ 5pc,True,нет,2,Тбилиси,5 гр,0.0909,79073,29808,2653,1080.0,,,,,,,,,,Subotex From France B8 VHQ 5pc
50,50,17-08-2020 02:25:21,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1985,190000,87429,6381,,,,,,,,,,,reagent 25i nbome. 5gr
51,51,17-08-2020 02:25:21,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2294,219647,82800,7369,3000.0,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,52,17-08-2020 02:25:21,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 250ug.🤩🌈️🌈️🧚‍♂️,True,нет,9,Тбилиси,5 гр,0.0195,16766,6320,563,229.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 250ug.🤩🌈️🌈️🧚‍♂️
53,53,17-08-2020 02:25:21,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0463,40269,15180,1351,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,54,17-08-2020 02:25:21,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0353,30751,11592,1032,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,17-08-2020 02:25:21,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0673,58573,22080,1965,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,17-08-2020 02:25:21,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1872,162905,61410,5465,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,17-08-2020 02:25:21,Tbilisi,dd631c4acf,🧚‍♂️🌈️👽 10 LSD 250ug.👽🌈️🧚‍♂️,True,нет,5,Тбилиси,10 гр,0.0331,28481,10736,956,389.0,,,,,,,,,,🧚‍♂️🌈️👽 10 LSD 250ug.👽🌈️🧚‍♂️
58,58,17-08-2020 02:25:21,Tbilisi,9610a68a0a,GABAGAMA 40 SHTUK,True,нет,5,Тбилиси,40 гр,0.0042,3661,1380,123,50.0,,,,,,,,,,GABAGAMA 40 SHTUK
59,59,17-08-2020 02:25:21,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2019,175718,66240,5895,2400.0,,,,,,,,,,100 gr marijuana buds
60,60,17-08-2020 02:25:21,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0083,7248,2732,243,99.0,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
61,61,17-08-2020 02:25:21,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2103,183039,69000,6141,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,62,17-08-2020 02:25:21,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4963,431973,162840,14493,5900.0,,,,,,,,,,180 gr marihuana persoalno
63,63,17-08-2020 02:25:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7151,622333,234600,20879,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,17-08-2020 02:25:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0168,14643,5520,491,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,17-08-2020 02:25:21,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.021,18304,6900,614,250.0,,,,,,,,,,Rabota na marki (kur'er)
66,66,17-08-2020 02:25:21,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
67,67,17-08-2020 02:25:21,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0421,36608,13800,1228,500.0,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
68,68,17-08-2020 02:25:21,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0062,5638,2125,189,77.0,,,,,,,,,,RoSS Uboj 2gr
69,69,17-08-2020 02:25:21,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2447,234290,88320,7860,3200.0,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
70,70,17-08-2020 02:25:21,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
71,71,17-08-2020 02:25:21,Tbilisi,98f436eeb7,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0084,7322,2760,246,100.0,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
72,72,17-08-2020 02:26:27,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0421,36608,13800,1228,500.0,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
73,73,17-08-2020 02:28:46,Batumi,3c9bc6f8e9,Critical + 2.0 Grinded Moonrocks (измельченные мунроки) 5гр,,2,нет,Батуми,5 гр,0.0229,21892,8252,734,299.0,,,,,,,True,,,Critical + 2.0 Grinded Moonrocks (izmel'chennye munroki) 5gr
74,74,17-08-2020 02:28:46,Batumi,75738ec358,ASTRAL 10g,,1,нет,Батуми,10 гр,0.0512,45394,17112,1523,620.0,,,,,,,,True,,ASTRAL 10g
75,75,17-08-2020 02:28:46,Batumi,3c9bc6f8e9,Critical + 2.0 Grinded Buds (измельченные шишки) 15гр,,1,нет,Батуми,15 гр,0.0498,47590,17940,1597,650.0,,,,,,,True,,,Critical + 2.0 Grinded Buds (izmel'chennye shishki) 15gr
76,76,17-08-2020 02:28:46,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0401,34477,13007,1157,,,,,,,,True,,399.0,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
77,77,17-08-2020 02:28:46,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0392,33700,12714,1131,,,,,,,,True,,390.0,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
78,78,17-08-2020 02:28:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18304,6900,614,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,17-08-2020 02:28:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18304,6900,614,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,17-08-2020 02:28:46,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14643,5520,491,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
81,81,17-08-2020 02:28:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2767,1098236,414000,36846,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
82,82,17-08-2020 02:28:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0422,36608,13800,1228,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
