,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
30,30,18-02-2020 15:57:18,Tbilisi,61df6a1c90,Метадон 1гр,True,4,нет,Тбилиси,1 гр,0.040999999999999995,28696,11030,987,450.0,,,,,,,,,,,Metadon 1gr
31,31,18-02-2020 15:58:01,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.04,25508,9804,878,400.0,,,,,,,,,,,"Metadon, 1gr"
32,32,18-02-2020 15:58:01,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,3,нет,Тбилиси,1.3 гр,0.0551,35073,13481,1207,550.0,,,,,,,,,,,Methadone HQ in city 1.3g
33,33,18-02-2020 15:58:01,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,1,нет,Тбилиси,2 гр,0.008,5038,1936,173,79.0,,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
34,34,18-02-2020 15:58:01,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,2 гр,0.0077,5420,2083,187,85.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
35,35,18-02-2020 15:58:01,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,4,нет,Тбилиси,2 гр,0.0082,5229,2010,180,82.0,True,True,,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
36,36,18-02-2020 15:58:01,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,8,нет,Тбилиси,2 гр,0.0077,5038,1936,173,79.0,,True,,,,,,,,,2G -- AK-47 -> Sativa
37,37,18-02-2020 15:58:01,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.008,5038,1936,173,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
38,38,18-02-2020 15:58:01,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.0364,22957,8824,790,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
39,39,18-02-2020 15:58:01,Tbilisi,7ee4f68218,2гр ГАШИШ,True,1,нет,Тбилиси,2 гр,0.0106,7015,2696,241,110.0,,,,,,,,,,,2gr GAShISh
