,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
12,12,02-04-2020 09:04:10,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.114,69959,25245,2338,900.0,True,,,,,,,,Metadon 1gr
13,13,02-04-2020 09:04:10,Tbilisi,83f3d55917,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %,,4,нет,Тбилиси,1 гр,0.0051,3109,1122,104,40.0,True,,,,,,,,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %
14,14,02-04-2020 09:04:10,Tbilisi,e56bb6ca93,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,1,нет,Тбилиси,2 гр,0.011000000000000001,6141,2216,205,79.0,,True,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
15,15,02-04-2020 09:04:10,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0099,5441,1964,182,70.0,True,,,,,,,,2x Extasy Duracell 223mg MDMA.
16,16,02-04-2020 09:04:10,Tbilisi,bb1791277e,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,3,нет,Тбилиси,2 гр,0.0067,3731,1346,125,48.0,True,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
17,17,02-04-2020 09:04:10,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0456,27984,10098,935,360.0,True,,,,,,,,Cocaine Pure VHQ 2 g
18,18,02-04-2020 09:04:10,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,21,нет,Тбилиси,2 гр,0.0044,2721,982,91,35.0,True,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
19,19,02-04-2020 09:04:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0044,2721,982,91,35.0,True,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
20,20,02-04-2020 09:04:10,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0153,8473,3057,283,109.0,True,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
21,21,02-04-2020 09:04:10,Tbilisi,4be7861731,metadon hydrochloride 4г,,1,нет,Тбилиси,4 гр,0.0077,4275,1543,143,55.0,,True,,,,,,,metadon hydrochloride 4g
22,22,02-04-2020 09:04:10,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0428,24874,8976,831,320.0,True,,,,,,,,"5 Grm MDMA , Purity A +++"
23,23,02-04-2020 09:04:10,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0414,23320,8415,779,300.0,True,,,,,,,,5 Grm Mdma Pure Quality A +++
24,24,02-04-2020 09:04:10,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,7,нет,Тбилиси,5 гр,0.023,12826,4628,429,165.0,True,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
25,25,02-04-2020 09:04:10,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0339,19720,7061,655,,True,,230.0,,,,,,5 gr mdma (skidka v bitkoin 5%)
26,26,02-04-2020 09:04:10,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,6,нет,Тбилиси,5 гр,0.0236,13137,4740,439,169.0,True,,,,,,,,5gr Stardawg Auto WEED BUDS
27,27,02-04-2020 09:04:10,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.0246,13603,4909,455,175.0,True,,,,,,,,5x Extasy Duracell 223mg MDMA.
28,28,02-04-2020 09:04:10,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,1,нет,Тбилиси,5 гр,0.1012,62108,22412,2075,799.0,True,,,,,,,,Cocaine Pure VHQ 5g.
29,29,02-04-2020 09:04:10,Tbilisi,688dd1cbd1,Ketamine S 5grm(Netherlands) Purity 87%,,1,нет,Тбилиси,5 гр,0.069,38866,14025,1299,500.0,True,,,,,,,,Ketamine S 5grm(Netherlands) Purity 87%
30,30,02-04-2020 09:04:10,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.006999999999999999,4275,1543,143,55.0,True,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,02-04-2020 09:04:10,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.0101,6219,2244,208,80.0,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
32,32,02-04-2020 09:04:10,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,1,нет,Тбилиси,10 гр,0.0333,18578,6704,621,239.0,,True,,,,,,,10 gr marijuana buds. -indica-
33,33,02-04-2020 09:04:10,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0556,31015,11192,1036,399.0,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
34,34,02-04-2020 09:05:02,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0372,20755,7489,693,267.0,True,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
35,35,02-04-2020 09:05:02,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0535,31093,11220,1039,400.0,True,,,,,,,,gashish evro 10g
36,36,02-04-2020 09:05:02,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1039,60398,21795,2018,777.0,True,,,,,,,,Gashish Evro 20gr
37,37,02-04-2020 09:05:02,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2534,155465,56100,5195,2000.0,True,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
38,38,02-04-2020 09:05:02,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0352,19433,7013,649,250.0,True,,,,,,,,METADON - 0.25 G.
39,39,02-04-2020 09:05:02,Tbilisi,54915c4374,MDMA 1 гр,,нет,5,Тбилиси,1 гр,0.013999999999999999,8574,3070,285,,True,,100.0,,,,,,MDMA 1 gr
40,40,02-04-2020 09:05:02,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.1056,58299,21038,1948,750.0,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
41,41,02-04-2020 09:05:02,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0282,15547,5610,519,200.0,True,,,,,,,,✨✨2gram. MDMA✨✨
42,42,02-04-2020 09:05:02,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0519,28683,10350,958,369.0,True,,,,,,,,❄❄2g HQ COCAINE❄❄
43,43,02-04-2020 09:05:02,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0831,45862,16550,1532,590.0,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,02-04-2020 09:05:02,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0558,31093,11220,1039,400.0,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,02-04-2020 09:05:02,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0223,12437,4488,416,160.0,True,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
46,46,02-04-2020 09:05:02,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0767,42753,15428,1429,550.0,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,02-04-2020 09:05:02,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0236,13137,4740,439,169.0,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
48,48,02-04-2020 09:05:02,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0237,13215,4769,442,170.0,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,49,02-04-2020 09:05:02,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0277,15469,5582,517,199.0,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,02-04-2020 09:05:02,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0277,15469,5582,517,199.0,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,02-04-2020 09:05:02,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0277,15469,5582,517,199.0,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,02-04-2020 09:05:02,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0278,17023,6143,569,219.0,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,02-04-2020 09:05:02,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0422,23320,8415,779,300.0,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
54,54,02-04-2020 09:05:02,Tbilisi,f8a875c191,METADON - 5 G.,,нет,15,Тбилиси,5 гр,0.2112,116599,42075,3896,1500.0,True,,,,,,,,METADON - 5 G.
55,55,02-04-2020 09:05:02,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0277,15469,5582,517,199.0,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,56,02-04-2020 09:05:02,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0253,15547,5610,519,200.0,True,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
57,57,02-04-2020 09:05:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3097,190000,87429,6245,,True,,,,,,,,reagent 25i nbome. 5gr
58,58,02-04-2020 09:05:02,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3801,233198,84150,7792,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,02-04-2020 09:05:02,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1223,67550,24375,2257,869.0,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,60,02-04-2020 09:05:02,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0267,14769,5330,493,190.0,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,02-04-2020 09:05:02,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0688,38011,13716,1270,489.0,True,,,,,,,,💘✨5g. MDMA ✨💘
62,62,02-04-2020 09:05:02,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0266,14691,5301,491,189.0,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,02-04-2020 09:05:02,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1254,69959,25245,2338,900.0,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,02-04-2020 09:05:02,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0976,54413,19635,1818,700.0,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
65,65,02-04-2020 09:05:02,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0446,24874,8976,831,320.0,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
66,66,02-04-2020 09:05:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1115,62186,22440,2078,800.0,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,02-04-2020 09:05:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3101,172955,62411,5779,2225.0,True,,,,,,,,Amfetamin [White] [Import] 10G
68,68,02-04-2020 09:05:38,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,нет,9,Тбилиси,10 гр,0.013999999999999999,8574,3070,285,,True,,100.0,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
69,69,02-04-2020 09:05:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.204,112634,40644,3763,1449.0,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,02-04-2020 09:05:38,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0519,28683,10350,958,369.0,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,02-04-2020 09:05:38,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0421,23242,8387,777,299.0,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,02-04-2020 09:05:38,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0843,46562,16802,1556,599.0,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,02-04-2020 09:05:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1533,85506,30855,2857,1100.0,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
74,74,02-04-2020 09:05:38,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3345,186558,67320,6234,2400.0,True,,,,,,,,100 gr marijuana buds
75,75,02-04-2020 09:05:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2788,155465,56100,5195,2000.0,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
76,76,02-04-2020 09:05:38,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2816,155465,56100,5195,2000.0,True,,,,,,,,SUBOXIN - HQ - 100 G.
77,77,02-04-2020 09:05:38,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3485,194331,70125,6493,2500.0,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,02-04-2020 09:05:38,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2112,116599,42075,3896,1500.0,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
79,79,02-04-2020 09:05:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6412,357570,129030,11948,4600.0,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,80,02-04-2020 09:05:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0454,582994,210375,19480,7500.0,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,81,02-04-2020 09:05:38,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1848,660726,238425,22077,8500.0,True,,,,,,,,10000sht marki 25i-nbome. predoplata
82,82,02-04-2020 09:05:38,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0253,15547,5610,519,200.0,True,,,,,,,,KURYER..500RUB.+BONUS
83,83,02-04-2020 09:05:38,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0209,11660,4208,390,150.0,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
84,84,02-04-2020 09:05:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0279,15547,5610,519,200.0,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
85,85,02-04-2020 09:05:38,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0348,19433,7013,649,250.0,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,02-04-2020 09:05:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1098,1165988,420750,38960,15000.0,True,,,,,,,,Vakansija optovogo kur'era na mef
87,87,02-04-2020 09:06:40,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0102,6219,2244,208,80.0,,,,,,True,,,MEPHEDRONE 0.5 gr
88,88,02-04-2020 09:06:40,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,2,нет,Батуми,1 гр,0.0209,11660,4208,390,150.0,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
89,89,02-04-2020 09:06:40,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,10,нет,Батуми,2 гр,0.0048,2954,1066,99,38.0,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
90,90,02-04-2020 09:06:40,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.307,171012,61710,5714,2200.0,,,,,,,True,,[100g] SPAIN HASH
91,91,02-04-2020 09:06:40,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.0254,15547,5610,519,200.0,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
92,92,02-04-2020 09:06:40,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2819,155465,56100,5195,2000.0,,,,,,,True,,SUBOXIN - HQ - 100 G.
93,93,02-04-2020 09:06:40,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2114,116599,42075,3896,1500.0,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,94,02-04-2020 09:06:40,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0127,7773,2805,260,100.0,,,,,,,True,,kur'er v Batumi
95,95,02-04-2020 09:06:40,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0317,19433,7013,649,250.0,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
96,96,02-04-2020 09:06:40,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0317,19433,7013,649,250.0,,,,,,,True,,Ischu kur'era v Gruzii!
97,97,02-04-2020 09:06:40,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0381,23320,8415,779,300.0,,,,,,,True,,Rabota na marki (kur'er)
98,98,02-04-2020 09:06:40,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1125,1165988,420750,38960,15000.0,,,,,,,True,,Vakansija optovogo kur'era na mef
99,99,02-04-2020 09:06:40,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0698,38866,14025,1299,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
100,100,02-04-2020 09:08:12,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,1 гр,0.0264,14847,5358,496,191.0,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
101,101,02-04-2020 09:08:12,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.02,11271,4067,377,145.0,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
102,102,02-04-2020 09:08:12,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,2 гр,0.0504,28372,10238,948,365.0,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
103,103,02-04-2020 09:08:12,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,2,нет,Кутаиси,2 гр,0.0048,2954,1066,99,38.0,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
