,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
10,10,13-07-2020 12:36:44,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,12,нет,Тбилиси,1 гр,0.0058,3918,1499,134,,True,55.0,True,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
11,11,13-07-2020 12:36:44,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,3,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,55.0,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
12,12,13-07-2020 12:36:44,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,True,3,нет,Тбилиси,1 гр,0.0063,4274,1635,146,,,60.0,,,,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
13,13,13-07-2020 12:36:44,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,1,нет,Тбилиси,1 гр,0.0061,4131,1581,141,,True,58.0,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
14,14,13-07-2020 12:36:44,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
15,15,13-07-2020 12:36:44,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0071,4816,1846,165,60.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
16,16,13-07-2020 12:36:44,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 1.5gram,,1,нет,Тбилиси,1.5 гр,0.0071,5342,2044,182,,True,75.0,,,,,,,,,,,Northern Lights Regular [budsonly] 1.5gram
17,17,13-07-2020 12:36:44,Tbilisi,bb1791277e,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",,2,нет,Тбилиси,2 гр,0.0115,7835,2998,267,,True,110.0,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
18,18,13-07-2020 12:36:44,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
19,19,13-07-2020 12:36:44,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
20,20,13-07-2020 12:36:44,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,21,13-07-2020 12:36:44,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,True,100.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
22,22,13-07-2020 12:36:44,Tbilisi,0dec0e1c48,2gr HYBRID buds,,2,нет,Тбилиси,2 гр,0.0092,6268,2398,214,,True,88.0,,,,,,,,,,,2gr HYBRID buds
23,23,13-07-2020 12:36:44,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,120.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
24,24,13-07-2020 12:36:44,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",True,9,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,,110.0,,True,,,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
25,25,13-07-2020 12:36:44,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",,3,нет,Тбилиси,2 гр,0.0105,7835,2998,267,,True,110.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
26,26,13-07-2020 12:36:44,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 2gram,,2,нет,Тбилиси,2 гр,0.009000000000000001,6767,2589,231,,True,95.0,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
27,27,13-07-2020 12:36:44,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0124,9260,3543,316,,True,130.0,,,,,,,,,,,3g. marihuana shishki Critical
28,28,13-07-2020 12:36:44,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,29,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,29,13-07-2020 12:36:44,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,5,нет,Тбилиси,3 гр,0.0036,2422,927,83,,,34.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
30,30,13-07-2020 12:36:44,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0272,18520,7085,632,,True,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
31,31,13-07-2020 12:36:44,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
32,32,13-07-2020 12:36:44,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0185,13890,5314,474,,True,195.0,,,,,,,,,,,5g. marihuana shishki Critical
33,33,13-07-2020 12:36:44,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
34,34,13-07-2020 12:36:44,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.0209,14246,5450,486,,,200.0,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
35,35,13-07-2020 12:37:40,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0456,32053,12263,1094,,True,450.0,,,,,,,,,,,Gashish Evro 10gr
36,36,13-07-2020 12:37:40,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0314,23506,8993,802,,True,330.0,,,,,,,,,,,12g. marihuana shishki Critical
37,37,13-07-2020 12:37:40,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4630,1771,158,,True,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
38,38,13-07-2020 12:37:40,Tbilisi,9610a68a0a,GABAGAMA 40 SHTUK,,1,нет,Тбилиси,40 гр,0.0052,3561,1363,122,,True,50.0,,,,,,,,,,,GABAGAMA 40 SHTUK
39,39,13-07-2020 12:37:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.21100000000000002,142460,54500,4860,,True,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,13-07-2020 12:37:40,Tbilisi,54915c4374,То ли алфа пвп то ли апвп (но ооочень сильные кристаллы) 0.3,,нет,2,Тбилиси,0.3 гр,0.0109,8191,3134,279,,True,115.0,,,,,,,,,,,To li alfa pvp to li apvp (no ooochen' sil'nye kristally) 0.3
41,41,13-07-2020 12:37:40,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0369,24883,9539,850,310.0,True,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
42,42,13-07-2020 12:37:40,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,,нет,10,Тбилиси,2 гр,0.023,15671,5995,535,,True,220.0,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
43,43,13-07-2020 12:37:40,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0143,10684,4088,365,,True,150.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
44,44,13-07-2020 12:37:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.0418,28492,10900,972,,True,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,13-07-2020 12:37:40,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,1,10,Тбилиси,4 гр,0.0062,4630,1771,158,,True,65.0,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
46,46,13-07-2020 12:37:40,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17807,6813,608,,True,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,13-07-2020 12:37:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0575,39176,14988,1337,,True,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,13-07-2020 12:37:40,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
49,49,13-07-2020 12:37:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,5,Тбилиси,5 гр,0.0293,19944,7630,680,,True,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
50,50,13-07-2020 12:37:40,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0288,19588,7494,668,,True,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
51,51,13-07-2020 12:37:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,17095,6540,583,,True,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,52,13-07-2020 12:37:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0293,19944,7630,680,,True,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,53,13-07-2020 12:37:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,54,13-07-2020 12:37:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15599,5968,532,,True,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,55,13-07-2020 12:37:40,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 5G On Iron Magnet,,нет,2,Тбилиси,5 гр,0.1568,106845,40875,3645,,True,1500.0,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 5G On Iron Magnet
56,56,13-07-2020 12:37:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0282,19232,7358,656,,True,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,57,13-07-2020 12:37:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2535,190000,87429,6482,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,13-07-2020 12:37:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2852,213689,81750,7290,,,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,13-07-2020 12:37:40,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,,нет,5,Тбилиси,5 гр,0.0523,35615,13625,1215,,True,500.0,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
60,60,13-07-2020 12:37:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0238,16054,6154,549,200.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
61,61,13-07-2020 12:37:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0941,64107,24525,2187,,True,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,13-07-2020 12:37:40,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0575,39176,14988,1337,,True,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,63,13-07-2020 12:37:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0732,49861,19075,1701,,True,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,64,13-07-2020 12:37:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0439,29917,11445,1021,,True,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,65,13-07-2020 12:37:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0836,56984,21800,1944,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,13-07-2020 12:37:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2326,158486,60631,5407,,True,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,13-07-2020 12:37:40,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0523,35318,13539,1207,440.0,True,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
68,68,13-07-2020 12:37:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0464,31305,12000,1070,390.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
69,69,13-07-2020 12:38:14,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Тбилиси,11 гр,0.0474,32027,12277,1095,399.0,True,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
70,70,13-07-2020 12:38:14,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0618,46299,17713,1580,,True,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
71,71,13-07-2020 12:38:14,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2509,170952,65400,5832,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
72,72,13-07-2020 12:38:14,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2614,178075,68125,6075,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
73,73,13-07-2020 12:38:14,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6169,420256,160775,14337,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
74,74,13-07-2020 12:38:14,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8887,605453,231625,20655,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,13-07-2020 12:38:14,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14246,5450,486,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,13-07-2020 12:38:14,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0157,10684,4088,365,,True,150.0,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
77,77,13-07-2020 12:38:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0261,17807,6813,608,,True,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,13-07-2020 12:38:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14246,5450,486,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,13-07-2020 12:38:14,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17807,6813,608,,True,250.0,,,,,,,,,,,Rabota na marki (kur'er)
80,80,13-07-2020 12:38:14,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0523,35615,13625,1215,,True,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
81,81,13-07-2020 12:38:14,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.019,14246,5450,486,,True,200.0,,,,,,,,,,,Rabota kur'erom
82,82,13-07-2020 12:38:14,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5826,1068447,408750,36450,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,83,13-07-2020 12:38:14,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0523,35615,13625,1215,,,500.0,,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,13-07-2020 12:39:40,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0044,2992,1145,102,,,42.0,,,,,,,,True,,,Melkie shishki (Indica) 2g
85,85,13-07-2020 12:39:40,Batumi,75738ec358,ASTRAL 3g,,3,нет,Батуми,3 гр,0.0257,19232,7358,656,,,270.0,,,,,,,,True,,,ASTRAL 3g
86,86,13-07-2020 12:39:40,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,3,нет,Батуми,5 гр,0.0366,24930,9538,851,,,350.0,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
87,87,13-07-2020 12:39:40,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0369,24883,9539,850,310.0,,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
88,88,13-07-2020 12:39:40,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0523,35318,13539,1207,440.0,,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
89,89,13-07-2020 12:39:40,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0464,31305,12000,1070,390.0,,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,90,13-07-2020 12:39:40,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0475,32027,12277,1095,399.0,,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
91,91,13-07-2020 12:39:40,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1659,112990,51992,3855,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
92,92,13-07-2020 12:39:40,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2627,178900,82321,6104,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
93,93,13-07-2020 12:39:40,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7123,2725,243,,,100.0,,,,,,,,True,,,kur'er v Batumi
94,94,13-07-2020 12:39:40,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17807,6813,608,,,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
95,95,13-07-2020 12:39:40,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17807,6813,608,,,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
