,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
55,55,06-06-2020 08:52:55,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0818,54906,21480,1905,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,06-06-2020 08:52:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0273,18325,7169,636,,True,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
57,57,06-06-2020 08:52:55,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2275,152706,59741,5298,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,06-06-2020 08:52:55,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.161,106997,41859,3712,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
59,59,06-06-2020 08:52:55,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0834,55455,21695,1924,,True,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
60,60,06-06-2020 08:52:55,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0381,25325,9908,879,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,61,06-06-2020 08:52:55,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.036000000000000004,24021,9398,833,,True,350.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,06-06-2020 08:52:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0521,35002,13694,1214,,True,510.0,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
63,63,06-06-2020 08:52:55,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5163,343160,134250,11905,,True,5000.0,,,,,,,,,,METADON - 20 G.
64,64,06-06-2020 08:52:55,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1394,102948,40275,3572,,True,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
65,65,06-06-2020 08:52:55,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0619,41111,16083,1426,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,66,06-06-2020 08:52:55,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1328,89153,34878,3093,,True,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
67,67,06-06-2020 08:52:55,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2555,171511,67098,5950,,True,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
68,68,06-06-2020 08:52:55,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2454,164717,64440,5714,,True,2400.0,,,,,,,,,,100 gr marijuana buds
69,69,06-06-2020 08:53:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2045,137264,53700,4762,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,70,06-06-2020 08:53:57,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2557,171580,67125,5953,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,06-06-2020 08:53:57,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6034,404928,158415,14048,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
72,72,06-06-2020 08:53:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4704,315707,123510,10953,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,06-06-2020 08:53:57,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.767,514739,201375,17858,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,06-06-2020 08:53:57,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8693,583371,228225,20239,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,06-06-2020 08:53:57,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13726,5370,476,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,06-06-2020 08:53:57,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0205,13726,5370,476,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,06-06-2020 08:53:57,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0256,17158,6713,595,,True,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,06-06-2020 08:53:57,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.548,1029479,402750,35715,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,06-06-2020 08:55:13,Batumi,f25c0d6c5c,Gagarin fem. 60%sativa 40%indica 1g.,,1,нет,Батуми,1 гр,0.0051,3432,1343,119,,,50.0,,,,,,,True,,,Gagarin fem. 60%sativa 40%indica 1g.
80,80,06-06-2020 08:55:13,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0421,28825,11277,1000,,,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
81,81,06-06-2020 08:55:13,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5165,343160,134250,11905,,,5000.0,,,,,,,True,,,METADON - 20 G.
82,82,06-06-2020 08:55:13,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1684,112990,51992,3920,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
83,83,06-06-2020 08:55:13,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2666,178900,82321,6207,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
84,84,06-06-2020 08:55:13,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6863,2685,238,,,100.0,,,,,,,True,,,kur'er v Batumi
85,85,06-06-2020 08:55:13,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17158,6713,595,,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
86,86,06-06-2020 08:55:13,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17158,6713,595,,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
87,87,06-06-2020 08:55:13,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0205,13726,5370,476,,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
88,88,06-06-2020 08:55:13,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.028999999999999998,19491,7600,676,250.0,,,,,,,,,True,,,Rabota na marki (kur'er)
89,89,06-06-2020 08:55:13,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.548,1029479,402750,35715,,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,90,06-06-2020 08:55:13,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0511,34316,13425,1191,,,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,06-06-2020 08:56:34,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.028999999999999998,19491,7600,676,250.0,,,,,,,,,,,True,Rabota na marki (kur'er)
