,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
43,43,28-04-2020 16:59:35,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0383,22297,8148,736,299.0,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
44,44,28-04-2020 16:59:35,Tbilisi,f8a875c191,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.6396,372853,136250,12315,5000.0,True,,,,,,,,METADON - 20 G.
45,45,28-04-2020 16:59:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0766,44668,16323,1475,599.0,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,46,28-04-2020 16:59:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1393,82028,29975,2709,1100.0,True,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
47,47,28-04-2020 16:59:35,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.304,178969,65400,5911,2400.0,True,,,,,,,,100 gr marijuana buds
48,48,28-04-2020 16:59:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2533,149141,54500,4926,2000.0,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
49,49,28-04-2020 16:59:35,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3167,186427,68125,6158,2500.0,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
50,50,28-04-2020 16:59:35,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7473,439967,160775,14532,5900.0,True,,,,,,,,180 gr marihuana persoalno
51,51,28-04-2020 16:59:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5826,343025,125350,11330,4600.0,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
52,52,28-04-2020 16:59:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.95,559280,204375,18473,7500.0,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
53,53,28-04-2020 16:59:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.0766,633850,231625,20936,8500.0,True,,,,,,,,10000sht marki 25i-nbome. predoplata
54,54,28-04-2020 16:59:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.023,14914,5450,493,200.0,True,,,,,,,,KURYER..500RUB.+BONUS
