,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
38,38,07-05-2020 22:29:12,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,1,Тбилиси,1 гр,0.0137,10006,3645,331,135.0,True,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
39,39,07-05-2020 22:29:12,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0215,15565,5670,515,210.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
40,40,07-05-2020 22:29:12,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0378,27349,9963,905,369.0,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,41,07-05-2020 22:29:12,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,9,Тбилиси,3 гр,0.0593,42914,15633,1420,579.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,42,07-05-2020 22:29:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0406,29647,10800,981,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,43,07-05-2020 22:29:12,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0558,40764,14850,1349,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,44,07-05-2020 22:29:12,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,10,Тбилиси,5 гр,0.0238,17417,6345,576,235.0,True,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,45,07-05-2020 22:29:12,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,7,Тбилиси,5 гр,0.0243,17788,6480,589,240.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
46,46,07-05-2020 22:29:12,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.0233,17047,6210,564,230.0,True,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,47,07-05-2020 22:29:12,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.0243,17788,6480,589,240.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,07-05-2020 22:29:12,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,5,Тбилиси,5 гр,0.0243,17788,6480,589,240.0,True,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,07-05-2020 22:29:12,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0243,17788,6480,589,240.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,07-05-2020 22:29:12,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,нет,10,Тбилиси,5 гр,0.0243,17788,6480,589,240.0,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
51,51,07-05-2020 22:29:12,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0233,17047,6210,564,230.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,07-05-2020 22:29:12,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0202,16232,5913,537,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,07-05-2020 22:29:12,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0238,17417,6345,576,235.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,54,07-05-2020 22:29:12,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,1,Тбилиси,5 гр,0.0162,11859,4320,392,160.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
55,55,07-05-2020 22:29:12,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2363,190000,87429,6289,,True,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,07-05-2020 22:29:12,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2766,222351,81000,7358,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,07-05-2020 22:29:12,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.0982,71078,25893,2352,959.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,58,07-05-2020 22:29:12,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,3,Тбилиси,5 гр,0.0194,14008,5103,464,189.0,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
59,59,07-05-2020 22:29:12,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0195,14082,5130,466,190.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,60,07-05-2020 22:29:12,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0501,36243,13203,1199,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
61,61,07-05-2020 22:29:12,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0194,14008,5103,464,189.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
62,62,07-05-2020 22:29:12,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Тбилиси,8 гр,0.0081,5929,2160,196,80.0,True,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
63,63,07-05-2020 22:29:12,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0913,66705,24300,2207,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,07-05-2020 22:29:12,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0406,29647,10800,981,400.0,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
65,65,07-05-2020 22:29:12,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.071,51882,18900,1717,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,07-05-2020 22:29:12,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0426,31129,11340,1030,420.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,07-05-2020 22:29:12,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0101,7412,2700,245,100.0,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
68,68,07-05-2020 22:29:12,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0811,59294,21600,1962,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,69,07-05-2020 22:29:58,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,1,Тбилиси,10 гр,0.0294,21494,7830,711,290.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
70,70,07-05-2020 22:29:58,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2256,164910,60075,5457,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,71,07-05-2020 22:29:58,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1597,115548,42093,3824,1559.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,72,07-05-2020 22:29:58,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0378,27349,9963,905,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,73,07-05-2020 22:29:58,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5121,370585,135000,12264,5000.0,True,,,,,,,,,,,METADON - 20 G.
74,74,07-05-2020 22:29:58,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0613,44396,16173,1469,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
75,75,07-05-2020 22:29:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1115,81529,29700,2698,1100.0,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
76,76,07-05-2020 22:29:58,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2434,177881,64800,5886,2400.0,True,,,,,,,,,,,100 gr marijuana buds
77,77,07-05-2020 22:29:58,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,1,Тбилиси,100 гр,0.3042,222351,81000,7358,3000.0,True,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
78,78,07-05-2020 22:29:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2028,148234,54000,4905,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,07-05-2020 22:29:58,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2535,185292,67500,6132,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,07-05-2020 22:29:58,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5983,437290,159300,14471,5900.0,True,,,,,,,,,,,180 gr marihuana persoalno
81,81,07-05-2020 22:29:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4665,340938,124200,11282,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,07-05-2020 22:29:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7605,555877,202500,18395,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,07-05-2020 22:29:58,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8619,629994,229500,20848,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,07-05-2020 22:29:58,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0184,14823,5400,491,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,07-05-2020 22:29:58,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0203,14823,5400,491,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,86,07-05-2020 22:29:58,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0254,18529,6750,613,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
87,87,07-05-2020 22:29:58,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0203,14823,5400,491,200.0,True,,,,,,,,,,,Rabota na marki (kur'er)
88,88,07-05-2020 22:29:58,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5349,1111754,405000,36791,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
89,89,07-05-2020 22:31:33,Batumi,54915c4374,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0021,1521,554,50,,,,,,,,,True,19.0,,,Batumi n-booom 1 shtuka
90,90,07-05-2020 22:31:33,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0036,2642,962,88,,,,,,,,,True,33.0,,,Batumi n-booom 2 shtuki
91,91,07-05-2020 22:31:33,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0081,5929,2160,196,80.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
92,92,07-05-2020 22:31:33,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 100 грамм ♥,,нет,1,Батуми,100 гр,0.0465,33900,15599,1122,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 100 gramm ♥
93,93,07-05-2020 22:31:33,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1548,112990,51992,3740,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
94,94,07-05-2020 22:31:33,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2452,178900,82321,5921,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
95,95,07-05-2020 22:31:33,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,7412,2700,245,100.0,,,,,,,,,,True,,kur'er v Batumi
96,96,07-05-2020 22:31:33,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,18529,6750,613,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
97,97,07-05-2020 22:31:33,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,18529,6750,613,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
98,98,07-05-2020 22:31:33,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5373,1111754,405000,36791,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
99,99,07-05-2020 22:31:33,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,37058,13500,1226,500.0,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
100,100,07-05-2020 22:33:13,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0219,16306,5940,540,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
101,101,07-05-2020 22:33:13,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0528,38541,14040,1275,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
102,102,07-05-2020 22:33:13,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0388,28906,10530,957,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
103,103,07-05-2020 22:33:13,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0203,14823,5400,491,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
