,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vake,Gldani,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
25,25,31-03-2020 11:10:39,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,1,нет,Тбилиси,5 гр,0.0237,13137,4801,440,169.0,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
26,26,31-03-2020 11:10:39,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,7,нет,Тбилиси,5 гр,0.0248,13603,4972,455,175.0,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
27,27,31-03-2020 11:10:39,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1019,62108,22700,2079,799.0,True,,,,,,,,,,Cocaine Pure VHQ 5g.
28,28,31-03-2020 11:10:39,Tbilisi,688dd1cbd1,Ketamine S 5grm(Netherlands) Purity 87%,,1,нет,Тбилиси,5 гр,0.0797,48583,17756,1626,625.0,True,,,,,,,,,,Ketamine S 5grm(Netherlands) Purity 87%
29,29,31-03-2020 11:10:39,Tbilisi,f8a875c191,METADON - 5 G.,,1,нет,Тбилиси,5 гр,0.2125,116599,42615,3903,1500.0,True,,,,,,,,,,METADON - 5 G.
30,30,31-03-2020 11:10:39,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.006999999999999999,4275,1563,143,55.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
31,31,31-03-2020 11:10:39,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,2,нет,Тбилиси,10 гр,0.0335,18578,6790,622,239.0,,True,,,,,,,,,10 gr marijuana buds. -indica-
32,32,31-03-2020 11:10:39,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.055999999999999994,31015,11336,1038,399.0,,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
33,33,31-03-2020 11:10:39,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0512,28372,10370,950,365.0,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
34,34,31-03-2020 11:11:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0374,20755,7585,695,267.0,True,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
35,35,31-03-2020 11:11:04,Tbilisi,c225d2f67d,гашиш евро 10г,,1,нет,Тбилиси,10 гр,0.0538,31093,11364,1041,400.0,True,,,,,,,,,,gashish evro 10g
36,36,31-03-2020 11:11:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.255,155465,56820,5205,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,31-03-2020 11:11:04,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,100 гр,0.051,31093,11364,1041,400.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,31-03-2020 11:11:04,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,5,Тбилиси,0.25 гр,0.0354,19433,7103,651,250.0,True,,,,,,,,,,METADON - 0.25 G.
39,39,31-03-2020 11:11:04,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 0.5 g. акция -10% при оплате бтк!!!,,нет,2,Тбилиси,0.5 гр,0.0237,14458,5284,484,186.0,True,,,,,,,,,,Cocaine Fishscale! Limited Quantity 0.5 g. aktsija -10% pri oplate btk!!!
40,40,31-03-2020 11:11:04,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0283,15547,5682,520,200.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
41,41,31-03-2020 11:11:04,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0523,28683,10483,960,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
42,42,31-03-2020 11:11:04,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0836,45862,16762,1535,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,43,31-03-2020 11:11:04,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0561,31093,11364,1041,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,44,31-03-2020 11:11:04,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0224,12437,4546,416,160.0,True,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
45,45,31-03-2020 11:11:04,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0771,42753,15626,1431,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
46,46,31-03-2020 11:11:04,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0237,13137,4801,440,169.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,31-03-2020 11:11:04,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0238,13215,4830,442,170.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,31-03-2020 11:11:04,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0279,15469,5654,518,199.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,31-03-2020 11:11:04,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0279,15469,5654,518,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,31-03-2020 11:11:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0279,15469,5654,518,199.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,51,31-03-2020 11:11:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0279,17023,6222,570,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,52,31-03-2020 11:11:04,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0425,23320,8523,781,300.0,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
53,53,31-03-2020 11:11:04,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0279,15469,5654,518,199.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,54,31-03-2020 11:11:04,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Тбилиси,5 гр,0.0255,15547,5682,520,200.0,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
55,55,31-03-2020 11:11:04,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3116,190000,87429,6194,,True,,,,,,,,,,reagent 25i nbome. 5gr
56,56,31-03-2020 11:11:04,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.3825,233198,85230,7807,3000.0,,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,31-03-2020 11:11:04,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1231,67550,24688,2261,869.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,58,31-03-2020 11:11:04,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0269,14769,5398,494,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
59,59,31-03-2020 11:11:04,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0693,38011,13892,1273,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
60,60,31-03-2020 11:11:04,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0268,14691,5369,492,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
61,61,31-03-2020 11:11:04,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1262,69959,25569,2342,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,31-03-2020 11:11:04,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0982,54413,19887,1822,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,31-03-2020 11:11:04,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0449,24874,9091,833,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,31-03-2020 11:11:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1122,62186,22728,2082,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,65,31-03-2020 11:11:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3121,172955,63212,5790,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,31-03-2020 11:11:37,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2053,112634,41166,3771,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,31-03-2020 11:11:37,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0523,28683,10483,960,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,31-03-2020 11:11:37,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0424,23242,8495,778,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,69,31-03-2020 11:11:37,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0849,46562,17018,1559,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,31-03-2020 11:11:37,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1543,85506,31251,2863,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
71,71,31-03-2020 11:11:37,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3366,186558,68184,6246,2400.0,True,,,,,,,,,,100 gr marijuana buds
72,72,31-03-2020 11:11:37,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2805,155465,56820,5205,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,73,31-03-2020 11:11:37,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2833,155465,56820,5205,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
74,74,31-03-2020 11:11:37,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3506,194331,71025,6506,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,31-03-2020 11:11:37,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2125,116599,42615,3903,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,76,31-03-2020 11:11:37,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6451,357570,130686,11971,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,31-03-2020 11:11:37,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0519,582994,213075,19517,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,31-03-2020 11:11:37,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1921,660726,241485,22120,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,31-03-2020 11:11:37,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0255,15547,5682,520,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
80,80,31-03-2020 11:11:37,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0281,15547,5682,520,200.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
81,81,31-03-2020 11:11:37,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0352,21435,7838,720,,True,,,,250.0,,,,,,Rabota na marki (kur'er)
82,82,31-03-2020 11:11:37,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0281,15547,5682,520,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,83,31-03-2020 11:11:37,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0351,19433,7103,651,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,84,31-03-2020 11:11:37,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1229,1165988,426150,39035,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
85,85,31-03-2020 11:13:02,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0102,6219,2273,208,80.0,,,,,,,,True,,,MEPHEDRONE 0.5 gr
86,86,31-03-2020 11:13:02,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,4,нет,Батуми,1 гр,0.021,11660,4262,390,150.0,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
87,87,31-03-2020 11:13:02,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,14,нет,Батуми,2 гр,0.0048,2954,1080,99,38.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
88,88,31-03-2020 11:13:02,Batumi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Батуми,6 гр,0.0121,7385,2699,247,95.0,,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
89,89,31-03-2020 11:13:02,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3086,171012,62502,5725,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
90,90,31-03-2020 11:13:02,Batumi,f8a875c191,METADON - 0.25 G.,,нет,4,Батуми,0.25 гр,0.0354,19433,7103,651,250.0,,,,,,,,,True,,METADON - 0.25 G.
91,91,31-03-2020 11:13:02,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Батуми,5 гр,0.0255,15547,5682,520,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
92,92,31-03-2020 11:13:02,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2833,155465,56820,5205,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
93,93,31-03-2020 11:13:02,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2125,116599,42615,3903,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
94,94,31-03-2020 11:13:02,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0128,7773,2841,260,100.0,,,,,,,,,True,,kur'er v Batumi
95,95,31-03-2020 11:13:02,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0319,19433,7103,651,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
96,96,31-03-2020 11:13:02,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0319,19433,7103,651,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
97,97,31-03-2020 11:13:02,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0352,21435,7838,720,,,,,,250.0,,,,True,,Rabota na marki (kur'er)
98,98,31-03-2020 11:13:02,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1229,1165988,426150,39035,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
99,99,31-03-2020 11:13:02,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0701,38866,14205,1301,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
100,100,31-03-2020 11:14:16,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,1 гр,0.0265,14847,5426,497,191.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
101,101,31-03-2020 11:14:16,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.0201,11271,4119,377,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
102,102,31-03-2020 11:14:16,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,2 гр,0.0507,28372,10370,950,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
103,103,31-03-2020 11:14:16,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,9,нет,Кутаиси,2 гр,0.0048,2954,1080,99,38.0,,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
