,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
44,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0986,65818,25749,2283,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0195,13040,5102,452,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,06-06-2020 18:10:13,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0503,33561,13130,1164,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
47,06-06-2020 18:10:13,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.0205,13726,5370,476,200,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
48,06-06-2020 18:10:13,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0916,61769,24165,2143,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
49,06-06-2020 18:10:13,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,27453,10740,952,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
50,06-06-2020 18:10:13,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0712,48042,18795,1667,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,06-06-2020 18:10:13,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0427,28825,11277,1000,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,06-06-2020 18:10:13,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0814,54906,21480,1905,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,06-06-2020 18:10:13,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,нет,1,Тбилиси,10 гр,0.0272,18325,7169,636,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
