,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
41,41,31-03-2020 15:48:28,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0229,12437,4488,416,160.0,True,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
42,42,31-03-2020 15:48:28,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0786,42753,15428,1431,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,31-03-2020 15:48:28,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0241,13137,4740,440,169.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,31-03-2020 15:48:28,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0243,13215,4769,442,170.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
45,45,31-03-2020 15:48:28,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0284,15469,5582,518,199.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,31-03-2020 15:48:28,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0284,15469,5582,518,199.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,31-03-2020 15:48:28,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0284,15469,5582,518,199.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,31-03-2020 15:48:28,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0284,17023,6143,570,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,31-03-2020 15:48:28,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0433,23320,8415,781,300.0,True,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
50,50,31-03-2020 15:48:28,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0284,15469,5582,518,199.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,51,31-03-2020 15:48:28,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Тбилиси,5 гр,0.026000000000000002,15547,5610,520,200.0,True,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
52,52,31-03-2020 15:48:28,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3175,190000,87429,6194,,True,,,,,,,,,,reagent 25i nbome. 5gr
53,53,31-03-2020 15:48:28,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3896,233198,84150,7807,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,31-03-2020 15:48:28,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1254,67550,24375,2261,869.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
55,55,31-03-2020 15:48:28,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0274,14769,5330,494,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
56,56,31-03-2020 15:48:28,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0706,38011,13716,1273,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
57,57,31-03-2020 15:48:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0273,14691,5301,492,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
58,58,31-03-2020 15:48:28,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1286,69959,25245,2342,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,59,31-03-2020 15:48:28,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.1,54413,19635,1822,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,31-03-2020 15:48:28,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0457,24874,8976,833,320.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,31-03-2020 15:48:28,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1143,62186,22440,2082,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,31-03-2020 15:48:28,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3179,172955,62411,5790,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,31-03-2020 15:48:28,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2091,112634,40644,3771,1449.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
64,64,31-03-2020 15:48:28,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0532,28683,10350,960,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
65,65,31-03-2020 15:48:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0431,23242,8387,778,299.0,True,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,66,31-03-2020 15:49:08,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3437,186558,67320,6246,2400.0,True,,,,,,,,,,100 gr marijuana buds
67,67,31-03-2020 15:49:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2864,155465,56100,5205,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,31-03-2020 15:49:08,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2893,155465,56100,5205,2000.0,True,,,,,,,,,,SUBOXIN - HQ - 100 G.
69,69,31-03-2020 15:49:08,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.358,194331,70125,6506,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,31-03-2020 15:49:08,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2169,116599,42075,3903,1500.0,True,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
71,71,31-03-2020 15:49:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6587,357570,129030,11971,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,31-03-2020 15:49:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.074,582994,210375,19517,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,31-03-2020 15:49:08,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.2172,660726,238425,22120,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,31-03-2020 15:49:08,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.026000000000000002,15547,5610,520,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,31-03-2020 15:49:08,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0215,11660,4208,390,150.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
76,76,31-03-2020 15:49:08,Tbilisi,54915c4374,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.0359,21435,7725,720,,True,,,250.0,,,,,,,Rabota na marki (kur'er)
77,77,31-03-2020 15:49:08,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0286,15547,5610,520,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,31-03-2020 15:49:08,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0358,19433,7013,651,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,79,31-03-2020 15:49:08,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.1675,1165988,420750,39035,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,31-03-2020 15:50:46,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0104,6219,2244,208,80.0,,,,,,,,True,,,MEPHEDRONE 0.5 gr
81,81,31-03-2020 15:50:46,Batumi,99accec7c7,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,3,нет,Батуми,1 гр,0.0215,11660,4208,390,150.0,,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
82,82,31-03-2020 15:50:46,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,13,нет,Батуми,2 гр,0.0049,2954,1066,99,38.0,,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
83,83,31-03-2020 15:50:46,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3148,171012,61710,5725,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
84,84,31-03-2020 15:50:46,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,3,13,Батуми,5 гр,0.026000000000000002,15547,5610,520,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
85,85,31-03-2020 15:50:46,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.289,155465,56100,5205,2000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
86,86,31-03-2020 15:50:46,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2168,116599,42075,3903,1500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
87,87,31-03-2020 15:50:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.013000000000000001,7773,2805,260,100.0,,,,,,,,,True,,kur'er v Batumi
88,88,31-03-2020 15:50:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0325,19433,7013,651,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
89,89,31-03-2020 15:50:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0325,19433,7013,651,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
90,90,31-03-2020 15:50:46,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0359,21435,7725,720,,,,,250.0,,,,,True,,Rabota na marki (kur'er)
91,91,31-03-2020 15:50:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1658,1165988,420750,39035,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
92,92,31-03-2020 15:50:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0715,38866,14025,1301,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,31-03-2020 15:52:31,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,1 гр,0.0271,14847,5358,497,191.0,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
94,94,31-03-2020 15:52:31,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.0205,11271,4067,377,145.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
95,95,31-03-2020 15:52:31,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,2 гр,0.0517,28372,10238,950,365.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
96,96,31-03-2020 15:52:31,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,7,нет,Кутаиси,2 гр,0.0049,2954,1066,99,38.0,,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
97,97,31-03-2020 15:52:31,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0191,10494,3787,351,135.0,,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
98,98,31-03-2020 15:52:31,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.039,21376,7714,716,275.0,,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
99,99,31-03-2020 15:52:31,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,50 гр,0.0359,21435,7725,720,,,,,250.0,,,,,,True,Rabota na marki (kur'er)
