,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Дигоми,Gldani,Varketili,Авлобари,Nadzaladevi,€,Old Tbilisi (Старый город),Центр,Батуми,Кутаиси,desc_en
10,10,04-05-2020 12:34:19,Tbilisi,8ddca45a78,"1g LEMON SKUNK (Hybrid, more Sativa)",True,7,нет,Тбилиси,1 гр,0.0052,3491,1303,116,48.0,,,,,,,,,,,,,"1g LEMON SKUNK (Hybrid, more Sativa)"
11,11,04-05-2020 12:34:19,Tbilisi,8ddca45a78,"1g SOUR DIESEL (Hybrid, Sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1303,116,48.0,,,,,,,,,,,,,"1g SOUR DIESEL (Hybrid, Sativa)"
12,12,04-05-2020 12:34:19,Tbilisi,8ddca45a78,"1g WHITE WIDOW (Hybrid, more sativa)",True,1,нет,Тбилиси,1 гр,0.0052,3491,1303,116,48.0,,,,,,,,,,,,,"1g WHITE WIDOW (Hybrid, more sativa)"
13,13,04-05-2020 12:34:19,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0253,17091,6380,567,235.0,,,,,,,,,,,,,Cocaine Pure VHQ 1g
14,14,04-05-2020 12:34:19,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,4,нет,Тбилиси,1 гр,0.004,2982,1113,99,41.0,,,,,,,,,,,,,Hybrid Ana-sha 1G.
15,15,04-05-2020 12:34:19,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,3,нет,Тбилиси,1 гр,0.0059,4000,1493,133,55.0,,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
16,16,04-05-2020 12:34:19,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%",,5,нет,Тбилиси,1 гр,0.0048,3564,1330,118,49.0,,True,True,True,True,,,,,,,,"Somango, MARIJUANA BUDS 1G, BTC SALE 10%"
17,17,04-05-2020 12:34:19,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 1 Gr,True,7,нет,Тбилиси,1 гр,0.0044,2982,1113,99,41.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 1 Gr
18,18,04-05-2020 12:34:19,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.08800000000000001,65454,24435,2173,900.0,,,,,,,,,,,,,Metadon 1gr
19,19,04-05-2020 12:34:19,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.026000000000000002,17382,6489,577,239.0,,True,,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
20,20,04-05-2020 12:34:19,Tbilisi,1dfc50c91e,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%",,11,нет,Тбилиси,1.5 гр,0.0068,5091,1901,169,70.0,,True,True,True,True,True,True,,,,,,"Somango, MARIJUANA BUDS 1.5G, BTC SALE 10%"
21,21,04-05-2020 12:34:19,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0097,6473,2416,215,89.0,,,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
22,22,04-05-2020 12:34:19,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0097,6473,2416,215,89.0,,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
23,23,04-05-2020 12:34:19,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0092,6182,2308,205,85.0,,,,True,,,,,,,,,2g super Skunk top class buds.
24,24,04-05-2020 12:34:19,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0076,5091,1901,169,70.0,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
25,25,04-05-2020 12:34:19,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,2 гр,0.0096,6473,2416,215,89.0,,,,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
26,26,04-05-2020 12:34:19,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0091,6182,2308,205,85.0,,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
27,27,04-05-2020 12:34:19,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,4,нет,Тбилиси,3 гр,0.0129,8654,3231,287,119.0,,,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
28,28,04-05-2020 12:34:19,Tbilisi,366326d4d6,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,5,нет,Тбилиси,3 гр,0.0129,8654,3231,287,119.0,,,,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
29,29,04-05-2020 12:34:19,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0129,8654,3231,287,119.0,,,,True,,,,,,,,,3g superskunk top class buds.
30,30,04-05-2020 12:34:19,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0114,7636,2851,254,105.0,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
31,31,04-05-2020 12:34:19,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,7,нет,Тбилиси,3 гр,0.0108,7273,2715,241,100.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
32,32,04-05-2020 12:34:19,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0129,8654,3231,287,119.0,,True,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
33,33,04-05-2020 12:34:19,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.033,23272,8688,773,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
34,34,04-05-2020 12:34:19,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0319,21818,8145,724,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
35,35,04-05-2020 12:34:19,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.019,12727,4751,423,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,04-05-2020 12:35:00,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0319,21818,8145,724,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
37,37,04-05-2020 12:35:00,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.019,12727,4751,423,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
38,38,04-05-2020 12:35:00,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,4,нет,Тбилиси,5 гр,0.0172,11636,4344,386,160.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
39,39,04-05-2020 12:35:00,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,4,нет,Тбилиси,10 гр,0.0409,27636,10317,917,380.0,,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
40,40,04-05-2020 12:35:00,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0413,29091,10860,966,400.0,,,,,,,,,,,,,gashish evro 10g
41,41,04-05-2020 12:35:00,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,7,нет,Тбилиси,20 гр,0.0435,29454,10996,978,405.0,,,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
42,42,04-05-2020 12:35:00,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0802,56508,21096,1876,777.0,,,,,,,,,,,,,Gashish Evro 20gr
43,43,04-05-2020 12:35:00,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1955,145453,54300,4829,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
44,44,04-05-2020 12:35:00,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,13,Тбилиси,0.2 гр,0.0042,2836,1059,94,39.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
45,45,04-05-2020 12:35:00,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0172,11636,4344,386,160.0,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
46,46,04-05-2020 12:35:00,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0145,9818,3665,326,135.0,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
47,47,04-05-2020 12:35:00,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0351,26109,9768,867,,,,,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
48,48,04-05-2020 12:35:00,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,43,Тбилиси,2 гр,0.0038,2545,950,85,35.0,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
49,49,04-05-2020 12:35:00,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0228,15273,5702,507,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
50,50,04-05-2020 12:35:00,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0401,26836,10018,891,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
51,51,04-05-2020 12:35:00,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0629,42109,15720,1398,579.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
52,52,04-05-2020 12:35:00,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.043,29091,10860,966,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
53,53,04-05-2020 12:35:00,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,6,Тбилиси,4 гр,0.0065,4364,1629,145,60.0,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
54,54,04-05-2020 12:35:00,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0591,39999,14933,1328,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,04-05-2020 12:35:00,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0253,17091,6380,567,235.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,56,04-05-2020 12:35:00,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0258,17454,6516,579,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,57,04-05-2020 12:35:00,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0247,16727,6245,555,230.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
58,58,04-05-2020 12:35:00,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0258,17454,6516,579,240.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
59,59,04-05-2020 12:35:00,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0258,17454,6516,579,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
60,60,04-05-2020 12:35:00,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0258,17454,6516,579,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
61,61,04-05-2020 12:35:00,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0258,17454,6516,579,240.0,,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
62,62,04-05-2020 12:35:00,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0247,16727,6245,555,230.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
63,63,04-05-2020 12:35:00,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,15927,5946,529,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
64,64,04-05-2020 12:35:00,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,17091,6380,567,235.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
65,65,04-05-2020 12:35:00,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0172,11636,4344,386,160.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
66,66,04-05-2020 12:35:00,Tbilisi,54915c4374,"Марки Н-ВоооооМ!!!! ""Джокер экспресс"" 5 штук",True,нет,74,Тбилиси,5 гр,0.0054,3636,1358,121,50.0,,,,,,,,,,,,,"Marki N-VoooooM!!!! ""Dzhoker ekspress"" 5 shtuk"
67,67,04-05-2020 12:35:00,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2553,190000,87429,6306,,,,,,,,,,,,,,reagent 25i nbome. 5gr
68,68,04-05-2020 12:35:00,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2932,218179,81450,7243,3000.0,,,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
69,69,04-05-2020 12:35:00,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1041,69745,26037,2315,959.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
70,70,04-05-2020 12:35:50,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0207,13818,5159,459,190.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
71,71,04-05-2020 12:35:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0532,35563,13276,1181,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
72,72,04-05-2020 12:35:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0206,13745,5131,456,189.0,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
73,73,04-05-2020 12:35:50,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,8,Тбилиси,10 гр,0.0118,8000,2987,266,110.0,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
74,74,04-05-2020 12:35:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0969,65454,24435,2173,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
75,75,04-05-2020 12:35:50,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0431,29091,10860,966,400.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
76,76,04-05-2020 12:35:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0754,50908,19005,1690,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
77,77,04-05-2020 12:35:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0345,23272,8688,773,320.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
78,78,04-05-2020 12:35:50,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0108,7273,2715,241,100.0,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
79,79,04-05-2020 12:35:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0862,58181,21720,1931,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
80,80,04-05-2020 12:35:50,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,2,Тбилиси,10 гр,0.0312,21091,7874,700,290.0,,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
81,81,04-05-2020 12:35:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2397,161816,60409,5372,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
82,82,04-05-2020 12:35:50,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1696,113380,42327,3764,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
83,83,04-05-2020 12:35:50,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0401,26836,10018,891,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
84,84,04-05-2020 12:35:50,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5439,363632,135750,12072,5000.0,,,,,,,,,,,,,METADON - 20 G.
85,85,04-05-2020 12:35:50,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0652,43563,16263,1446,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
86,86,04-05-2020 12:35:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1185,79999,29865,2656,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
87,87,04-05-2020 12:35:50,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,1,Тбилиси,50 гр,0.1493,101817,38010,3380,1400.0,,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
88,88,04-05-2020 12:35:50,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2585,174543,65160,5794,2400.0,,,,,,,,,,,,,100 gr marijuana buds
89,89,04-05-2020 12:35:50,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3231,218179,81450,7243,3000.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
90,90,04-05-2020 12:35:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2154,145453,54300,4829,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
91,91,04-05-2020 12:35:50,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2693,181816,67875,6036,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
92,92,04-05-2020 12:35:50,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6355,429085,160185,14244,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
93,93,04-05-2020 12:35:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4955,334541,124890,11106,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
94,94,04-05-2020 12:35:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8078,545447,203625,18107,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
95,95,04-05-2020 12:35:50,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9155,618174,230775,20522,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
96,96,04-05-2020 12:35:50,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0196,14545,5430,483,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
97,97,04-05-2020 12:35:50,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0215,14545,5430,483,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,98,04-05-2020 12:35:50,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,18182,6788,604,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
99,99,04-05-2020 12:35:50,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0215,14545,5430,483,200.0,,,,,,,,,,,,,Rabota na marki (kur'er)
100,100,04-05-2020 12:35:50,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6303,1090895,407250,36215,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
101,101,04-05-2020 12:37:12,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0037,2532,947,84,,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
102,102,04-05-2020 12:37:12,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0064,4747,1776,158,,,,,,,,,60.0,,,True,,Batumi n-booom 5 shtuk
