,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Дигоми,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
13,18-03-2020 12:13:32,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0083,3694,1425,118,50,True,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
14,18-03-2020 12:13:32,Tbilisi,1GT8,GREENGY,1g MDMA (IMPORTED),True,3,нет,Тбилиси,1 гр,0.0191,8867,3420,284,120,,,,,,,,,,,1g MDMA (IMPORTED)
15,18-03-2020 12:13:32,Tbilisi,03F3,geoshop,2 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,,1,нет,Тбилиси,1 гр,0.0133,5911,2280,189,80,True,,,,,,,,,,2 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
16,18-03-2020 12:13:32,Tbilisi,V4T,COCAcoLA,COCAINE VHQ1gr СУПЕР COCA!!! SALE - BTC,True,5,нет,Тбилиси,1 гр,0.0332,14778,5700,473,200,,,,,,,,,,,COCAINE VHQ1gr SUPER COCA!!! SALE - BTC
17,18-03-2020 12:13:32,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,,4,нет,Тбилиси,1 гр,0.0285,13226,5102,424,179,True,,,,,,,,,,Cocaine Pure VHQ 1g
18,18-03-2020 12:13:32,Tbilisi,X4ZM,ZYX,Gorilla Glue! 1G ! NEW !,,2,нет,Тбилиси,1 гр,0.0071,3177,1226,102,43,True,,,,,,,,,,Gorilla Glue! 1G ! NEW !
19,18-03-2020 12:13:32,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,,4,нет,Тбилиси,1 гр,0.083,40639,15675,1302,550,True,,,,,,,,,,Metadon VHQ 1 24/7
20,18-03-2020 12:13:32,Tbilisi,X4ZM,ZYX,NEW ! Super Skunk ! NEW ! BUDS ! 1G,,7,нет,Тбилиси,1 гр,0.008,3547,1368,114,48,True,,,,,,,,,,NEW ! Super Skunk ! NEW ! BUDS ! 1G
21,18-03-2020 12:13:32,Tbilisi,P285,Trippyshop,NEW SALE Cocaine HQ 1 гр.,,1,нет,Тбилиси,1 гр,0.0317,13965,5387,447,189,True,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
22,18-03-2020 12:13:32,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,,2,нет,Тбилиси,1 гр,0.0317,14704,5672,471,199,True,,,,,,,,,,VHQ BEST Cocaine 1g.
23,18-03-2020 12:13:32,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,,1,нет,Тбилиси,1 гр,0.0311,13965,5387,447,189,True,,,,,,,,,,Kokain HQ 1g.
24,18-03-2020 12:13:32,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1359,66501,25650,2131,900,True,,,,,,,,,,Metadon 1gr
25,18-03-2020 12:13:32,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,3,нет,Тбилиси,1 гр,0.003,1478,570,47,20,True,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
26,18-03-2020 12:13:32,Tbilisi,9VLN,AlienShop,🍃💩1g. New Hush Gorilla Glue Premium💩🍃,,3,нет,Тбилиси,1 гр,0.0116,5098,1967,163,69,True,,,,,,,,,,🍃💩1g. New Hush Gorilla Glue Premium💩🍃
27,18-03-2020 12:13:32,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,5,нет,Тбилиси,2 гр,0.0115,5098,1967,163,69,True,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
28,18-03-2020 12:13:32,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,2,нет,Тбилиси,2 гр,0.0131,5837,2252,187,79,True,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
29,18-03-2020 12:13:32,Tbilisi,1GT8,GREENGY,2g hybrid buds INDICA,True,3,нет,Тбилиси,2 гр,0.0143,6650,2565,213,90,,,,,,,,,,,2g hybrid buds INDICA
30,18-03-2020 12:13:32,Tbilisi,LYHBG,Playboy,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,,2,нет,Тбилиси,2 гр,0.0604,26600,10260,852,360,True,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
31,18-03-2020 12:13:32,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,3,нет,Тбилиси,2 гр,0.0584,26231,10118,840,355,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
32,18-03-2020 12:13:33,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0589,28817,11115,923,390,True,,,,,,,,,,VHQ BEST Cocaine 2g.
33,18-03-2020 12:13:33,Tbilisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! !!BTC SALE 5%!! ПОДЪЕЗД!!!,,1,нет,Тбилиси,2 гр,0.0214,9532,3677,305,129,,,True,,,,,,,,GAShISh tverdyj!!! Hash!!!! !!BTC SALE 5%!! POD'EZD!!!
34,18-03-2020 12:14:03,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),,1,нет,Тбилиси,3 гр,0.0443,20576,7875,658,,True,,,250,,,,,,,3 gr mdma (skidka v bitkoin 5%)
35,18-03-2020 12:14:03,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,4,нет,Тбилиси,3 гр,0.0176,7758,2993,249,105,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
36,18-03-2020 12:14:03,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,,2,нет,Тбилиси,4 гр,0.0091,4433,1710,142,60,True,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
37,18-03-2020 12:14:03,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0267,11748,4532,376,159,True,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
38,18-03-2020 12:14:03,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,2,нет,Тбилиси,5 гр,0.026,11453,4418,367,155,True,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
