,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,€,Кутаиси,desc_en
28,28,26-05-2020 21:04:21,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0443,28456,10844,960,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
29,29,26-05-2020 21:04:21,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0155,9960,3795,336,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
30,30,26-05-2020 21:04:21,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.061,39127,14911,1320,550.0,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
31,31,26-05-2020 21:04:21,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.061,39127,14911,1320,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
32,32,26-05-2020 21:04:21,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0261,16718,6371,564,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,33,26-05-2020 21:05:06,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0176,11311,4310,382,159.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,26-05-2020 21:05:06,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0266,17074,6506,576,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,35,26-05-2020 21:05:06,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0266,17074,6506,576,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,26-05-2020 21:05:06,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0255,16362,6235,552,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,37,26-05-2020 21:05:06,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0221,15580,5937,526,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,38,26-05-2020 21:05:06,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.026000000000000002,16718,6371,564,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,39,26-05-2020 21:05:06,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0277,17785,6778,600,250.0,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
40,40,26-05-2020 21:05:06,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2689,190000,87429,6368,,,,,,,,,,,,reagent 25i nbome. 5gr
41,41,26-05-2020 21:05:06,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3021,213422,81330,7199,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,26-05-2020 21:05:06,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1073,68224,25998,2301,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,43,26-05-2020 21:05:06,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0213,13517,5151,456,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,44,26-05-2020 21:05:06,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0547,34788,13257,1173,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
45,45,26-05-2020 21:05:06,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0211,13446,5124,454,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,46,26-05-2020 21:05:06,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0997,64027,24399,2160,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,26-05-2020 21:05:06,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0443,28456,10844,960,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,26-05-2020 21:05:06,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0775,49799,18977,1680,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,26-05-2020 21:05:06,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0465,29879,11386,1008,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,26-05-2020 21:05:06,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.015,9604,3660,324,135.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
51,51,26-05-2020 21:05:06,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0886,56913,21688,1920,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,26-05-2020 21:05:06,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2465,158288,60320,5339,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,26-05-2020 21:05:06,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1744,110909,42264,3741,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
