,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
38,38,16-03-2020 13:15:07,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,7,нет,Тбилиси,5 гр,0.031,12808,4730,410,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
39,39,16-03-2020 13:15:07,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.138,57599,21273,1842,787.0,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
40,40,16-03-2020 13:15:07,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0271,12442,4595,398,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
41,41,16-03-2020 13:15:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,5 гр,0.0104,4757,1757,152,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,16-03-2020 13:15:07,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0686,28909,10677,924,395.0,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
43,43,16-03-2020 13:15:07,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.064,26714,9866,854,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
44,44,16-03-2020 13:15:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0468,19541,7217,625,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
45,45,16-03-2020 13:15:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0158,7246,2676,232,99.0,,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
46,46,16-03-2020 13:15:07,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0673,29275,10812,936,400.0,,,,,,,,,,,gashish evro 10g
47,47,16-03-2020 13:15:07,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1394,58185,21489,1860,795.0,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
48,48,16-03-2020 13:15:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,15,5,Тбилиси,0.27 гр,0.0478,19761,7298,632,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
49,49,16-03-2020 13:15:07,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,4,Тбилиси,0.35 гр,0.0403,16833,6217,538,230.0,,,,,,,,,,,Methadone HQ in city 0.35g
50,50,16-03-2020 13:15:07,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.124,51232,18921,1638,700.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
51,51,16-03-2020 13:15:07,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,2,Тбилиси,1.4 гр,0.1228,51232,18921,1638,700.0,,,,,,,,,,,Methadone HQ in city 1.4g
52,52,16-03-2020 13:15:07,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.1045,43181,15948,1381,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
53,53,16-03-2020 13:15:07,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0702,29275,10812,936,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
54,54,16-03-2020 13:15:07,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0965,40254,14867,1287,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
55,55,16-03-2020 13:15:07,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0274,11417,4217,365,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
56,56,16-03-2020 13:15:07,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0349,14564,5379,466,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
57,57,16-03-2020 13:15:07,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0281,11710,4325,374,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,16-03-2020 13:15:07,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0349,14564,5379,466,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,16-03-2020 13:15:07,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0349,14564,5379,466,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
