,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Батуми,Центр,desc_en
28,24-07-2020 16:23:11,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0292,20047,7826,668,,True,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,24-07-2020 16:23:11,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0282,19331,7547,644,,True,270,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,24-07-2020 16:23:11,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0185,13962,5450,465,,True,195,,,,,,,,,5g. marihuana shishki Critical
31,24-07-2020 16:23:11,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,1,Тбилиси,5 гр,0.0228,17183,6708,573,,True,240,,True,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
32,24-07-2020 16:23:11,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 20gramm special price,,1,нет,Тбилиси,20 гр,0.055,41527,16211,1384,,True,580,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
33,24-07-2020 16:23:12,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2106,143195,55900,4771,,True,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,24-07-2020 16:23:12,Tbilisi,HWUW,opiopi,suboxsone 0.4 g,,нет,3,Тбилиси,0.4 гр,0.0042,2864,1118,95,,True,40,,,,,,,,,suboxsone 0.4 g
35,24-07-2020 16:23:12,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0379,25762,10044,856,310,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
36,24-07-2020 16:23:59,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0417,28639,11180,954,,True,400,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,24-07-2020 16:23:59,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17899,6988,596,,True,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
38,24-07-2020 16:23:59,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0282,19331,7547,644,,True,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,24-07-2020 16:23:59,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0287,19689,7686,656,,True,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,24-07-2020 16:23:59,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.025,17183,6708,573,,True,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,24-07-2020 16:23:59,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0292,20047,7826,668,,True,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,24-07-2020 16:23:59,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,19331,7547,644,,True,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,24-07-2020 16:23:59,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15680,6121,522,,True,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,24-07-2020 16:23:59,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,7,Тбилиси,5 гр,0.0245,16825,6568,561,,True,235,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
45,24-07-2020 16:23:59,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0282,19331,7547,644,,True,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,24-07-2020 16:23:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2518,190000,87429,6386,,True,,,,,,,,,,reagent 25i nbome. 5gr
47,24-07-2020 16:23:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2846,214792,83850,7157,,,3000,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,24-07-2020 16:23:59,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,1,Тбилиси,5 гр,0.0261,17899,6988,596,,True,250,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
49,24-07-2020 16:23:59,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0244,16621,6480,552,200,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
50,24-07-2020 16:23:59,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0939,64438,25155,2147,,True,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,24-07-2020 16:23:59,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0574,39379,15373,1312,,True,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,24-07-2020 16:23:59,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.073,50118,19565,1670,,True,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,24-07-2020 16:23:59,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0438,30071,11739,1002,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,24-07-2020 16:23:59,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0835,57278,22360,1909,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,24-07-2020 16:23:59,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0438,30071,11739,1002,,True,420,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
56,24-07-2020 16:23:59,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0361,27207,10621,907,,True,380,,,,,,,,,Northern Lights Regular [budsonly] 10gram
57,24-07-2020 16:23:59,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2322,159304,62189,5308,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
58,24-07-2020 16:23:59,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0428,29355,11460,978,,True,410,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
59,24-07-2020 16:23:59,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0538,36565,14256,1215,440,True,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
60,24-07-2020 16:23:59,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0477,32410,12636,1077,390,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,24-07-2020 16:23:59,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0617,46538,18168,1551,,True,650,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
62,24-07-2020 16:23:59,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2505,171834,67080,5726,,True,2400,,,,,,,,,100 gr marijuana buds
63,24-07-2020 16:23:59,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2609,178994,69875,5964,,True,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,24-07-2020 16:23:59,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,1,Тбилиси,100 гр,0.0365,25059,9783,835,,,350,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
65,24-07-2020 16:23:59,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6157,422425,164905,14076,,True,5900,,,,,,,,,180 gr marihuana persoalno
66,24-07-2020 16:23:59,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.1044,71597,27950,2386,,,1000,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
67,24-07-2020 16:23:59,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.887,608578,237575,20278,,True,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,24-07-2020 16:23:59,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14319,5590,477,,True,200,,,,,,,,,KURYER..500RUB.+BONUS
69,24-07-2020 16:23:59,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0157,10740,4193,358,,,150,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
70,24-07-2020 16:25:12,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0261,17899,6988,596,,True,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,24-07-2020 16:25:12,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0379,28639,11180,954,,True,400,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
72,24-07-2020 16:25:12,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14319,5590,477,,True,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,24-07-2020 16:25:12,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17899,6988,596,,True,250,,,,,,,,,Rabota na marki (kur'er)
74,24-07-2020 16:25:12,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0522,35799,13975,1193,,True,500,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,24-07-2020 16:25:12,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5796,1073961,419250,35786,,True,15000,,,,,,,,,Vakansija optovogo kur'era na mef
76,24-07-2020 16:25:12,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0522,35799,13975,1193,,,500,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
77,24-07-2020 16:26:58,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,6,нет,Батуми,2 гр,0.0044,3007,1174,100,,,42,,,,,,,True,,Melkie shishki (Indica) 2g
78,24-07-2020 16:26:58,Batumi,XUYA,MRweed,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0256,19331,7547,644,,,270,,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
79,24-07-2020 16:26:58,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0344,23627,9224,787,,,330,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
80,24-07-2020 16:26:58,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0469,32219,12578,1074,,,450,,,,,,,,True,Super Critical 10G
81,24-07-2020 16:26:58,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0379,25762,10044,856,310,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,24-07-2020 16:26:58,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0538,36565,14256,1215,440,,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
83,24-07-2020 16:26:58,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0476,32410,12636,1077,390,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,24-07-2020 16:26:58,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0487,33158,12928,1102,399,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
85,24-07-2020 16:26:58,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1646,112990,51992,3798,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,24-07-2020 16:26:58,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2606,178900,82321,6013,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,24-07-2020 16:26:58,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7160,2795,239,,,100,,,,,,,True,,kur'er v Batumi
88,24-07-2020 16:26:58,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17899,6988,596,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
89,24-07-2020 16:26:58,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17899,6988,596,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
90,24-07-2020 16:26:58,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14319,5590,477,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
91,24-07-2020 16:26:58,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5788,1073961,419250,35786,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
92,24-07-2020 16:26:58,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0522,35799,13975,1193,,,500,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
