,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
36,36,12-03-2020 22:09:40,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0575,30117,10818,944,,360.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
37,37,12-03-2020 22:09:40,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,5,нет,Тбилиси,5 гр,0.0186,10290,3697,322,139.0,,True,,,,,,,,,5gr georgian indica (hight quality)
38,38,12-03-2020 22:09:40,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.026000000000000002,12955,4655,405,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
39,39,12-03-2020 22:09:40,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,2,нет,Тбилиси,5 гр,0.0219,11104,3990,347,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
40,40,12-03-2020 22:09:40,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1159,58260,20934,1821,787.0,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
41,41,12-03-2020 22:09:40,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0228,12585,4522,393,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
42,42,12-03-2020 22:09:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.0087,4812,1729,150,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,12-03-2020 22:09:40,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0647,32868,11810,1027,444.0,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
44,44,12-03-2020 22:09:40,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0537,27020,9709,845,365.0,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,45,12-03-2020 22:09:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,4,нет,Тбилиси,10 гр,0.0393,19765,7102,618,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
46,46,12-03-2020 22:09:40,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0133,7329,2633,229,99.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
47,47,12-03-2020 22:09:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0565,29611,10640,926,400.0,,,,,,,,,,,gashish evro 10g
48,48,12-03-2020 22:09:40,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1249,62775,22557,1962,848.0,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
49,49,12-03-2020 22:09:40,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0402,19987,7182,625,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
50,50,12-03-2020 22:09:40,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0523,26576,9549,831,359.0,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
51,51,12-03-2020 22:09:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0877,43676,15694,1365,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
52,52,12-03-2020 22:09:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0589,29611,10640,926,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
53,53,12-03-2020 22:09:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.081,40715,14630,1273,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
54,54,12-03-2020 22:09:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.023,11548,4150,361,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
55,55,12-03-2020 22:09:40,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0293,14731,5293,461,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
56,56,12-03-2020 22:09:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0236,11844,4256,370,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
57,57,12-03-2020 22:09:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0293,14731,5293,461,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
58,58,12-03-2020 22:09:40,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0293,14731,5293,461,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
59,59,12-03-2020 22:09:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0214,10734,3857,336,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,12-03-2020 22:09:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0293,16212,5825,507,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,12-03-2020 22:09:40,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0446,22208,7980,694,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
62,62,12-03-2020 22:09:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0221,11104,3990,347,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
63,63,12-03-2020 22:09:40,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0268,14805,5320,463,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
64,64,12-03-2020 22:09:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3436,190000,87429,6149,,,,,,,,,,,,reagent 25i nbome. 5gr
65,65,12-03-2020 22:09:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4016,222082,79800,6942,3000.0,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
66,66,12-03-2020 22:09:40,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1278,63590,22849,1988,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
67,67,12-03-2020 22:10:04,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0276,13695,4921,428,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,68,12-03-2020 22:10:04,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0728,36199,13007,1132,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
69,69,12-03-2020 22:10:04,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.049,24355,8751,761,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
70,70,12-03-2020 22:10:04,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1327,66625,23940,2083,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,71,12-03-2020 22:10:04,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1032,51819,18620,1620,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,72,12-03-2020 22:10:04,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0588,29537,10613,923,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,73,12-03-2020 22:10:04,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0521,25910,9310,810,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
74,74,12-03-2020 22:10:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.11800000000000001,59222,21280,1851,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,75,12-03-2020 22:10:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3281,164711,59185,5149,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
76,76,12-03-2020 22:10:04,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2158,107266,38543,3353,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,77,12-03-2020 22:10:04,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.055,27316,9815,854,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,78,12-03-2020 22:10:04,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0445,22134,7953,692,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
79,79,12-03-2020 22:10:04,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2507,125847,45220,3934,1700.0,,,,,,,,,,,MDMA 20 g
