,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Old Tbilisi (Старый город),Vake,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
33,33,01-03-2020 22:43:11,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0282,16748,6175,560,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,01-03-2020 22:43:11,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0282,16748,6175,560,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
35,35,01-03-2020 22:43:53,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0282,16748,6175,560,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,01-03-2020 22:43:53,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0224,13331,4915,446,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
37,37,01-03-2020 22:43:53,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0282,16748,6175,560,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,01-03-2020 22:43:53,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0224,14671,5409,490,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,01-03-2020 22:43:53,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0341,20097,7410,672,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
40,40,01-03-2020 22:43:53,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0282,16748,6175,560,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
41,41,01-03-2020 22:43:53,Tbilisi,3814ba5701,Weed from Gali 5g.,True,нет,1,Тбилиси,5 гр,0.026000000000000002,16078,5928,537,240.0,,,,,,,,,,,Weed from Gali 5g.
42,42,01-03-2020 22:43:53,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.0205,13398,4940,448,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
43,43,01-03-2020 22:43:53,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2906,190000,87429,6347,,,,,,,,,,,,reagent 25i nbome. 5gr
44,44,01-03-2020 22:43:53,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3074,200973,74100,6717,3000.0,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
