,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
37,13-03-2020 16:20:31,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1262,57599,21099,1847,787,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
38,13-03-2020 16:20:31,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0248,12442,4558,399,170,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
39,13-03-2020 16:20:31,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0095,4757,1743,153,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
40,13-03-2020 16:20:31,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0705,32496,11904,1042,444,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
41,13-03-2020 16:20:31,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0585,26714,9786,857,365,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
42,13-03-2020 16:20:31,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0428,19541,7158,627,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
43,13-03-2020 16:20:31,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,10 гр,0.0144,7246,2654,232,99,,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
44,13-03-2020 16:20:31,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0616,29275,10724,939,400,,,,,,,,,,,gashish evro 10g
45,13-03-2020 16:20:31,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.136,62064,22735,1991,848,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
46,13-03-2020 16:20:31,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0437,19761,7239,634,270,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
47,13-03-2020 16:20:31,Tbilisi,JVZTQ,partyshop,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,1,Тбилиси,1 гр,0.0159,7246,2654,232,99,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,13-03-2020 16:20:31,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,1,Тбилиси,1 гр,0.0144,6587,2413,211,90,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
49,13-03-2020 16:20:31,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.057,26275,9625,843,359,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
50,13-03-2020 16:20:31,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0956,43181,15818,1385,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,13-03-2020 16:20:31,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0641,29275,10724,939,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,13-03-2020 16:20:31,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0882,40254,14746,1291,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
53,13-03-2020 16:20:31,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.025,11417,4182,366,156,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
54,13-03-2020 16:20:31,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0319,14564,5335,467,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
55,13-03-2020 16:20:31,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0257,11710,4290,376,160,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
56,13-03-2020 16:20:31,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0319,14564,5335,467,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,13-03-2020 16:20:31,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0319,14564,5335,467,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
58,13-03-2020 16:20:31,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0233,10612,3887,340,145,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
59,13-03-2020 16:20:31,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0319,16028,5871,514,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
60,13-03-2020 16:20:31,Tbilisi,TDSHF,THC,Hybrid Gagarin. 5g.,True,нет,2,Тбилиси,5 гр,0.0339,16101,5898,516,220,,,,,,,,,,,Hybrid Gagarin. 5g.
61,13-03-2020 16:20:31,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0486,21956,8043,704,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
62,13-03-2020 16:20:31,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0241,10978,4022,352,150,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,13-03-2020 16:20:31,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0292,14638,5362,469,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
64,13-03-2020 16:20:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3785,190000,87429,6015,,,,,,,,,,,,reagent 25i nbome. 5gr
65,13-03-2020 16:20:31,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4374,219565,80430,7042,3000,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
66,13-03-2020 16:20:31,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1391,62869,23030,2016,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
67,13-03-2020 16:20:31,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.03,13540,4960,434,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,13-03-2020 16:20:31,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0792,35789,13110,1148,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
69,13-03-2020 16:20:53,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0533,24079,8820,772,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
70,13-03-2020 16:20:53,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1443,65869,24129,2113,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,13-03-2020 16:20:53,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1122,51232,18767,1643,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,13-03-2020 16:20:53,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.064,29202,10697,937,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,13-03-2020 16:20:53,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0567,25616,9384,822,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
74,13-03-2020 16:20:53,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1283,58551,21448,1878,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
75,13-03-2020 16:20:53,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3568,162844,59652,5223,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
76,13-03-2020 16:20:53,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2347,106050,38848,3401,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,13-03-2020 16:20:53,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0598,27006,9893,866,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,13-03-2020 16:20:53,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0484,21883,8016,702,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
