,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Varketili,Didube,Дигоми,Gldani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
27,20-04-2020 04:15:16,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0418,23662,8768,782,320,True,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
28,20-04-2020 04:15:16,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0404,22183,8220,734,300,True,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
29,20-04-2020 04:15:16,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.023,12497,4631,413,169,,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
30,20-04-2020 04:15:16,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),,4,нет,Тбилиси,5 гр,0.0182,9909,3672,328,134,True,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
31,20-04-2020 04:15:16,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,5,нет,Тбилиси,10 гр,0.0136,7394,2740,245,100,True,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
32,20-04-2020 04:15:16,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0522,29578,10960,978,400,True,,,,,,,,,,,,gashish evro 10g
33,20-04-2020 04:15:16,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1014,57455,21290,1900,777,True,,,,,,,,,,,,Gashish Evro 20gr
34,20-04-2020 04:15:16,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2472,147888,54800,4890,2000,True,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,20-04-2020 04:16:19,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42,,,,,,True,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
36,20-04-2020 04:16:19,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0506,27285,10111,902,369,True,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
