,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Vazisubani,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
39,39,08-05-2020 11:29:20,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,9,Тбилиси,3 гр,0.0599,42914,15633,1420,579.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
40,40,08-05-2020 11:29:20,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.040999999999999995,29647,10800,981,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
41,41,08-05-2020 11:29:20,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0564,40764,14850,1349,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,42,08-05-2020 11:29:20,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,,нет,10,Тбилиси,5 гр,0.0241,17417,6345,577,235.0,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,43,08-05-2020 11:29:20,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,7,Тбилиси,5 гр,0.0246,17788,6480,589,240.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,08-05-2020 11:29:20,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,5 гр,0.0236,17047,6210,564,230.0,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,45,08-05-2020 11:29:20,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,,нет,3,Тбилиси,5 гр,0.0246,17788,6480,589,240.0,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
46,46,08-05-2020 11:29:20,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,,нет,5,Тбилиси,5 гр,0.0246,17788,6480,589,240.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
47,47,08-05-2020 11:29:20,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,9,Тбилиси,5 гр,0.0246,17788,6480,589,240.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,48,08-05-2020 11:29:20,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,,нет,10,Тбилиси,5 гр,0.0246,17788,6480,589,240.0,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
49,49,08-05-2020 11:29:20,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,6,Тбилиси,5 гр,0.0236,17047,6210,564,230.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,08-05-2020 11:29:20,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0204,16232,5913,537,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,08-05-2020 11:29:20,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,4,Тбилиси,5 гр,0.0241,17417,6345,577,235.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,08-05-2020 11:29:20,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,,,нет,1,Тбилиси,5 гр,0.0164,11859,4320,393,160.0,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
53,53,08-05-2020 11:29:20,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.2388,190000,87429,6304,,True,,,,,,,,,,reagent 25i nbome. 5gr
54,54,08-05-2020 11:29:20,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2795,222351,81000,7360,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,08-05-2020 11:29:20,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,9,Тбилиси,5 гр,0.0993,71078,25893,2353,959.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,08-05-2020 11:29:20,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,,нет,3,Тбилиси,5 гр,0.0196,14008,5103,464,189.0,True,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
57,57,08-05-2020 11:29:20,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,5,Тбилиси,5 гр,0.0197,14082,5130,466,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,08-05-2020 11:29:20,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,,нет,5,Тбилиси,5 гр,0.0506,36243,13203,1200,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,08-05-2020 11:29:20,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,3,Тбилиси,5 гр,0.0196,14008,5103,464,189.0,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,60,08-05-2020 11:29:20,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,,нет,6,Тбилиси,8 гр,0.0082,5929,2160,196,80.0,True,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
61,61,08-05-2020 11:29:20,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.0922,66705,24300,2208,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,08-05-2020 11:29:20,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,,нет,10,Тбилиси,10 гр,0.040999999999999995,29647,10800,981,400.0,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,63,08-05-2020 11:29:20,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,3,Тбилиси,10 гр,0.0717,51882,18900,1717,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,64,08-05-2020 11:29:20,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,5,Тбилиси,10 гр,0.043,31129,11340,1030,420.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,65,08-05-2020 11:29:20,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,,нет,40,Тбилиси,10 гр,0.0102,7412,2700,245,100.0,True,,,,,,,,,,10G Hybrid Marijuana Leafs
66,66,08-05-2020 11:29:20,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,4,Тбилиси,10 гр,0.08199999999999999,59294,21600,1963,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,08-05-2020 11:29:20,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,,нет,1,Тбилиси,10 гр,0.0297,21494,7830,711,290.0,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
68,68,08-05-2020 11:30:03,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.2264,164910,60075,5459,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,08-05-2020 11:30:03,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,,нет,5,Тбилиси,10 гр,0.1602,115548,42093,3825,1559.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,08-05-2020 11:30:03,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,10,Тбилиси,10 гр,0.0379,27349,9963,905,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,08-05-2020 11:30:03,Tbilisi,f8a875c191,METADON - 20 G.,,,нет,1,Тбилиси,20 гр,0.5139,370585,135000,12267,5000.0,True,,,,,,,,,,METADON - 20 G.
72,72,08-05-2020 11:30:03,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.0616,44396,16173,1470,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,08-05-2020 11:30:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,,нет,1,Тбилиси,50 гр,0.1119,81529,29700,2699,1100.0,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
74,74,08-05-2020 11:30:03,Tbilisi,cb721d4bca,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.2442,177881,64800,5888,2400.0,True,,,,,,,,,,100 gr marijuana buds
75,75,08-05-2020 11:30:03,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,,нет,1,Тбилиси,100 гр,0.3053,222351,81000,7360,3000.0,True,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
76,76,08-05-2020 11:30:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2035,148234,54000,4907,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
77,77,08-05-2020 11:30:03,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.2544,185292,67500,6133,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,08-05-2020 11:30:03,Tbilisi,69672fee0d,180 gr марихуана персоално,,,нет,1,Тбилиси,180 гр,0.6004,437290,159300,14474,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
79,79,08-05-2020 11:30:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.4681,340938,124200,11285,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
80,80,08-05-2020 11:30:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,0.7632,555877,202500,18400,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
81,81,08-05-2020 11:30:03,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,0.865,629994,229500,20853,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
82,82,08-05-2020 11:30:03,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0185,14823,5400,491,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
83,83,08-05-2020 11:30:03,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,2,Тбилиси,1 гр,0.0204,14823,5400,491,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,08-05-2020 11:30:03,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,нет,1,Тбилиси,1 гр,0.0254,18529,6750,613,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,08-05-2020 11:30:03,Tbilisi,54915c4374,Работа на марки (курьер),,,нет,1,Тбилиси,25 гр,0.0204,14823,5400,491,200.0,True,,,,,,,,,,Rabota na marki (kur'er)
86,86,08-05-2020 11:30:03,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,1.5403,1111754,405000,36800,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
87,87,08-05-2020 11:31:13,Batumi,54915c4374,Батуми н-бооом 1 штука,,,2,нет,Батуми,1 гр,0.0021,1521,556,50,,,,,,,,True,19.0,,,Batumi n-booom 1 shtuka
88,88,08-05-2020 11:31:13,Batumi,54915c4374,Батуми н-бооом 2 штуки,,,3,нет,Батуми,2 гр,0.0036,2642,965,88,,,,,,,,True,33.0,,,Batumi n-booom 2 shtuki
89,89,08-05-2020 11:31:13,Batumi,3ee37c89bb,[100g] SPAIN HASH,,,1,нет,Батуми,105 гр,0.2239,163057,59400,5397,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
90,90,08-05-2020 11:31:13,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,,нет,7,Батуми,8 гр,0.0081,5929,2160,196,80.0,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
91,91,08-05-2020 11:31:13,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1551,112990,51992,3749,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
92,92,08-05-2020 11:31:13,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2456,178900,82321,5936,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
93,93,08-05-2020 11:31:13,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0093,7412,2700,245,100.0,,,,,,,,,True,,kur'er v Batumi
94,94,08-05-2020 11:31:13,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0231,18529,6750,613,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
95,95,08-05-2020 11:31:13,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0231,18529,6750,613,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
96,96,08-05-2020 11:31:13,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5403,1111754,405000,36800,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
97,97,08-05-2020 11:31:13,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0509,37058,13500,1227,500.0,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
98,98,08-05-2020 11:32:50,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,,2,нет,Кутаиси,1.5 гр,0.0188,13712,4995,454,185.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
99,99,08-05-2020 11:32:50,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,,7,нет,Кутаиси,2 гр,0.0494,35947,13095,1190,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
100,100,08-05-2020 11:32:50,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,,9,нет,Кутаиси,3 гр,0.0336,24459,8910,810,330.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
101,101,08-05-2020 11:32:50,Kutaisi,54915c4374,Работа на марки (курьер),,,нет,1,Кутаиси,25 гр,0.0204,14823,5400,491,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
