,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,12,13-02-2020 14:42:17,Tbilisi,dd631c4acf,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0096,6297,2445,217,99.0,,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
13,13,13-02-2020 14:42:17,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0261,19080,7410,658,300.0,,,,,,,,,,,,Metadon 0.6gr
14,14,13-02-2020 14:42:17,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,4,нет,Тбилиси,0.8 гр,0.0115,7632,2964,263,120.0,,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
15,15,13-02-2020 14:42:17,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,1 гр,0.0039,2862,1112,99,45.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,13-02-2020 14:42:17,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,4,нет,Тбилиси,1 гр,0.0048,3180,1235,110,50.0,,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
17,17,13-02-2020 14:42:17,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,13,нет,Тбилиси,1 гр,0.0043,2862,1112,99,45.0,,,,True,True,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
18,18,13-02-2020 14:42:17,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,7,нет,Тбилиси,1 гр,0.0106,6933,2692,239,109.0,,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
19,19,13-02-2020 14:42:17,Tbilisi,7c395c455d,2 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0077,5088,1976,175,80.0,,,,,,,,,,,,2 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
20,20,13-02-2020 14:42:17,Tbilisi,8ec76151d3,Apvp VHQ 1g 24/7,True,10,нет,Тбилиси,1 гр,0.0115,7632,2964,263,120.0,,,,,,,,,,,,Apvp VHQ 1g 24/7
21,21,13-02-2020 14:42:17,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,8,нет,Тбилиси,1 гр,0.0213,13992,5434,482,220.0,,,,,,,,,,,,"Cocaine, 1g"
22,22,13-02-2020 14:42:17,Tbilisi,8219f5e7b8,Ketamine 1g,True,2,нет,Тбилиси,1 гр,0.0097,6360,2470,219,100.0,,,,,,,,,,,,Ketamine 1g
23,23,13-02-2020 14:42:17,Tbilisi,ae784bef73,Maserati (ecstasy) 1шт,True,1,нет,Тбилиси,1 гр,0.0043,2862,1112,99,45.0,,,,,,,,,,,,Maserati (ecstasy) 1sht
24,24,13-02-2020 14:42:17,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0436,31801,12350,1096,500.0,,,,,,,,,,,,Metadon VHQ 1 24/7
25,25,13-02-2020 14:42:17,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0183,12021,4668,414,189.0,,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
26,26,13-02-2020 14:42:17,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,11,нет,Тбилиси,1 гр,0.0113,8268,3211,285,130.0,,,,,,,,,,,,NZT-52 mind storm limited 1g muka
27,27,13-02-2020 14:42:17,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,5,нет,Тбилиси,1 гр,0.0138,9540,3705,329,150.0,,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
28,28,13-02-2020 14:42:17,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,6,нет,Тбилиси,1 гр,0.0191,12657,4915,436,199.0,,,,,,True,,,,,,Kokain KOLUMBIA 1g
29,29,13-02-2020 14:42:17,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0414,28621,11115,986,450.0,,,,,,,,,,,,Metadon 1gr
30,30,13-02-2020 14:42:17,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0383,25441,9880,877,400.0,,,,,,,,,,,,"Metadon, 1gr"
31,31,13-02-2020 14:42:17,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.0106,6933,2692,239,109.0,,,,,,,,,,,,✨ 1g. MDMA ✨
32,32,13-02-2020 14:42:49,Tbilisi,7c395c455d,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,9,нет,Тбилиси,1.2 гр,0.0116,7632,2964,263,120.0,,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
33,33,13-02-2020 14:42:49,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,2,нет,Тбилиси,2 гр,0.006999999999999999,4843,1882,167,,,,70.0,,,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
34,34,13-02-2020 14:42:49,Tbilisi,21de5577be,2 gr. Blue Berry Kush 100% Natural/Indika/ Import,,1,нет,Тбилиси,2 гр,0.0077,5088,1976,175,80.0,,,,True,,,,,,,,2 gr. Blue Berry Kush 100% Natural/Indika/ Import
35,35,13-02-2020 14:42:49,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0068,4452,1729,153,70.0,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
36,36,13-02-2020 14:42:49,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0364,24487,9510,844,385.0,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
37,37,13-02-2020 14:42:49,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0068,4452,1729,153,70.0,,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
38,38,13-02-2020 14:42:49,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0202,14628,5681,504,230.0,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
39,39,13-02-2020 14:42:49,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0385,25377,9855,875,399.0,,,,,,True,,,,,,Kokain KOLUMBIA 2g
40,40,13-02-2020 14:42:49,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0102,6678,2594,230,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
41,41,13-02-2020 14:42:49,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0289,20989,8151,723,330.0,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
42,42,13-02-2020 14:42:49,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,3,нет,Тбилиси,3 гр,0.0096,6297,2445,217,99.0,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
43,43,13-02-2020 14:42:49,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,3.3 гр,0.0394,28621,11115,986,450.0,,,,,,,,,,,,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale"""
44,44,13-02-2020 14:42:49,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0155,10113,3927,349,159.0,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
45,45,13-02-2020 14:42:49,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0151,9858,3829,340,155.0,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
46,46,13-02-2020 14:42:49,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,1,нет,Тбилиси,5 гр,0.0847,61431,23878,2124,,,,888.0,,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
47,47,13-02-2020 14:42:49,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0155,10113,3927,349,159.0,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
48,48,13-02-2020 14:42:49,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0194,13356,5187,460,210.0,,,,,,,,,,,,gashish evro 5g
49,49,13-02-2020 14:42:49,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0756,50881,19760,1754,800.0,,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
50,50,13-02-2020 14:42:49,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.037000000000000005,25441,9880,877,400.0,,,,,,,,,,,,gashish evro 10g
51,51,13-02-2020 14:42:49,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,23,нет,Тбилиси,10 гр,0.0088,6360,2470,219,100.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
52,52,13-02-2020 14:42:49,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0882,115253,44799,3986,,,,1666.0,,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
53,53,13-02-2020 14:42:49,Tbilisi,84c8f0bee0,SALE 50% шишки 11гр. (лсд феминиз),True,1,1,Тбилиси,11 гр,0.0145,9540,3705,329,150.0,,,,,,,,,,,,SALE 50% shishki 11gr. (lsd feminiz)
54,54,13-02-2020 14:42:49,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0058,4198,1630,145,66.0,,,,,,,,,,,,weed leaves 13gr +
55,55,13-02-2020 14:42:49,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.012,8713,3384,300,137.0,,,,,,,,,,,,georgian weed 15 gr salee !!!
56,56,13-02-2020 14:42:49,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0719,49418,19192,1703,777.0,,,,,,,,,,,,Gashish Evro 20gr
57,57,13-02-2020 14:42:49,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1471,192111,74674,6643,,,,2777.0,,,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
58,58,13-02-2020 14:42:49,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0243,15900,6175,548,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
59,59,13-02-2020 14:42:49,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0341,22261,8645,767,350.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
60,60,13-02-2020 14:42:49,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin,True,нет,4,Тбилиси,1 гр,0.006999999999999999,4834,1877,167,76.0,,,,,,,,,,,,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin
61,61,13-02-2020 14:42:49,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0584,38161,14820,1315,600.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
62,62,13-02-2020 14:42:49,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0212,13992,5434,482,220.0,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
63,63,13-02-2020 14:42:49,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0386,25441,9880,877,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
64,64,13-02-2020 14:42:49,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0231,15264,5928,526,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
65,65,13-02-2020 14:43:14,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.024,15900,6175,548,250.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
66,66,13-02-2020 14:43:14,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1306,95402,37050,3288,1500.0,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
67,67,13-02-2020 14:43:14,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.024,15900,6175,548,250.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
68,68,13-02-2020 14:43:14,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.024,15900,6175,548,250.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
69,69,13-02-2020 14:43:14,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,3,Тбилиси,5 гр,0.0191,12657,4915,436,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
70,70,13-02-2020 14:43:14,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.024,15900,6175,548,250.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
71,71,13-02-2020 14:43:14,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0191,13929,5409,480,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
72,72,13-02-2020 14:43:14,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0182,13293,5162,458,209.0,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
73,73,13-02-2020 14:43:14,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0182,13293,5162,458,209.0,,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
74,74,13-02-2020 14:43:14,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0182,13293,5162,458,209.0,,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
75,75,13-02-2020 14:43:14,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.024,15900,6175,548,250.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
76,76,13-02-2020 14:43:14,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0174,12720,4940,438,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
77,77,13-02-2020 14:43:14,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1917,140000,64421,4872,,,,,,,,,,,,,reagent 25i nbome. 5gr
78,78,13-02-2020 14:43:14,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2613,190805,74100,6576,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
79,79,13-02-2020 14:43:14,Tbilisi,dd631c4acf,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.0179,11766,4570,406,185.0,,,,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
80,80,13-02-2020 14:43:14,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0473,31101,12078,1072,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
81,81,13-02-2020 14:43:14,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0174,11448,4446,395,180.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
82,82,13-02-2020 14:43:14,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0382,25377,9855,875,399.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
83,83,13-02-2020 14:43:14,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1742,127203,49400,4384,2000.0,,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
84,84,13-02-2020 14:43:14,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0766,50881,19760,1754,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
85,85,13-02-2020 14:43:14,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0348,25377,9855,875,399.0,,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
86,86,13-02-2020 14:43:14,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2132,141514,54958,4877,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
87,87,13-02-2020 14:43:14,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0782,51390,19958,1771,808.0,,,,,,,,,,,,💘✨10gram MDMA ✨💘
88,88,13-02-2020 14:43:14,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0289,19017,7385,655,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
89,89,13-02-2020 14:43:14,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0435,28621,11115,986,450.0,,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
90,90,13-02-2020 14:43:14,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2874,209885,81510,7233,3300.0,,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
91,91,13-02-2020 14:43:14,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0552,38161,14820,1315,600.0,,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
92,92,13-02-2020 14:43:14,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1045,76322,29640,2630,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
93,93,13-02-2020 14:43:14,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0827,57241,22230,1973,900.0,,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
94,94,13-02-2020 14:43:14,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.091,60422,23465,2082,950.0,,,,,,,,,,,,Hybrid Skunk! 50 gr
95,95,13-02-2020 14:43:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1916,127203,49400,4384,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
96,96,13-02-2020 14:43:14,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1725,114483,44460,3945,1800.0,,,,,,,,,,,,Hybrid Skunk! 100 gr
97,97,13-02-2020 14:43:14,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2395,159004,61750,5480,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
98,98,13-02-2020 14:43:14,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0375,27349,10621,943,430.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
99,99,13-02-2020 14:43:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4407,292567,113620,10083,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
100,100,13-02-2020 14:43:55,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0375,27349,10621,943,430.0,,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
101,101,13-02-2020 14:43:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4417,292567,113620,10083,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
102,102,13-02-2020 14:43:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7202,477012,185250,16439,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
103,103,13-02-2020 14:43:55,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8162,540614,209950,18631,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
