,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Авлобари,Дигоми,Nadzaladevi,Gldani,€,Центр,Батуми,Кутаиси,desc_en
36,36,03-05-2020 23:02:00,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,7,нет,Тбилиси,3 гр,0.0107,2720,241,7273,100.0,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
37,37,03-05-2020 23:02:00,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0128,3237,287,8654,119.0,,True,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
38,38,03-05-2020 23:02:00,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0327,8704,773,23272,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
39,39,03-05-2020 23:02:00,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0316,8160,724,21818,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
40,40,03-05-2020 23:02:00,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0188,4760,423,12727,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
41,41,03-05-2020 23:02:00,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,4,нет,Тбилиси,5 гр,0.017,4352,386,11636,160.0,,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
42,42,03-05-2020 23:02:00,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,5,нет,Тбилиси,10 гр,0.0405,10336,917,27636,380.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
43,43,03-05-2020 23:02:00,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0409,10880,966,29091,400.0,,,,,,,,,,,,gashish evro 10g
44,44,03-05-2020 23:02:00,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,9,нет,Тбилиси,20 гр,0.0431,11016,978,29454,405.0,,True,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
45,45,03-05-2020 23:02:00,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0794,21134,1876,56508,777.0,,,,,,,,,,,,Gashish Evro 20gr
