,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Nadzaladevi,€,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
34,11-02-2020 06:58:39,Tbilisi,7R3WM,RastaShop,2 gr. SALE! Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT,,1,нет,Тбилиси,2 гр,0.0075,4783,1853,164,75,,,,,,True,,,,,,,2 gr. SALE! Auto Jamaica Feminized 100% Natural/Hybrid/ IMPORT
35,11-02-2020 06:58:39,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,11,нет,Тбилиси,2 гр,0.007,4464,1729,153,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
36,11-02-2020 06:58:39,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0376,24552,9510,841,385,,,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
37,11-02-2020 06:58:39,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G! NEW !,True,2,нет,Тбилиси,2 гр,0.0075,4783,1853,164,75,,,,,,,,,,,,,Gorilla Glue! 2G! NEW !
38,11-02-2020 06:58:39,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (2г) BТС 10% СКИДКА,True,2,нет,Тбилиси,2 гр,0.0063,4464,1729,153,70,,,,,,,,,,,,,Hybrid Weed VHQ (2g) BTS 10% SKIDKA
39,11-02-2020 06:58:39,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0208,14667,5681,502,230,,,,,,,,,,,,,NZT-52 mind storm limited 2g muka
40,11-02-2020 06:58:39,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0397,25445,9855,872,399,,True,,,,,,,,,,,Kokain KOLUMBIA 2g
41,11-02-2020 06:58:39,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.2 g падарка. SALE SALE SALE !!! BiG SALE BTC -10 %%%%,,1,нет,Тбилиси,2.2 гр,0.0398,25508,9880,874,400,,,,,,,True,,,,,,C O C A i N E 2 g +0.2 g padarka. SALE SALE SALE !!! BiG SALE BTC -10 %%%%
42,11-02-2020 06:58:39,Tbilisi,C7LQ,Scandal,"3 Grm Mdma , Purity A +++",True,3,нет,Тбилиси,3 гр,0.0199,14030,5434,481,220,,,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
43,11-02-2020 06:58:39,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0299,21044,8151,721,330,,,,,,,,,,,,,NZT-52 mind storm limited 3g muka
44,11-02-2020 06:58:39,Tbilisi,6ZR,Geogrowers,*new* Cocaine peru HQ 5 gr BTC -10 %,True,2,нет,Тбилиси,5 гр,0.088,62002,24020,2124,,,,,,888,,,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
45,11-02-2020 06:58:39,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.0059,4145,1606,142,65,,,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
46,11-02-2020 06:58:39,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0201,13392,5187,459,210,,,,,,,,,,,,,gashish evro 5g
47,11-02-2020 06:58:39,Tbilisi,UJP9,420Inc,Morocco Hash Ice-Scream 5+1G High THc,True,1,нет,Тбилиси,6 гр,0.0353,23595,9139,808,370,,,,,,,,,,,,,Morocco Hash Ice-Scream 5+1G High THc
48,11-02-2020 06:58:39,Tbilisi,UJP9,420Inc,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0724,51017,19760,1748,800,,,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
49,11-02-2020 06:58:39,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0382,25508,9880,874,400,,,,,,,,,,,,,gashish evro 10g
50,11-02-2020 06:58:39,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,10,нет,Тбилиси,10 гр,0.0091,6377,2470,218,100,,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
51,11-02-2020 06:58:39,Tbilisi,6ZR,Geogrowers,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0917,116324,45065,3985,,,,,,1666,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
52,11-02-2020 06:58:39,Tbilisi,ITJ,seazon,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.006,4209,1630,144,66,,,,,,,,,,,,,weed leaves 13gr +
53,11-02-2020 06:58:39,Tbilisi,ITJ,seazon,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0124,8737,3384,299,137,,,,,,,,,,,,,georgian weed 15 gr salee !!!
54,11-02-2020 06:58:39,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0742,49550,19192,1698,777,,,,,,,,,,,,,Gashish Evro 20gr
55,11-02-2020 06:58:39,Tbilisi,6ZR,Geogrowers,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1529,193897,75118,6643,,,,,,2777,,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
56,11-02-2020 06:58:39,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0251,15943,6175,546,250,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
57,11-02-2020 06:58:39,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0352,22320,8645,765,350,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
58,11-02-2020 06:58:39,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0603,38262,14820,1311,600,,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
59,11-02-2020 06:58:39,Tbilisi,03F3,geoshop,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0219,14030,5434,481,220,,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
60,11-02-2020 06:58:39,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0398,25508,9880,874,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
61,11-02-2020 06:58:39,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0239,15305,5928,524,240,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
62,11-02-2020 06:58:39,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0249,15943,6175,546,250,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,11-02-2020 06:58:39,Tbilisi,7B8EQ,w1ld1nd1an,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1358,95656,37050,3277,1500,,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
