,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Didube,Vake,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
30,30,06-04-2020 13:11:32,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0549,31015,10973,1026,399.0,,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
31,31,06-04-2020 13:11:32,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0502,28372,10038,939,365.0,,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
32,32,06-04-2020 13:11:32,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,1,3,Тбилиси,10 гр,0.0138,8574,2977,278,,True,,,,100.0,True,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
33,33,06-04-2020 13:12:33,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,10 гр,0.0106,6607,2338,219,85.0,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,06-04-2020 13:12:33,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0529,31093,11000,1029,400.0,True,,,,,,,,,,gashish evro 10g
35,35,06-04-2020 13:12:33,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1027,60398,21368,1999,777.0,True,,,,,,,,,,Gashish Evro 20gr
36,36,06-04-2020 13:12:33,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2504,155465,55000,5144,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,37,06-04-2020 13:12:33,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0307,17148,5954,556,,True,,,,200.0,,,,,,METADON - 0.25 G.
38,38,06-04-2020 13:12:33,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),,нет,1,Тбилиси,2 гр,0.0207,12861,4466,417,,True,,,,150.0,,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
39,39,06-04-2020 13:12:33,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0278,15547,5500,514,200.0,True,,,,,,,,,,✨✨2gram. MDMA✨✨
40,40,06-04-2020 13:12:33,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0513,28683,10148,949,369.0,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,41,06-04-2020 13:12:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0821,45862,16225,1518,590.0,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,42,06-04-2020 13:12:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0551,31093,11000,1029,400.0,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
