,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,€,Тбилиси,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
75,75,05-06-2020 09:34:34,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5108,345076,134250,11989,5000.0,,,,,,,,True,,METADON - 20 G.
76,76,05-06-2020 09:34:34,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1656,112990,51992,3925,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
77,77,05-06-2020 09:34:34,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2622,178900,82321,6215,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
78,78,05-06-2020 09:34:34,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6902,2685,240,100.0,,,,,,,,True,,kur'er v Batumi
79,79,05-06-2020 09:34:34,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17254,6713,599,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
80,80,05-06-2020 09:34:34,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17254,6713,599,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
81,81,05-06-2020 09:34:34,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0202,13803,5370,480,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
82,82,05-06-2020 09:34:34,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0283,19331,7578,672,,,250.0,,,,,,True,,Rabota na marki (kur'er)
83,83,05-06-2020 09:34:34,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.531,1035227,402750,35966,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
84,84,05-06-2020 09:34:34,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0506,34508,13425,1199,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,85,05-06-2020 09:36:11,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0288,20083,7813,698,291.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
86,86,05-06-2020 09:36:11,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0283,19331,7578,672,,,250.0,,,,,,,True,Rabota na marki (kur'er)
