,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,€,Saburtalo,Old Tbilisi (Старый город),Дигоми,Didube,Vake,Батуми,Центр,Кутаиси,desc_en
37,37,14-07-2020 22:04:21,Batumi,75738ec358,ASTRAL 3g,,1,нет,Батуми,3 гр,0.0256,19204,7371,653,270.0,,,,,,,,True,,,ASTRAL 3g
38,38,14-07-2020 22:04:21,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0334,22761,8736,774,320.0,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
39,39,14-07-2020 22:04:21,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.037000000000000005,24993,9598,849,,,310.0,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
40,40,14-07-2020 22:04:21,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0332,24895,9555,846,350.0,,,,,,,,True,,,Mefedron 3g
41,41,14-07-2020 22:04:21,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0399,29874,11466,1016,420.0,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
42,42,14-07-2020 22:04:21,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0526,35474,13622,1204,,,440.0,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
43,43,14-07-2020 22:04:21,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0466,31443,12074,1068,,,390.0,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
44,44,14-07-2020 22:04:21,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0477,32169,12353,1092,,,399.0,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
45,45,14-07-2020 22:04:21,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1659,112990,51992,3861,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
46,46,14-07-2020 22:04:21,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2628,178900,82321,6113,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
47,47,14-07-2020 22:04:21,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7113,2730,242,100.0,,,,,,,,True,,,kur'er v Batumi
48,48,14-07-2020 22:04:21,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17782,6825,605,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
49,49,14-07-2020 22:04:21,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17782,6825,605,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
50,50,14-07-2020 22:04:21,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14226,5460,484,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
51,51,14-07-2020 22:04:21,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5812,1066913,409500,36278,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
52,52,14-07-2020 22:04:21,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0522,35564,13650,1209,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
53,53,14-07-2020 22:05:51,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4408,300158,115206,10206,4220.0,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
