,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Nadzaladevi,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
69,69,08-03-2020 21:31:57,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.7432,1012763,376950,33594,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
70,70,08-03-2020 21:33:26,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,23,нет,Батуми,1 гр,0.0209,13504,5026,448,200.0,,,,,,,True,,,NZT-52 limited 1 g muka
71,71,08-03-2020 21:33:26,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,4,нет,Батуми,1 гр,0.0069,4051,1508,134,60.0,,,,,,,True,,,ORANGE PUNCH [1g]
72,72,08-03-2020 21:33:26,Batumi,c72111ac1a,NZT-52 limited 2г мука,,13,нет,Батуми,2 гр,0.0377,24306,9047,806,360.0,,,,,,,True,,,NZT-52 limited 2g muka
73,73,08-03-2020 21:33:26,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 2G,,3,нет,Батуми,2 гр,0.0115,6752,2513,224,100.0,,,,,,,,True,,Super Critical HIGHEST QUALITY 2G
74,74,08-03-2020 21:33:26,Batumi,012f23b5ea,Power Africa 2.5 g,,2,нет,Батуми,2.5 гр,0.011000000000000001,7089,2639,235,105.0,,,,,,,True,,,Power Africa 2.5 g
75,75,08-03-2020 21:33:26,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,2,нет,Батуми,5 гр,0.0288,16879,6283,560,250.0,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
76,76,08-03-2020 21:33:26,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1728,101276,37695,3359,1500.0,,,,,,,True,,,Skunk! 50 gr.
77,77,08-03-2020 21:33:26,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.0314,18230,6785,605,270.0,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
78,78,08-03-2020 21:33:26,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0209,13504,5026,448,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
79,79,08-03-2020 21:33:26,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2326,135035,50260,4479,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
80,80,08-03-2020 21:33:26,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1745,101276,37695,3359,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,81,08-03-2020 21:33:26,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0052,3376,1257,112,50.0,,,,,,,True,,,kur'er v Batumi
82,82,08-03-2020 21:33:26,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0262,16879,6283,560,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,83,08-03-2020 21:33:26,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0157,10128,3770,336,150.0,,,,,,,True,,,Rabota na marki (kur'er)
84,84,08-03-2020 21:33:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0262,16879,6283,560,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,08-03-2020 21:33:26,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.7432,1012763,376950,33594,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,08-03-2020 21:33:26,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0576,33759,12565,1120,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,08-03-2020 21:35:15,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0157,10128,3770,336,150.0,,,,,,,,,True,Rabota na marki (kur'er)
