,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
12,12,09-08-2020 23:30:02,Tbilisi,67187efef3,АКЦИЯ! 0.5gr marijuana best buds Btc 5% sale,True,1,нет,Тбилиси,0.5 гр,0.0018,1620,613,54,22.0,,,,,,,,,,,,AKTsIJa! 0.5gr marijuana best buds Btc 5% sale
13,13,09-08-2020 23:30:02,Tbilisi,16a8841259,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA,True,5,нет,Тбилиси,0.5 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,🙏🧟0.5 Gramm CHEMDOG DOMINANT INDICA
14,14,09-08-2020 23:30:02,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds,True,17,нет,Тбилиси,1 гр,0.0051,4345,1644,144,59.0,,,,,,,,,,,,1 G Hybrid Marijuana Buds
15,15,09-08-2020 23:30:02,Tbilisi,7c395c455d,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,4,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,16,09-08-2020 23:30:02,Tbilisi,bb1791277e,"1 gr california import Durban Poison марихуана BUDS 24% thc , sativa , если платите с бтк скидка",True,3,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,,,,,,,,,,,"1 gr california import Durban Poison marihuana BUDS 24% thc , sativa , esli platite s btk skidka"
17,17,09-08-2020 23:30:02,Tbilisi,bb1791277e,1 gr super lemon haze пробник,True,3,нет,Тбилиси,1 гр,0.0051,4345,1644,144,59.0,,,,,,,,,,,,1 gr super lemon haze probnik
18,18,09-08-2020 23:30:02,Tbilisi,7c395c455d,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,5,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
19,19,09-08-2020 23:30:02,Tbilisi,69672fee0d,1 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,7,нет,Тбилиси,1 гр,0.0051,4345,1644,144,59.0,,,,,,,,,,,,1 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
20,20,09-08-2020 23:30:02,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,5,нет,Тбилиси,1 гр,0.0051,4345,1644,144,59.0,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
21,21,09-08-2020 23:30:02,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0048,4050,1532,135,55.0,,True,True,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
22,22,09-08-2020 23:30:02,Tbilisi,8ddca45a78,1G 🍇 GRAPE APE,True,2,нет,Тбилиси,1 гр,0.0041,3535,1337,118,48.0,,,,,,,,,,,,1G 🍇 GRAPE APE
23,23,09-08-2020 23:30:02,Tbilisi,8ddca45a78,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,3,нет,Тбилиси,1 гр,0.0041,3535,1337,118,48.0,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
24,24,09-08-2020 23:30:02,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
25,25,09-08-2020 23:30:02,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,33,нет,Тбилиси,1 гр,0.0042,3608,1365,120,49.0,,,,,,,,,,,,1gr HYBRID o.g
26,26,09-08-2020 23:30:02,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,15,нет,Тбилиси,1 гр,0.0049,4197,1588,140,57.0,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
27,27,09-08-2020 23:30:02,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,1 гр,0.0042,3608,1365,120,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
28,28,09-08-2020 23:30:02,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,29,09-08-2020 23:30:02,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,5,нет,Тбилиси,1 гр,0.0049,4197,1588,140,57.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
30,30,09-08-2020 23:30:02,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3976,1504,132,54.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
31,31,09-08-2020 23:30:02,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,3,нет,Тбилиси,1 гр,0.005,4271,1616,142,58.0,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
32,32,09-08-2020 23:30:02,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
33,33,09-08-2020 23:30:02,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,12,нет,Тбилиси,1 гр,0.0036,3240,1226,108,44.0,,,,,,,,,,,,TYson Budds 1G Skidka 5%
34,34,09-08-2020 23:30:02,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3682,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
35,35,09-08-2020 23:30:02,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,2,нет,Тбилиси,1 гр,0.0039,3314,1254,110,45.0,,,,,,,,,,,,Boshki OG Kush 1g.
36,36,09-08-2020 23:31:11,Tbilisi,22610cd7c4,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,14,нет,Тбилиси,1 гр,0.0031,2651,1003,88,36.0,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
37,37,09-08-2020 23:31:11,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0029,2577,975,86,35.0,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
38,38,09-08-2020 23:31:11,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0086,7290,2758,242,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
39,39,09-08-2020 23:31:11,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0103,8837,3343,294,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
40,40,09-08-2020 23:31:11,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0086,7364,2786,245,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
41,41,09-08-2020 23:31:11,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
42,42,09-08-2020 23:31:11,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0075,6480,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
43,43,09-08-2020 23:31:11,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,4,нет,Тбилиси,2 гр,0.0086,7290,2758,242,99.0,,,,,,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
44,44,09-08-2020 23:31:11,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,1,нет,Тбилиси,2 гр,0.0086,8100,3065,269,110.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
45,45,09-08-2020 23:31:11,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,9,нет,Тбилиси,2 гр,0.0086,7290,2758,242,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
46,46,09-08-2020 23:31:11,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,5,нет,Тбилиси,2 гр,0.0086,7290,2758,242,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
47,47,09-08-2020 23:31:11,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,8,нет,Тбилиси,2 гр,0.0062,5891,2229,196,80.0,,,,,,,,,,,,TYson Budds 2G Skidka 5%
48,48,09-08-2020 23:31:11,Tbilisi,fccfd69694,Бошки OG Kush 2g.,True,3,нет,Тбилиси,2 гр,0.0069,5891,2229,196,80.0,,,,,,,,,,,,Boshki OG Kush 2g.
49,49,09-08-2020 23:31:11,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan (подезд),,2,нет,Тбилиси,3 гр,0.0021,1767,669,59,24.0,,,True,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
50,50,09-08-2020 23:31:11,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.006999999999999999,6627,2507,220,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
51,51,09-08-2020 23:31:11,Tbilisi,4a91350669,5 ecstasy red maseratti VHQ екстази импорт с США,True,1,нет,Тбилиси,5 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
52,52,09-08-2020 23:31:11,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,5 гр,0.0187,17673,6686,588,240.0,,,,True,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
53,53,09-08-2020 23:31:11,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,1,2,Тбилиси,5 гр,0.0187,17673,6686,588,240.0,,,,True,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
54,54,09-08-2020 23:31:11,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
55,55,09-08-2020 23:31:11,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0231,19882,7522,661,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
56,56,09-08-2020 23:31:11,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0236,20250,7662,673,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
57,57,09-08-2020 23:31:11,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0206,17673,6686,588,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
58,58,09-08-2020 23:31:11,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.024,20619,7801,686,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
59,59,09-08-2020 23:31:11,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0231,19882,7522,661,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
60,60,09-08-2020 23:31:11,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0171,16127,6101,536,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
61,61,09-08-2020 23:31:11,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0231,19882,7522,661,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
62,62,09-08-2020 23:31:11,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2012,190000,87429,6317,,,,,,,,,,,,,reagent 25i nbome. 5gr
63,63,09-08-2020 23:31:11,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2337,220913,83580,7345,3000.0,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
64,64,09-08-2020 23:31:11,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0471,40501,15323,1347,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
65,65,09-08-2020 23:31:11,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.06,51546,19502,1714,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,09-08-2020 23:31:11,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.036000000000000004,30928,11701,1028,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,09-08-2020 23:31:11,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0686,58910,22288,1959,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,09-08-2020 23:31:11,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,10,Тбилиси,10 гр,0.0012,1031,390,34,14.0,,,,,,,,,,,,GABAGAMA 10 shtuk
69,69,09-08-2020 23:31:11,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.04,33997,12792,1130,,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
70,70,09-08-2020 23:32:05,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.6578,589101,222880,19586,8000.0,,,,,,,,,,,,Sirets moschnyj Iran 50gr
71,71,09-08-2020 23:32:05,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2057,176730,66864,5876,2400.0,,,,,,,,,,,,100 gr marijuana buds
72,72,09-08-2020 23:32:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2142,184094,69650,6121,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
73,73,09-08-2020 23:32:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5056,434462,164374,14444,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
74,74,09-08-2020 23:32:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7284,625920,236810,20810,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,09-08-2020 23:32:05,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0214,18409,6965,612,250.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
76,76,09-08-2020 23:32:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,09-08-2020 23:32:05,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0467,44183,16716,1469,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
78,78,09-08-2020 23:32:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0171,14728,5572,490,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,09-08-2020 23:32:05,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
80,80,09-08-2020 23:32:05,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0428,36819,13930,1224,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
81,81,09-08-2020 23:32:05,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0428,36819,13930,1224,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
82,82,09-08-2020 23:32:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.297,1104564,417900,36723,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
83,83,09-08-2020 23:32:05,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0428,36819,13930,1224,500.0,,,,,True,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
84,84,09-08-2020 23:34:39,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0408,34782,13087,1156,,,,,,,,399.0,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,09-08-2020 23:34:39,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0399,33997,12792,1130,,,,,,,,390.0,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,86,09-08-2020 23:34:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0195,18409,6965,612,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
87,87,09-08-2020 23:34:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0195,18409,6965,612,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
88,88,09-08-2020 23:34:39,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0171,14728,5572,490,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
89,89,09-08-2020 23:34:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2959,1104564,417900,36723,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
90,90,09-08-2020 23:34:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0428,36819,13930,1224,500.0,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
