,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,.,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
35,35,29-04-2020 11:55:54,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0238,14094,5150,466,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
36,36,29-04-2020 11:55:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0239,14168,5178,468,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,37,29-04-2020 11:55:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0616,36465,13325,1204,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
38,38,29-04-2020 11:55:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0238,14094,5150,466,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
39,39,29-04-2020 11:55:54,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,3,Тбилиси,10 гр,0.0137,8203,2998,271,110.0,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
40,40,29-04-2020 11:55:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1122,67114,24525,2217,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,29-04-2020 11:55:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0873,52199,19075,1724,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,29-04-2020 11:55:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0399,23863,8720,788,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,29-04-2020 11:55:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0997,59656,21800,1970,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,29-04-2020 11:55:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2774,165920,60631,5480,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
45,45,29-04-2020 11:55:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1963,116256,42483,3840,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,46,29-04-2020 11:55:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0465,27517,10055,909,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,29-04-2020 11:55:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0377,22297,8148,736,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
48,48,29-04-2020 11:55:54,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.6296,372853,136250,12315,5000.0,,,,,,,,,,,METADON - 20 G.
49,49,29-04-2020 11:55:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0754,44668,16323,1475,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,29-04-2020 11:55:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1371,82028,29975,2709,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
51,51,29-04-2020 11:55:54,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2992,178969,65400,5911,2400.0,,,,,,,,,,,100 gr marijuana buds
52,52,29-04-2020 11:55:54,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,3,Тбилиси,100 гр,0.374,223712,81750,7389,3000.0,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
53,53,29-04-2020 11:55:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2493,149141,54500,4926,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,29-04-2020 11:55:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3117,186427,68125,6158,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,29-04-2020 11:55:54,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7356,439967,160775,14532,5900.0,,,,,,,,,,,180 gr marihuana persoalno
56,56,29-04-2020 11:55:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5735,343025,125350,11330,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
57,57,29-04-2020 11:55:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.935,559280,204375,18473,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
58,58,29-04-2020 11:55:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0597,633850,231625,20936,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
59,59,29-04-2020 11:55:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0227,14914,5450,493,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
60,60,29-04-2020 11:55:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0249,14914,5450,493,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,61,29-04-2020 11:55:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0312,18643,6813,616,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
62,62,29-04-2020 11:55:54,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0249,14914,5450,493,200.0,,,,,,,,,,,Rabota na marki (kur'er)
63,63,29-04-2020 11:55:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8871,1118559,408750,36945,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,29-04-2020 11:57:02,Batumi,54915c4374,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0122,8077,2960,265,,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
65,65,29-04-2020 11:57:02,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2735,164055,59950,5419,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
66,66,29-04-2020 11:57:02,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6279,372853,136250,12315,5000.0,,,,,,,,True,,,METADON - 20 G.
67,67,29-04-2020 11:57:02,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0113,7457,2725,246,100.0,,,,,,,,True,,,kur'er v Batumi
68,68,29-04-2020 11:57:02,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0283,18643,6813,616,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
69,69,29-04-2020 11:57:02,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0283,18643,6813,616,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
70,70,29-04-2020 11:57:02,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.882,1118559,408750,36945,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
71,71,29-04-2020 11:57:02,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0622,37285,13625,1232,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
72,72,29-04-2020 11:58:12,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0233,14094,5141,466,189.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
73,73,29-04-2020 11:58:12,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0602,36092,13165,1192,484.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
74,74,29-04-2020 11:58:12,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0414,24832,9058,820,333.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,75,29-04-2020 11:58:12,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0249,14914,5440,493,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
