,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
16,16,20-02-2020 00:13:52,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0263,19106,7353,661,300.0,,,,,,,,,,,Metadon 0.6gr
17,17,20-02-2020 00:13:52,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,24,нет,Тбилиси,1 гр,0.0039,2866,1103,99,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,18,20-02-2020 00:13:52,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,6,нет,Тбилиси,1 гр,0.0116,7642,2941,264,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
19,19,20-02-2020 00:13:52,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,2,нет,Тбилиси,1 гр,0.0087,5732,2206,198,90.0,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
20,20,20-02-2020 00:13:52,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,9,нет,Тбилиси,1 гр,0.0043,2866,1103,99,45.0,True,True,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
21,21,20-02-2020 00:13:52,Tbilisi,cb721d4bca,"1 mdma very strong best quality , import califronia , лучши мдма на саите",True,7,нет,Тбилиси,1 гр,0.0125,8279,3186,286,130.0,,,,,,,,,,,"1 mdma very strong best quality , import califronia , luchshi mdma na saite"
22,22,20-02-2020 00:13:52,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,6,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
23,23,20-02-2020 00:13:52,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,16,нет,Тбилиси,1 гр,0.0035,2356,907,82,37.0,True,,,,,,,,,,1G -- AK-47 -> Sativa
24,24,20-02-2020 00:13:52,Tbilisi,8ddca45a78,1g AFGHANI Indica THC 18% / BTC -10% sale,True,3,нет,Тбилиси,1 гр,0.0034,2484,956,86,39.0,,,,,,,,,,,1g AFGHANI Indica THC 18% / BTC -10% sale
25,25,20-02-2020 00:13:52,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,4,нет,Тбилиси,1 гр,0.0034,2484,956,86,39.0,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
26,26,20-02-2020 00:13:52,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,8,нет,Тбилиси,1 гр,0.0106,6942,2672,240,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
27,27,20-02-2020 00:13:52,Tbilisi,8ddca45a78,1g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.0034,2484,956,86,39.0,,,,,,,,,,,1g NORTHERN LIGHTS Indica THC 20% / BTC -10% sale
28,28,20-02-2020 00:13:52,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0089,5847,2261,203,,,,,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
29,29,20-02-2020 00:13:52,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,2,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
30,30,20-02-2020 00:13:52,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0085,5847,2261,203,,,,,85.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
31,31,20-02-2020 00:14:36,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,1 гр,0.0193,12610,4853,436,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
32,32,20-02-2020 00:14:36,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,7,нет,Тбилиси,1 гр,0.0214,14011,5392,485,220.0,,,,,,,,,,,"Cocaine, 1g"
33,33,20-02-2020 00:14:36,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,True,1,нет,Тбилиси,1 гр,0.0039,2548,980,88,40.0,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
34,34,20-02-2020 00:14:36,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,6,нет,Тбилиси,1 гр,0.0073,4840,1863,167,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g
35,35,20-02-2020 00:14:36,Tbilisi,3c4662c591,KALI MIST 1G,,3,нет,Тбилиси,1 гр,0.0043,2866,1103,99,45.0,True,,,,,,,,,,KALI MIST 1G
36,36,20-02-2020 00:14:36,Tbilisi,8219f5e7b8,Ketamine 1g,True,4,нет,Тбилиси,1 гр,0.0097,6369,2451,220,100.0,,,,,,,,,,,Ketamine 1g
37,37,20-02-2020 00:14:36,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0184,12037,4632,416,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
38,38,20-02-2020 00:14:36,Tbilisi,edfbad0151,THC Snow Buds Only 1G (THC 23+%),True,9,нет,Тбилиси,1 гр,0.0045,2993,1152,104,47.0,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
39,39,20-02-2020 00:14:36,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,7,нет,Тбилиси,1 гр,0.0184,12674,4877,438,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
40,40,20-02-2020 00:14:36,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0157,10827,4167,375,170.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
41,41,20-02-2020 00:14:36,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.018000000000000002,12037,4632,416,189.0,,,,,,,,,,,Kokain HQ 1g.
42,42,20-02-2020 00:14:36,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0172,11400,4387,394,179.0,,,,,True,,,,,,Kokain KOLUMBIA 1g
43,43,20-02-2020 00:14:36,Tbilisi,61df6a1c90,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.0394,28659,11030,991,450.0,,,,,,,,,,,Metadon 1gr
44,44,20-02-2020 00:14:36,Tbilisi,e8a987a33c,"Метадон, 1gr",True,4,нет,Тбилиси,1 гр,0.0385,25475,9804,881,400.0,,,,,,,,,,,"Metadon, 1gr"
45,45,20-02-2020 00:14:36,Tbilisi,dd631c4acf,💩1g. New Hush Gorilla Glue Premium💩,True,3,нет,Тбилиси,1 гр,0.0067,4394,1691,152,69.0,,,,,,,,,,,💩1g. New Hush Gorilla Glue Premium💩
46,46,20-02-2020 00:14:36,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,2 гр,0.0074,5413,2083,187,85.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,20-02-2020 00:14:36,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.006999999999999999,4815,1862,167,,,,,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
48,48,20-02-2020 00:14:36,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,3,нет,Тбилиси,2 гр,0.006999999999999999,4815,1862,167,,,,,70.0,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
49,49,20-02-2020 00:14:36,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,3,нет,Тбилиси,2 гр,0.0079,5222,2010,181,82.0,True,True,True,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
50,50,20-02-2020 00:14:36,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,12,нет,Тбилиси,2 гр,0.0067,4522,1740,156,71.0,True,,,,,,,,,,2G -- AK-47 -> Sativa
51,51,20-02-2020 00:14:36,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0077,5031,1936,174,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
52,52,20-02-2020 00:14:36,Tbilisi,cb721d4bca,"2gr WHITE WIDOW марихуана шишки ,Оплата BITCOIN -10% Скидка.",True,2,нет,Тбилиси,2 гр,0.0067,4458,1716,154,70.0,,,,,,,,,,,"2gr WHITE WIDOW marihuana shishki ,Oplata BITCOIN -10% Skidka."
53,53,20-02-2020 00:14:36,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.035,22927,8824,793,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
54,54,20-02-2020 00:14:36,Tbilisi,1768a14bbd,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.036000000000000004,23564,9069,815,370.0,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
55,55,20-02-2020 00:14:36,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0335,22609,8701,782,355.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
56,56,20-02-2020 00:14:36,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,2,нет,Тбилиси,2 гр,0.0077,5604,2157,194,88.0,True,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
57,57,20-02-2020 00:14:36,Tbilisi,3c4662c591,KALI MIST 2G,,3,нет,Тбилиси,2 гр,0.0096,6369,2451,220,100.0,True,,,,,,,,,,KALI MIST 2G
58,58,20-02-2020 00:14:36,Tbilisi,8219f5e7b8,Ketamine 2 g,True,3,нет,Тбилиси,2 гр,0.0175,11464,4412,397,180.0,,,,,,,,,,,Ketamine 2 g
59,59,20-02-2020 00:14:36,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,1,нет,Тбилиси,2 гр,0.0068,4458,1716,154,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
60,60,20-02-2020 00:14:36,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,2,нет,Тбилиси,2 гр,0.0165,11145,4289,386,175.0,,,True,,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
61,61,20-02-2020 00:14:36,Tbilisi,bb1791277e,NORTHEN LIGHTS 2gr шишки марихуана если платите с бтк скидка 10% !!,True,4,нет,Тбилиси,2 гр,0.0087,5732,2206,198,90.0,,,,,,,,,,,NORTHEN LIGHTS 2gr shishki marihuana esli platite s btk skidka 10% !!
62,62,20-02-2020 00:14:36,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,10,нет,Тбилиси,2 гр,0.0193,14011,5392,485,220.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
63,63,20-02-2020 00:14:36,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.008,5413,2083,187,85.0,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
64,64,20-02-2020 00:14:36,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,3,нет,Тбилиси,2 гр,0.0341,24838,9559,859,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
65,65,20-02-2020 00:14:36,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0336,22227,8554,769,349.0,,,,,True,,,,,,Kokain KOLUMBIA 2g
66,66,20-02-2020 00:14:36,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,4,нет,Тбилиси,2 гр,0.0102,7006,2696,242,110.0,,,,,,,,,,,🍃 2gr GAShISh 🍃
67,67,20-02-2020 00:15:08,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,1,нет,Тбилиси,3 гр,0.0106,6942,2672,240,109.0,,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
68,68,20-02-2020 00:15:08,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,8,нет,Тбилиси,3 гр,0.0105,7642,2941,264,120.0,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
69,69,20-02-2020 00:15:08,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0096,7006,2696,242,110.0,,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
70,70,20-02-2020 00:15:08,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0236,15603,6005,540,245.0,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
71,71,20-02-2020 00:15:08,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0102,6687,2574,231,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
72,72,20-02-2020 00:15:08,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0271,19743,7598,683,310.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
73,73,20-02-2020 00:15:08,Tbilisi,ae784bef73,White Widow ! 3G ! grainded,True,8,нет,Тбилиси,3 гр,0.0076,5031,1936,174,79.0,,,,,,,,,,,White Widow ! 3G ! grainded
74,74,20-02-2020 00:15:08,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,1,нет,Тбилиси,3 гр,0.0116,7579,2917,262,119.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
75,75,20-02-2020 00:15:08,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0151,9872,3799,341,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
76,76,20-02-2020 00:15:08,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0827,54134,20834,1873,850.0,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
77,77,20-02-2020 00:15:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.017,11145,4289,386,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
78,78,20-02-2020 00:15:08,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,2,нет,Тбилиси,5 гр,0.0143,9553,3677,330,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
79,79,20-02-2020 00:15:08,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0149,10827,4167,375,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
80,80,20-02-2020 00:15:08,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0146,9553,3677,330,150.0,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
81,81,20-02-2020 00:15:08,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0155,10126,3897,350,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
82,82,20-02-2020 00:15:08,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0194,13374,5147,463,210.0,,,,,,,,,,,gashish evro 5g
83,83,20-02-2020 00:15:08,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0249,17196,6618,595,270.0,,,,,,,,,,,🍃 5gr GAShISh 🍃
84,84,20-02-2020 00:15:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,13,нет,Тбилиси,10 гр,0.0257,17005,6544,588,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
85,85,20-02-2020 00:15:08,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0291,19106,7353,661,300.0,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
86,86,20-02-2020 00:15:08,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.037000000000000005,25475,9804,881,400.0,,,,,,,,,,,gashish evro 10g
87,87,20-02-2020 00:15:08,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,9,нет,Тбилиси,10 гр,0.0083,6050,2328,209,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
88,88,20-02-2020 00:15:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0718,49485,19044,1712,777.0,,,,,,,,,,,Gashish Evro 20gr
89,89,20-02-2020 00:15:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0221,14457,5564,500,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
90,90,20-02-2020 00:15:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0291,19043,7328,659,299.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
91,91,20-02-2020 00:15:08,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,нет,1,Тбилиси,1 гр,0.0046,3184,1226,110,50.0,,,,,,,,,,,Weed From Gali(THC 23%) 1gr
92,92,20-02-2020 00:15:08,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0583,38212,14706,1322,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
93,93,20-02-2020 00:15:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0385,25475,9804,881,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
94,94,20-02-2020 00:15:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0231,15285,5882,529,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
95,95,20-02-2020 00:15:08,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0241,15922,6128,551,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
96,96,20-02-2020 00:15:08,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1313,95531,36765,3305,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
97,97,20-02-2020 00:15:08,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0241,15922,6128,551,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
98,98,20-02-2020 00:15:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0241,15922,6128,551,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
99,99,20-02-2020 00:15:08,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0192,12674,4877,438,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
100,100,20-02-2020 00:15:09,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0241,15922,6128,551,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
101,101,20-02-2020 00:16:11,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0192,13948,5368,482,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
102,102,20-02-2020 00:16:11,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0183,13311,5123,460,209.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
103,103,20-02-2020 00:16:11,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0183,13311,5123,460,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
104,104,20-02-2020 00:16:11,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0241,15922,6128,551,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
