,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
10,10,20-07-2020 23:55:45,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,6,нет,Тбилиси,3 гр,0.0037,2447,945,82,34.0,,True,,,,,,,,,Marijuana Super Skunk leaves 3g plan
11,11,20-07-2020 23:55:45,Tbilisi,e771f4c371,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE,,2,нет,Тбилиси,4.2 гр,0.0213,14393,5556,480,200.0,True,,,,,,,,,,Red Cherry 4.2G 27%THC *VHQ* FROM EUROPE
12,12,20-07-2020 23:55:45,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0277,18710,7223,624,260.0,True,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
13,13,20-07-2020 23:55:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0299,20150,7778,672,280.0,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
14,14,20-07-2020 23:55:45,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.0288,19430,7501,648,270.0,True,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
15,15,20-07-2020 23:55:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0189,14033,5417,468,195.0,True,,,,,,,,,,5g. marihuana shishki Critical
16,16,20-07-2020 23:55:45,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0465,32383,12501,1080,450.0,True,,,,,,,,,,Gashish Evro 10gr
17,17,20-07-2020 23:55:45,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0175,12953,5000,432,180.0,True,,,,,,,,,,11+ GRAMM BEASTWEED NEW
18,18,20-07-2020 23:55:45,Tbilisi,8528108b62,12g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.032,23748,9167,792,330.0,True,,,,,,,,,,12g. marihuana shishki Critical
19,19,20-07-2020 23:55:45,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0354,26266,10140,876,365.0,True,,,,,,,,,,25 GGAMM NEW BEASTWEED
20,20,20-07-2020 23:55:45,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (25шт)",,1,нет,Тбилиси,25 гр,0.0175,12953,5000,432,180.0,True,,,,,,,,,,"marki 25i-nbome 2,5mg (25sht)"
21,21,20-07-2020 23:55:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2153,143926,55560,4799,2000.0,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,20-07-2020 23:55:45,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0382,25541,9843,847,,True,,310.0,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
23,23,20-07-2020 23:55:45,Tbilisi,7f1273da70,марихуана пудра высокое качество 4грам,,нет,10,Тбилиси,4 гр,0.0063,4678,1806,156,65.0,True,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
24,24,20-07-2020 23:55:45,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0267,17991,6945,600,250.0,True,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
25,25,20-07-2020 23:55:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,2,Тбилиси,5 гр,0.0587,39580,15279,1320,550.0,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,20-07-2020 23:55:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,1,6,Тбилиси,5 гр,0.0288,19430,7501,648,270.0,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
27,27,20-07-2020 23:55:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0293,19790,7640,660,275.0,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
28,28,20-07-2020 23:55:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,1,4,Тбилиси,5 гр,0.0256,17271,6667,576,240.0,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
29,29,20-07-2020 23:55:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0299,20150,7778,672,280.0,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,30,20-07-2020 23:55:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0288,19430,7501,648,270.0,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,31,20-07-2020 23:55:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0212,15760,6084,525,219.0,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,32,20-07-2020 23:55:45,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,8,Тбилиси,5 гр,0.0251,16911,6528,564,235.0,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
33,33,20-07-2020 23:55:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0288,19430,7501,648,270.0,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,34,20-07-2020 23:55:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.256,190000,87429,6356,,True,,,,,,,,,,reagent 25i nbome. 5gr
35,35,20-07-2020 23:57:03,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2559,190000,87429,6356,,True,,,,,,,,,,reagent 25i nbome. 5gr
36,36,20-07-2020 23:57:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2907,215888,83340,7198,3000.0,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,20-07-2020 23:57:03,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,2,Тбилиси,5 гр,0.0267,17991,6945,600,250.0,True,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
38,38,20-07-2020 23:57:03,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0246,16478,6350,546,,True,,200.0,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
39,39,20-07-2020 23:57:03,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0959,64767,25002,2159,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
40,40,20-07-2020 23:57:03,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0586,39580,15279,1320,550.0,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
41,41,20-07-2020 23:57:03,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0746,50374,19446,1680,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,42,20-07-2020 23:57:03,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0448,30224,11668,1008,420.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,43,20-07-2020 23:57:03,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0853,57570,22224,1920,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,44,20-07-2020 23:57:03,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0448,30224,11668,1008,420.0,True,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
45,45,20-07-2020 23:57:03,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,1,10,Тбилиси,10 гр,0.0368,27346,10556,912,380.0,True,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
46,46,20-07-2020 23:57:03,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2372,160117,61811,5339,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
47,47,20-07-2020 23:57:03,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0437,29505,11390,984,410.0,True,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
48,48,20-07-2020 23:57:03,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0542,36252,13970,1202,,True,,440.0,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
49,49,20-07-2020 23:57:03,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.048,32132,12383,1065,,True,,390.0,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
50,50,20-07-2020 23:57:03,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.063,46776,18057,1560,650.0,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
51,51,20-07-2020 23:57:03,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2558,172711,66672,5759,2400.0,True,,,,,,,,,,100 gr marijuana buds
52,52,20-07-2020 23:57:03,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2665,179907,69450,5999,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,20-07-2020 23:57:03,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,3,Тбилиси,100 гр,0.0373,25187,9723,840,350.0,,,,True,True,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
54,54,20-07-2020 23:57:03,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.629,424581,163902,14156,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
55,55,20-07-2020 23:57:03,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,4,Тбилиси,500 гр,0.1279,86355,33336,2879,1200.0,,,,True,True,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
56,56,20-07-2020 23:57:03,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9061,611684,236130,20395,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,20-07-2020 23:57:03,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0194,14393,5556,480,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
58,58,20-07-2020 23:57:03,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.016,10794,4167,360,150.0,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
59,59,20-07-2020 23:57:03,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0267,17991,6945,600,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
60,60,20-07-2020 23:57:03,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0388,28785,11112,960,400.0,True,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
61,61,20-07-2020 23:57:03,Tbilisi,ebadfc162f,"Galiak ищет курьерa толка за марихуани в тбилиси, клад 8$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0194,14393,5556,480,200.0,True,,,,,,,,,,"Galiak ischet kur'era tolka za marihuani v tbilisi, klad 8$. Zalog s 200$"
62,62,20-07-2020 23:57:03,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0267,17991,6945,600,250.0,True,,,,,,,,,,Rabota na marki (kur'er)
63,63,20-07-2020 23:57:03,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0533,35981,13890,1200,500.0,True,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
64,64,20-07-2020 23:57:03,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6136,1079442,416700,35991,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,20-07-2020 23:57:03,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0533,35981,13890,1200,500.0,,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
66,66,20-07-2020 23:59:36,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0374,25187,9723,840,350.0,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
67,67,20-07-2020 23:59:36,Batumi,3c4662c591,Super Critical 10G,,2,нет,Батуми,10 гр,0.048,32383,12501,1080,450.0,,,,,,,,,True,,Super Critical 10G
68,68,20-07-2020 23:59:36,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0382,25541,9843,847,,,,310.0,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
69,69,20-07-2020 23:59:36,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.034,25187,9723,840,350.0,,,,,,,,True,,,Mefedron 3g
70,70,20-07-2020 23:59:36,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0408,30224,11668,1008,420.0,,,,,,,,True,,,Tably Punisher 300 mg. 5sht.
71,71,20-07-2020 23:59:36,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0543,36252,13970,1202,,,,440.0,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
72,72,20-07-2020 23:59:36,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0481,32132,12383,1065,,,,390.0,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
73,73,20-07-2020 23:59:36,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0492,32874,12668,1090,,,,399.0,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
74,74,20-07-2020 23:59:36,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1676,112990,51992,3780,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,75,20-07-2020 23:59:36,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,5984,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,76,20-07-2020 23:59:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7196,2778,240,100.0,,,,,,,,True,,,kur'er v Batumi
77,77,20-07-2020 23:59:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0243,17991,6945,600,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,20-07-2020 23:59:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0243,17991,6945,600,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
79,79,20-07-2020 23:59:36,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0213,14393,5556,480,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
80,80,20-07-2020 23:59:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6157,1079442,416700,35991,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,81,20-07-2020 23:59:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0534,35981,13890,1200,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,21-07-2020 00:02:18,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4505,303683,117232,10125,4220.0,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
