,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,€,Батуми,Центр,Кутаиси,desc_en
48,48,01-03-2020 17:48:22,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0792,46894,17290,1567,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
49,49,01-03-2020 17:48:22,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0678,40128,14795,1341,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,01-03-2020 17:48:22,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0753,46894,17290,1567,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
51,51,01-03-2020 17:48:22,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1222,80389,29640,2687,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
52,52,01-03-2020 17:48:22,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1074,66924,24675,2237,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
53,53,01-03-2020 17:48:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2241,133982,49400,4478,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,01-03-2020 17:48:22,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2264,133982,49400,4478,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
55,55,01-03-2020 17:48:22,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2802,167477,61750,5598,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,01-03-2020 17:48:22,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1698,100486,37050,3359,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
57,57,01-03-2020 17:48:22,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5155,308158,113620,10300,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
