,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
59,59,25-06-2020 01:43:34,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0286,19275,7507,663,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,60,25-06-2020 01:43:34,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0276,18586,7239,640,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,25-06-2020 01:43:34,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0204,15075,5871,519,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,25-06-2020 01:43:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,9,Тбилиси,5 гр,0.0179,12047,4692,415,175.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
63,63,25-06-2020 01:43:34,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0276,18586,7239,640,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,25-06-2020 01:43:34,Tbilisi,54915c4374,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1534,103256,40215,3554,1500.0,,,,,,,,,,,Gerojn (sirets) 5 gr
65,65,25-06-2020 01:43:34,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,3,Тбилиси,5 гр,0.0256,17209,6703,592,250.0,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
66,66,25-06-2020 01:43:34,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2566,190000,87429,6546,,,,,,,,,,,,reagent 25i nbome. 5gr
67,67,25-06-2020 01:43:34,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2789,206513,80430,7108,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
68,68,25-06-2020 01:43:34,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0991,66015,25711,2272,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
69,69,25-06-2020 01:44:55,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0196,13079,5094,450,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
70,70,25-06-2020 01:44:55,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,9,Тбилиси,5 гр,0.0505,33662,13110,1159,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
71,71,25-06-2020 01:44:55,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.092,61954,24129,2132,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
72,72,25-06-2020 01:44:55,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0562,37861,14746,1303,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
73,73,25-06-2020 01:44:55,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0715,48186,18767,1658,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
74,74,25-06-2020 01:44:55,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0429,28912,11260,995,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
75,75,25-06-2020 01:44:55,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0818,55070,21448,1895,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,76,25-06-2020 01:44:55,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,10,Тбилиси,10 гр,0.0337,22716,8847,782,330.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
77,77,25-06-2020 01:44:55,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2274,153164,59652,5271,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
78,78,25-06-2020 01:44:55,Tbilisi,54915c4374,Марки н-боом 10 шт.,True,нет,8,Тбилиси,10 гр,0.0102,6884,2681,237,100.0,,,,,,,,,,,Marki n-boom 10 sht.
79,79,25-06-2020 01:44:55,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.2249,151443,58982,5212,2200.0,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
80,80,25-06-2020 01:44:55,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1609,107318,41797,3694,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
81,81,25-06-2020 01:44:55,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0814,54313,21153,1869,789.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
82,82,25-06-2020 01:44:55,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,8,Тбилиси,10 гр,0.0381,25401,9893,874,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
83,83,25-06-2020 01:44:55,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0453,30326,11786,1043,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,84,25-06-2020 01:44:55,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1394,103256,40215,3554,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
