,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Old Tbilisi (Старый город),Vake,Дигоми,Varketili,Авлобари,Gldani,Didube,€,Центр,Батуми,Кутаиси,desc_en
40,40,05-05-2020 03:21:40,Tbilisi,21e6be39fb,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,True,3,нет,Тбилиси,10 гр,0.0403,10317,933,27636,,380.0,,,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
41,41,05-05-2020 03:21:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0407,10860,982,29091,,400.0,,,,,,,,,,,,gashish evro 10g
42,42,05-05-2020 03:21:40,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,6,нет,Тбилиси,20 гр,0.043,10996,994,29454,,405.0,,,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
43,43,05-05-2020 03:21:40,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0791,21096,1907,56508,,777.0,,,,,,,,,,,,Gashish Evro 20gr
44,44,05-05-2020 03:21:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1929,54300,4909,145453,,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,45,05-05-2020 03:21:40,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1802,46128,4170,123562,True,1699.0,,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
46,46,05-05-2020 03:21:40,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,13,Тбилиси,0.2 гр,0.0041,1059,96,2836,,39.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
47,47,05-05-2020 03:21:40,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.017,4344,393,11636,,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
48,48,05-05-2020 03:21:40,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0143,3665,331,9818,,135.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
49,49,05-05-2020 03:21:40,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0346,9768,886,26109,,,,,,,,,,330.0,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
50,50,05-05-2020 03:21:40,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,41,Тбилиси,2 гр,0.0037,950,86,2545,,35.0,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
51,51,05-05-2020 03:21:40,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0225,5702,515,15273,,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
