,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
33,33,30-05-2020 03:15:25,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0202,13443,5140,458,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,30-05-2020 03:15:59,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1018,67851,25941,2311,959.0,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,35,30-05-2020 03:15:59,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0202,13443,5140,458,190.0,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,30-05-2020 03:15:59,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0519,34598,13227,1178,489.0,True,,,,,,,,,,💘✨5g. MDMA ✨💘
37,37,30-05-2020 03:15:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0946,63677,24345,2169,900.0,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,30-05-2020 03:15:59,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.042,28301,10820,964,400.0,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,30-05-2020 03:15:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0736,49526,18935,1687,700.0,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,30-05-2020 03:15:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0441,29716,11361,1012,420.0,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,30-05-2020 03:15:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56602,21640,1928,800.0,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,30-05-2020 03:15:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2338,157423,60186,5362,2225.0,True,,,,,,,,,,Amfetamin [White] [Import] 10G
43,43,30-05-2020 03:15:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,2,Тбилиси,10 гр,0.1655,110302,42171,3757,1559.0,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
44,44,30-05-2020 03:15:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0392,26107,9981,889,369.0,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,30-05-2020 03:15:59,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,нет,9,Тбилиси,20 гр,0.0419,28230,10793,962,399.0,True,,,,,,,,,,20 gr georgian weed. Package on magnet
46,46,30-05-2020 03:15:59,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5307,353760,135250,12050,5000.0,True,,,,,,,,,,METADON - 20 G.
47,47,30-05-2020 03:15:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0636,42380,16203,1444,599.0,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
48,48,30-05-2020 03:15:59,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1365,91907,35138,3131,1299.0,True,,,,,,,,,,50 gr georgian weed. Package on magnet
49,49,30-05-2020 03:15:59,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2626,176809,67598,6023,2499.0,True,,,,,,,,,,100 gr georgian weed. Package on magnet
50,50,30-05-2020 03:15:59,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2522,169805,64920,5784,2400.0,True,,,,,,,,,,100 gr marijuana buds
51,51,30-05-2020 03:15:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2102,141504,54100,4820,2000.0,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
52,52,30-05-2020 03:15:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2627,176880,67625,6025,2500.0,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,30-05-2020 03:15:59,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6201,417437,159595,14219,5900.0,True,,,,,,,,,,180 gr marihuana persoalno
54,54,30-05-2020 03:15:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4834,325459,124430,11086,4600.0,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
55,55,30-05-2020 03:15:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7882,530640,202875,18075,7500.0,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
56,56,30-05-2020 03:15:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8933,601392,229925,20485,8500.0,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,30-05-2020 03:15:59,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14150,5410,482,200.0,True,,,,,,,,,,KURYER..500RUB.+BONUS
58,58,30-05-2020 03:15:59,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.021,14150,5410,482,200.0,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
59,59,30-05-2020 03:15:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0263,17688,6763,603,250.0,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
60,60,30-05-2020 03:15:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5908,1061280,405750,36150,15000.0,True,,,,,,,,,,Vakansija optovogo kur'era na mef
61,61,30-05-2020 03:17:21,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.0089,6014,2299,205,85.0,,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
62,62,30-05-2020 03:17:21,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0029,1981,757,67,28.0,,,,,,,True,,,,Batumi n-booom 2 shtuki
63,63,30-05-2020 03:17:21,Batumi,54915c4374,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0059,3962,1515,135,56.0,,,,,,,True,,,,Marki n-BoooooooM 4 sht
