,time_stamp,region,sell_code,sell_name,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Дигоми,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
39,15-06-2020 19:31:03,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.0418,28158,10784,951,400,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
40,15-06-2020 19:31:03,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0732,49277,18872,1665,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,15-06-2020 19:31:03,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0439,29566,11323,999,420,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,15-06-2020 19:31:03,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0837,56316,21568,1902,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
43,15-06-2020 19:31:03,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2327,156629,59986,5291,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
44,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1647,109746,42031,3707,1559,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,True,,нет,5,Тбилиси,10 гр,0.0833,55542,21271,1876,789,,,,,,,,,,💘✨10gram MDMA ✨💘
46,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,,нет,8,Тбилиси,10 гр,0.039,25976,9948,878,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,15-06-2020 19:31:03,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,1,Тбилиси,11 гр,0.0462,30867,11837,1049,,,,,,,,390,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
48,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,,нет,3,Тбилиси,20 гр,0.1426,105593,40440,3567,1500,,,,,,,,,,✨💘20g MDMA💘✨
49,15-06-2020 19:31:03,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,,нет,9,Тбилиси,20 гр,0.0633,42167,16149,1424,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,15-06-2020 19:31:03,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,,нет,5,Тбилиси,50 гр,0.1359,91443,35021,3089,1299,,,,,,,,,,50 gr georgian weed. Package on magnet
51,15-06-2020 19:31:03,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,,нет,4,Тбилиси,100 гр,0.2614,175917,67373,5943,2499,,,,,,,,,,100 gr georgian weed. Package on magnet
52,15-06-2020 19:31:03,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.251,168948,64704,5707,2400,,,,,,,,,,100 gr marijuana buds
53,15-06-2020 19:31:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,,нет,1,Тбилиси,100 гр,0.2092,140790,53920,4756,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,15-06-2020 19:31:03,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.2615,175988,67400,5945,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,15-06-2020 19:31:03,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6171,415331,159064,14031,5900,,,,,,,,,,180 gr marihuana persoalno
56,15-06-2020 19:31:03,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,,нет,4,Тбилиси,200 гр,0.4486,299179,114580,10107,4250,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
57,15-06-2020 19:31:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,,нет,1,Тбилиси,250 гр,0.4811,323817,124016,10939,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,15-06-2020 19:31:03,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,,нет,1,Тбилиси,500 гр,0.7844,527963,202200,17836,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,15-06-2020 19:31:03,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.889,598358,229160,20214,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,15-06-2020 19:31:03,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.019,14079,5392,476,200,,,,,,,,,,KURYER..500RUB.+BONUS
61,15-06-2020 19:31:03,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0209,14079,5392,476,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,15-06-2020 19:31:03,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5831,1055925,404400,35672,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
63,15-06-2020 19:32:17,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.167,112990,51992,3855,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
64,15-06-2020 19:32:17,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2644,178900,82321,6103,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
65,15-06-2020 19:32:17,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0095,7040,2696,238,100,,,,,,,,True,,kur'er v Batumi
66,15-06-2020 19:32:17,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0236,17599,6740,595,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
67,15-06-2020 19:32:17,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0236,17599,6740,595,250,,,,,,,,True,,Ischu kur'era v Gruzii!
68,15-06-2020 19:32:17,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,,нет,3,Батуми,5 гр,0.0208,14079,5392,476,200,,,,,,,,True,,Kur'er Batumi na marihuanu
69,15-06-2020 19:32:17,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5749,1055925,404400,35672,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
70,15-06-2020 19:32:17,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.052,35198,13480,1189,500,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
