,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Vake,$,Old Tbilisi (Старый город),Saburtalo,Gldani,Vazisubani,Дигоми,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
10,10,02-05-2020 23:49:45,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0244,6229,553,16654,,229.0,True,,,,,,,,,,Kokain KOLUMBIA 1g
11,11,02-05-2020 23:49:45,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0872,24480,2173,65454,,900.0,,,,,,,,,,,Metadon 1gr
12,12,02-05-2020 23:49:45,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,3,нет,Тбилиси,1 гр,0.0257,6501,577,17382,,239.0,,True,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
13,13,02-05-2020 23:49:45,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,2 гр,0.0096,2421,215,6473,,89.0,,,,,,,,,,,2 ECSTASY << PACO RABANNE >>
14,14,02-05-2020 23:49:45,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,1,нет,Тбилиси,2 гр,0.0107,2720,241,7273,,100.0,,,,,,,,,,,2 G Hybrid Marijuana Buds
15,15,02-05-2020 23:49:45,Tbilisi,4659482266,2g super Skunk top class buds.,,7,нет,Тбилиси,2 гр,0.0091,2312,205,6182,,85.0,,,True,,,,,,,,2g super Skunk top class buds.
16,16,02-05-2020 23:49:45,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0105,2693,239,7200,,99.0,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
17,17,02-05-2020 23:49:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0501,12784,1135,34181,,470.0,,,,,,,,,,,Cocaine Pure VHQ 2 g
18,18,02-05-2020 23:49:45,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0506,13056,1159,34909,,480.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
19,19,02-05-2020 23:49:45,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,2 гр,0.0091,2312,205,6182,,85.0,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
20,20,02-05-2020 23:49:45,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,5,нет,Тбилиси,3 гр,0.0128,3237,287,8654,,119.0,,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
21,21,02-05-2020 23:49:45,Tbilisi,4659482266,3g superskunk top class buds.,,4,нет,Тбилиси,3 гр,0.0128,3237,287,8654,,119.0,,,True,,,,,,,,3g superskunk top class buds.
22,22,02-05-2020 23:49:45,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.0113,2856,254,7636,,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
23,23,02-05-2020 23:49:45,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,1,нет,Тбилиси,3 гр,0.0107,2720,241,7273,,100.0,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
24,24,02-05-2020 23:49:45,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0039,1088,97,2909,,40.0,,True,,,,,,,,,Suboxene 4mg
25,25,02-05-2020 23:49:45,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0327,8704,773,23272,,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
26,26,02-05-2020 23:49:45,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0316,8160,724,21818,,300.0,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
27,27,02-05-2020 23:49:45,Tbilisi,8ddca45a78,5g WEED MIX ///GORILLA GLUE -2gr + LEMON SKUNK -3gr,True,1,нет,Тбилиси,5 гр,0.0234,5984,531,16000,,220.0,,,,,,,,,,,5g WEED MIX ///GORILLA GLUE -2gr + LEMON SKUNK -3gr
28,28,02-05-2020 23:49:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0188,4760,423,12727,,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
29,29,02-05-2020 23:49:45,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 5g TOP VHQ,True,8,нет,Тбилиси,5 гр,0.017,4352,386,11636,,160.0,,,,,,,,,,,AKA-47 ONLY BUDS 5g TOP VHQ
30,30,02-05-2020 23:49:45,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0405,10336,917,27636,,380.0,,,,True,,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
31,31,02-05-2020 23:49:45,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,6,нет,Тбилиси,10 гр,0.0223,5685,505,15200,,209.0,,True,,,,,,,,,10 gr marijuana buds. -indica-
32,32,02-05-2020 23:49:45,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0409,10880,966,29091,,400.0,,,,,,,,,,,gashish evro 10g
33,33,02-05-2020 23:49:45,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,10,нет,Тбилиси,20 гр,0.0432,11016,978,29454,,405.0,,True,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
34,34,02-05-2020 23:49:45,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0794,21134,1876,56508,,777.0,,,,,,,,,,,Gashish Evro 20gr
35,35,02-05-2020 23:49:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1937,54400,4829,145453,,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,02-05-2020 23:50:13,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,14,Тбилиси,0.2 гр,0.0042,1061,94,2836,,39.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
37,37,02-05-2020 23:50:13,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0171,4352,386,11636,,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
38,38,02-05-2020 23:50:13,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0144,3672,326,9818,,135.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
39,39,02-05-2020 23:50:13,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0348,9801,867,26109,,,,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
40,40,02-05-2020 23:50:13,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,44,Тбилиси,2 гр,0.0037,952,85,2545,,35.0,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
41,41,02-05-2020 23:50:13,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0226,5712,507,15273,,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
42,42,02-05-2020 23:50:13,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0398,10037,891,26836,,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,43,02-05-2020 23:50:13,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0624,15749,1398,42109,,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,44,02-05-2020 23:50:13,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0427,10880,966,29091,,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,45,02-05-2020 23:50:13,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,7,Тбилиси,4 гр,0.0064,1632,145,4364,,60.0,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
46,46,02-05-2020 23:50:13,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,4,Тбилиси,4 гр,0.0149,3808,338,10182,,140.0,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
47,47,02-05-2020 23:50:13,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0587,14960,1328,39999,,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,02-05-2020 23:50:13,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0245,6256,555,16727,,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
49,49,02-05-2020 23:50:13,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0256,6528,579,17454,,240.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
50,50,02-05-2020 23:50:13,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0256,6528,579,17454,,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,02-05-2020 23:50:13,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0212,5413,480,14473,,199.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,02-05-2020 23:50:13,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0212,5957,529,15927,,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,02-05-2020 23:50:13,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0212,5413,480,14473,,199.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,54,02-05-2020 23:50:13,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,2,Тбилиси,5 гр,0.0171,4352,386,11636,,160.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
55,55,02-05-2020 23:50:13,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2533,87429,6306,190000,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,02-05-2020 23:50:13,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2909,81600,7243,218179,,3000.0,True,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,02-05-2020 23:50:13,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1033,26085,2315,69745,,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,58,02-05-2020 23:50:13,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.0204,5141,456,13745,,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
59,59,02-05-2020 23:50:13,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,5168,459,13818,,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,60,02-05-2020 23:50:13,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0527,13301,1181,35563,,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
61,61,02-05-2020 23:50:13,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0204,5141,456,13745,,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
62,62,02-05-2020 23:50:13,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0117,2992,266,8000,,110.0,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
63,63,02-05-2020 23:50:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.096,24480,2173,65454,,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
64,64,02-05-2020 23:50:13,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0427,10880,966,29091,,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
65,65,02-05-2020 23:50:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0747,19040,1690,50908,,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,02-05-2020 23:50:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0341,8704,773,23272,,320.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,02-05-2020 23:50:13,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0107,2720,241,7273,,100.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
68,68,02-05-2020 23:50:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0853,21760,1931,58181,,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,69,02-05-2020 23:50:54,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,2,Тбилиси,10 гр,0.031,7888,700,21091,,290.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
70,70,02-05-2020 23:50:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2375,60520,5372,161816,,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,71,02-05-2020 23:50:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1681,42405,3764,113380,,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,72,02-05-2020 23:50:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0398,10037,891,26836,,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,73,02-05-2020 23:50:54,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5391,136000,12072,363632,,5000.0,,,,,,,,,,,METADON - 20 G.
74,74,02-05-2020 23:50:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0646,16293,1446,43563,,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
75,75,02-05-2020 23:50:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1174,29920,2656,79999,,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
76,76,02-05-2020 23:50:54,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,1,Тбилиси,50 гр,0.1479,38080,3380,101817,,1400.0,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
77,77,02-05-2020 23:50:54,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2562,65280,5794,174543,,2400.0,,,,,,,,,,,100 gr marijuana buds
78,78,02-05-2020 23:50:54,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3202,81600,7243,218179,,3000.0,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
79,79,02-05-2020 23:50:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2135,54400,4829,145453,,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,80,02-05-2020 23:50:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2669,68000,6036,181816,,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,81,02-05-2020 23:50:54,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6298,160480,14244,429085,,5900.0,,,,,,,,,,,180 gr marihuana persoalno
82,82,02-05-2020 23:50:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.491,125120,11106,334541,,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,83,02-05-2020 23:50:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8006,204000,18107,545447,,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,84,02-05-2020 23:50:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9073,231200,20522,618174,,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,85,02-05-2020 23:50:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0194,5440,483,14545,,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
86,86,02-05-2020 23:50:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0214,5440,483,14545,,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,87,02-05-2020 23:50:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0267,6800,604,18182,,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,88,02-05-2020 23:50:54,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0214,5440,483,14545,,200.0,,,,,,,,,,,Rabota na marki (kur'er)
89,89,02-05-2020 23:50:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6157,408000,36215,1090895,,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
90,90,02-05-2020 23:52:59,Batumi,54915c4374,Батуми н-бооом 2 штуки,,2,нет,Батуми,2 гр,0.0037,950,84,2532,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
91,91,02-05-2020 23:52:59,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2343,59840,5311,159998,,2200.0,,,,,,,,,True,,[100g] SPAIN HASH
92,92,02-05-2020 23:52:59,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,1663,147,4431,,,,,,,,56.0,,,True,,Marki N-VoooooM!!!! 4 shtuki
93,93,02-05-2020 23:52:59,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0117,2992,266,8000,,110.0,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
94,94,02-05-2020 23:52:59,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,2720,241,7273,,100.0,,,,,,,,,True,,kur'er v Batumi
95,95,02-05-2020 23:52:59,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,6800,604,18182,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
96,96,02-05-2020 23:52:59,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,6800,604,18182,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
97,97,02-05-2020 23:52:59,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6117,408000,36215,1090895,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
98,98,02-05-2020 23:52:59,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,13600,1207,36363,,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
99,99,02-05-2020 23:54:07,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.023,5984,531,16000,,220.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
100,100,02-05-2020 23:54:07,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0554,14144,1255,37818,,520.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
101,101,02-05-2020 23:54:07,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0407,10608,942,28363,,390.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
102,102,02-05-2020 23:54:07,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,5440,483,14545,,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
