,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Дигоми,Old Tbilisi (Старый город),Vake,Tbilisis Zgva,Авлобари,Varketili,Батуми,Центр,desc_en
60,60,27-07-2020 07:54:33,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0546,39379,15411,1314,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
61,61,27-07-2020 07:54:33,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0695,50118,19614,1673,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,27-07-2020 07:54:33,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0417,30071,11768,1004,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,27-07-2020 07:54:33,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0794,57278,22416,1912,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,27-07-2020 07:54:33,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0417,30071,11768,1004,,True,420.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
65,65,27-07-2020 07:54:33,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2208,159304,62345,5317,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,27-07-2020 07:54:33,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0407,29355,11488,980,,True,410.0,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
67,67,27-07-2020 07:54:33,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0511,36565,14344,1219,440.0,True,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
68,68,27-07-2020 07:54:33,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0453,32410,12714,1081,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
69,69,27-07-2020 07:54:33,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2382,171834,67248,5736,,True,2400.0,,,,,,,,,100 gr marijuana buds
70,70,27-07-2020 07:58:51,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2469,178994,70050,5975,,True,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,27-07-2020 07:58:51,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5828,422425,165318,14100,,True,5900.0,,,,,,,,,180 gr marihuana persoalno
72,72,27-07-2020 07:58:51,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.0988,71597,28020,2390,,,1000.0,,,,,True,True,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
73,73,27-07-2020 07:58:51,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8396,608578,238170,20313,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,27-07-2020 07:58:51,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.018000000000000002,14319,5604,478,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
75,75,27-07-2020 07:58:51,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0099,7160,2802,239,,,100.0,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
76,76,27-07-2020 07:58:51,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0247,17899,7005,597,,True,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,27-07-2020 07:58:51,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,,1,нет,Тбилиси,5 гр,0.0539,42958,16812,1434,,True,600.0,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
78,78,27-07-2020 07:58:51,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0198,14319,5604,478,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,27-07-2020 07:58:51,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0247,17899,7005,597,,True,250.0,,,,,,,,,Rabota na marki (kur'er)
80,80,27-07-2020 07:58:51,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0494,35799,14010,1195,,True,500.0,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
81,81,27-07-2020 07:58:51,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.4951,1073961,420300,35847,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,27-07-2020 07:58:51,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0494,35799,14010,1195,,,500.0,,True,True,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
83,83,27-07-2020 08:01:06,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,1,нет,Батуми,2 гр,0.0041,3007,1177,100,,,42.0,,,,,,,True,,Melkie shishki (Indica) 2g
