,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Дигоми,Gldani,Авлобари,Saburtalo,Vake,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
50,19-04-2020 14:02:23,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.027,16194,6001,535,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,19-04-2020 14:02:24,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.027,14715,5453,487,199,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,19-04-2020 14:02:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3173,190000,87429,6279,,,,,,,,,,,,,reagent 25i nbome. 5gr
53,19-04-2020 14:02:24,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3704,221832,82200,7335,3000,,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1192,64257,23811,2125,869,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
55,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0259,13975,5179,462,189,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
56,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0261,14049,5206,465,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0671,36159,13399,1196,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
58,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0259,13975,5179,462,189,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
59,19-04-2020 14:02:24,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1222,66550,24660,2201,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,19-04-2020 14:02:24,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0951,51761,19180,1712,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,19-04-2020 14:02:24,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,23662,8768,782,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,19-04-2020 14:02:24,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1087,59155,21920,1956,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,19-04-2020 14:02:24,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3022,164526,60965,5440,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1988,107145,39703,3543,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0506,27285,10111,902,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,19-04-2020 14:02:24,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.041,22109,8193,731,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
67,19-04-2020 14:02:24,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.055,29947,11097,990,405,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
68,19-04-2020 14:03:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1491,81339,30140,2690,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
69,19-04-2020 14:03:14,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3253,177466,65760,5868,2400,,,,,,,,,,,,100 gr marijuana buds
70,19-04-2020 14:03:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.271,147888,54800,4890,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
71,19-04-2020 14:03:14,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2738,147888,54800,4890,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
72,19-04-2020 14:03:14,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3388,184860,68500,6113,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
73,19-04-2020 14:03:14,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7996,436270,161660,14426,5900,,,,,,,,,,,,180 gr marihuana persoalno
74,19-04-2020 14:03:14,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4269,232924,86310,7702,3150,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
75,19-04-2020 14:03:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6234,340143,126040,11247,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,19-04-2020 14:03:14,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0164,554581,205500,18338,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,19-04-2020 14:03:14,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1519,628525,232900,20783,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,19-04-2020 14:03:14,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0246,14789,5480,489,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
79,19-04-2020 14:03:14,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0271,14789,5480,489,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
