,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
28,28,10-04-2020 10:28:44,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0533,29842,11000,1006,400.0,,,,,,,,,gashish evro 10g
29,29,10-04-2020 10:28:44,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1035,57968,21368,1955,777.0,,,,,,,,,Gashish Evro 20gr
30,30,10-04-2020 10:28:44,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2523,149210,55000,5032,2000.0,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,10-04-2020 10:28:44,Tbilisi,f8a875c191,METADON - 0.22 G.,True,5,15,Тбилиси,0.22 гр,0.0209,11116,4098,375,149.0,,,,,,,,,METADON - 0.22 G.
32,32,10-04-2020 10:28:44,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,7,10,Тбилиси,1 гр,0.0409,27231,10038,918,365.0,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
33,33,10-04-2020 10:29:55,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),True,нет,1,Тбилиси,2 гр,0.0204,12163,4508,410,,,,,150.0,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
34,34,10-04-2020 10:29:55,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,1,Тбилиси,2 гр,0.0278,14921,5500,503,200.0,,,,,,,,,✨✨2gram. MDMA✨✨
35,35,10-04-2020 10:29:55,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0513,27529,10148,928,369.0,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,36,10-04-2020 10:29:55,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0821,44017,16225,1484,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,37,10-04-2020 10:29:55,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0551,29842,11000,1006,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,38,10-04-2020 10:29:55,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.022000000000000002,11937,4400,403,160.0,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
39,39,10-04-2020 10:29:55,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0757,41033,15125,1384,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,40,10-04-2020 10:29:55,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0233,12608,4648,425,169.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
41,41,10-04-2020 10:29:55,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12683,4675,428,170.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,42,10-04-2020 10:29:55,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0274,14846,5473,501,199.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,10-04-2020 10:29:55,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,14846,5473,501,199.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,10-04-2020 10:29:55,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16339,6023,551,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,10-04-2020 10:29:55,Tbilisi,28bf667d16,Cocaine Fishscale 5g,True,нет,1,Тбилиси,5 гр,0.1659,89899,33138,3032,1205.0,,,,,,,,,Cocaine Fishscale 5g
46,46,10-04-2020 10:29:55,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0274,14846,5473,501,199.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,10-04-2020 10:29:55,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0476,28381,10518,958,,,,,350.0,,,,,MDMA 5 gr!!!
48,48,10-04-2020 10:29:55,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,12,Тбилиси,5 гр,0.025,14921,5500,503,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
49,49,10-04-2020 10:29:55,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3188,190000,87429,6411,,,,,,,,,,reagent 25i nbome. 5gr
50,50,10-04-2020 10:29:55,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3756,223815,82500,7548,3000.0,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,51,10-04-2020 10:29:55,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1209,64832,23898,2186,869.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
52,52,10-04-2020 10:29:55,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0264,14175,5225,478,190.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
53,53,10-04-2020 10:29:55,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.068,36482,13448,1230,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
54,54,10-04-2020 10:29:55,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,1,5,Тбилиси,5 гр,0.0263,14100,5198,476,189.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
55,55,10-04-2020 10:29:55,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1239,67145,24750,2264,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
56,56,10-04-2020 10:29:55,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0964,52224,19250,1761,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
