,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
45,06-06-2020 22:51:56,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0428,28825,11277,1000,,,True,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,06-06-2020 22:51:56,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0815,54906,21480,1905,,,True,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,06-06-2020 22:51:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0272,18325,7169,636,,,True,267,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
48,06-06-2020 22:51:56,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2268,152706,59741,5298,,,True,2225,,,,,,,,,Amfetamin [White] [Import] 10G
49,06-06-2020 22:51:56,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1605,106997,41859,3712,,,True,1559,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,06-06-2020 22:51:56,Tbilisi,9VLN,AlienShop,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0832,55455,21695,1924,,,True,808,,,,,,,,,💘✨10gram MDMA ✨💘
51,06-06-2020 22:51:56,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.038,25325,9908,879,,,True,369,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,06-06-2020 22:51:56,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0359,24021,9398,833,,,True,350,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
53,06-06-2020 22:51:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.052,35002,13694,1214,,,True,510,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
54,06-06-2020 22:51:56,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5147,343160,134250,11905,,,True,5000,,,,,,,,,METADON - 20 G.
