,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Дигоми,Didube,Батуми,Центр,Кутаиси,desc_en
19,19,13-03-2020 08:20:07,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1299,66625,24003,2113,900.0,,,,,,,,,Metadon 1gr
20,20,13-03-2020 08:20:07,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,10,нет,Тбилиси,1 гр,0.0029,1481,533,47,20.0,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
21,21,13-03-2020 08:20:07,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0289,13325,4801,423,180.0,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
22,22,13-03-2020 08:20:07,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,3,нет,Тбилиси,1 гр,0.0175,8069,2907,256,109.0,,,,,,,,,✨ 1g. MDMA ✨
23,23,13-03-2020 08:20:07,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,4,нет,Тбилиси,2 гр,0.0101,5182,1867,164,70.0,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
24,24,13-03-2020 08:20:07,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,1,нет,Тбилиси,2 гр,0.0125,5848,2107,185,79.0,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
25,25,13-03-2020 08:20:07,Tbilisi,64284550d9,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0096,4590,1654,146,62.0,,,True,,,,,,2G ---> INDICA
26,26,13-03-2020 08:20:07,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0563,28871,10401,915,390.0,,,,,,,,,VHQ BEST Cocaine 2g.
27,27,13-03-2020 08:20:07,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,2,нет,Тбилиси,2 гр,0.0051,2591,933,82,35.0,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
28,28,13-03-2020 08:20:07,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0578,28056,10108,890,379.0,,,,,,,,,Kokain HQ 2g.
29,29,13-03-2020 08:20:07,Tbilisi,dd631c4acf,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0191,8809,3174,279,119.0,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
30,30,13-03-2020 08:20:07,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,True,1,нет,Тбилиси,3 гр,0.0133,6440,2320,204,87.0,,,,,,,,,3 gr Indica dominant Buds
31,31,13-03-2020 08:20:07,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0431,20915,7513,662,,250.0,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
32,32,13-03-2020 08:20:07,Tbilisi,64284550d9,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0126,6440,2320,204,87.0,,,True,,,,,,3G ---> INDICA
33,33,13-03-2020 08:20:07,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,8,нет,Тбилиси,3 гр,0.0168,7773,2800,246,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
34,34,13-03-2020 08:21:03,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,8,нет,Тбилиси,3 гр,0.017,7773,2800,246,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
35,35,13-03-2020 08:21:03,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.016,7329,2640,232,99.0,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
36,36,13-03-2020 08:21:03,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0186,8513,3067,270,115.0,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
37,37,13-03-2020 08:21:03,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0465,23689,8534,751,320.0,,,,,,,,,"5 Grm MDMA , Purity A +++"
38,38,13-03-2020 08:21:03,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0625,30117,10818,953,,360.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
39,39,13-03-2020 08:21:03,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),,4,нет,Тбилиси,5 гр,0.0202,10290,3707,326,139.0,,True,,,,,,,5gr georgian indica (hight quality)
40,40,13-03-2020 08:21:03,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0283,12955,4667,411,175.0,,,,,,,,,5x Extasy Duracell 223mg MDMA.
41,41,13-03-2020 08:21:03,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,3,нет,Тбилиси,5 гр,0.0238,11104,4001,352,150.0,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
42,42,13-03-2020 08:21:03,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1259,58260,20989,1847,787.0,,,,True,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
43,43,13-03-2020 08:21:03,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0247,12585,4534,399,170.0,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
44,44,13-03-2020 08:21:03,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.0095,4812,1734,153,65.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
45,45,13-03-2020 08:21:03,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0703,32868,11841,1042,444.0,,,,True,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
46,46,13-03-2020 08:21:03,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0584,27020,9735,857,365.0,,,,,True,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
47,47,13-03-2020 08:21:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0427,19765,7121,627,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
48,48,13-03-2020 08:21:03,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0144,7329,2640,232,99.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
49,49,13-03-2020 08:21:03,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0614,29611,10668,939,400.0,,,,,,,,,gashish evro 10g
50,50,13-03-2020 08:21:03,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1357,62775,22616,1991,848.0,,,,True,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
51,51,13-03-2020 08:21:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0436,19987,7201,634,270.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
52,52,13-03-2020 08:21:03,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,3,Тбилиси,0.35 гр,0.0368,17026,6134,540,230.0,,,,,,,,,Methadone HQ in city 0.35g
53,53,13-03-2020 08:21:03,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.0592,27390,9868,869,370.0,,,,,,,,,Methadone HQ in city 0.75g
54,54,13-03-2020 08:21:03,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.11199999999999999,51819,18669,1643,700.0,,,,,,,,,Methadone HQ in city 1.4g
55,55,13-03-2020 08:21:03,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0569,26576,9575,843,359.0,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
56,56,13-03-2020 08:21:03,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0953,43676,15735,1385,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
57,57,13-03-2020 08:21:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.064,29611,10668,939,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
58,58,13-03-2020 08:21:03,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.08800000000000001,40715,14669,1291,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,59,13-03-2020 08:21:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0318,14731,5307,467,199.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
60,60,13-03-2020 08:21:03,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0318,14731,5307,467,199.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
61,61,13-03-2020 08:21:03,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0318,14731,5307,467,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
62,62,13-03-2020 08:21:03,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0232,10734,3867,340,145.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
63,63,13-03-2020 08:21:03,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0319,16212,5841,514,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
64,64,13-03-2020 08:21:03,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,True,нет,2,Тбилиси,5 гр,0.0338,16286,5867,516,220.0,,,,,,,,,Hybrid Gagarin. 5g.
65,65,13-03-2020 08:21:03,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0485,22208,8001,704,300.0,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
66,66,13-03-2020 08:21:03,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0291,14805,5334,469,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
67,67,13-03-2020 08:21:54,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.139,63590,22910,2016,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,68,13-03-2020 08:21:54,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0299,13695,4934,434,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
69,69,13-03-2020 08:21:54,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0791,36199,13042,1148,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
70,70,13-03-2020 08:21:54,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0532,24355,8774,772,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
71,71,13-03-2020 08:21:54,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1441,66625,24003,2113,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
72,72,13-03-2020 08:21:54,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1121,51819,18669,1643,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
73,73,13-03-2020 08:21:54,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0639,29537,10641,937,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
74,74,13-03-2020 08:21:54,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0566,25910,9335,822,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
75,75,13-03-2020 08:21:54,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1281,59222,21336,1878,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,76,13-03-2020 08:21:54,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3563,164711,59341,5223,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
77,77,13-03-2020 08:21:54,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2344,107266,38645,3401,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
78,78,13-03-2020 08:21:54,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0597,27316,9841,866,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
79,79,13-03-2020 08:21:54,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0484,22134,7974,702,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
80,80,13-03-2020 08:21:54,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2723,125847,45339,3991,1700.0,,,,,,,,,MDMA 20 g
81,81,13-03-2020 08:21:54,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0969,44342,15975,1406,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,82,13-03-2020 08:21:54,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1076,51819,18669,1643,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
83,83,13-03-2020 08:21:54,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1747,88833,32004,2817,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
84,84,13-03-2020 08:21:54,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1535,73953,26643,2345,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
85,85,13-03-2020 08:21:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3203,148055,53340,4695,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
86,86,13-03-2020 08:21:54,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3235,148055,53340,4695,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
87,87,13-03-2020 08:21:54,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4004,185069,66675,5869,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
88,88,13-03-2020 08:21:54,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2426,111041,40005,3521,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,89,13-03-2020 08:21:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7367,340526,122682,10798,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
90,90,13-03-2020 08:21:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2012,555206,200025,17606,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
91,91,13-03-2020 08:21:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3613,629233,226695,19953,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
92,92,13-03-2020 08:21:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0291,14805,5334,469,200.0,,,,,,,,,KURYER..500RUB.+BONUS
93,93,13-03-2020 08:21:54,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0218,11104,4001,352,150.0,,,,,,,,,Rabota na marki (kur'er)
94,94,13-03-2020 08:21:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.032,14805,5334,469,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
95,95,13-03-2020 08:21:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.04,18507,6668,587,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
96,96,13-03-2020 08:21:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4242,1110411,400050,35211,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
97,97,13-03-2020 08:25:07,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,20,нет,Батуми,1 гр,0.0291,14805,5334,469,200.0,,,,,,True,,,NZT-52 limited 1 g muka
98,98,13-03-2020 08:25:07,Batumi,012f23b5ea,Power Africa 1g,,1,нет,Батуми,1 гр,0.0073,3701,1334,117,50.0,,,,,,True,,,Power Africa 1g
99,99,13-03-2020 08:25:07,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0524,26650,9601,845,360.0,,,,,,True,,,NZT-52 limited 2g muka
100,100,13-03-2020 08:25:07,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2402,111041,40005,3521,1500.0,,,,,,True,,,Skunk! 50 gr.
101,101,13-03-2020 08:25:07,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,3,5,Батуми,0.27 гр,0.0437,19987,7201,634,270.0,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
102,102,13-03-2020 08:25:07,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0291,14805,5334,469,200.0,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
103,103,13-03-2020 08:25:07,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.3235,148055,53340,4695,2000.0,,,,,,True,,,SUBOXIN - HQ - 100 G.
104,104,13-03-2020 08:25:07,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2426,111041,40005,3521,1500.0,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
105,105,13-03-2020 08:25:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0073,3701,1334,117,50.0,,,,,,True,,,kur'er v Batumi
106,106,13-03-2020 08:25:07,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0364,18507,6668,587,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
107,107,13-03-2020 08:25:07,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0218,11104,4001,352,150.0,,,,,,True,,,Rabota na marki (kur'er)
108,108,13-03-2020 08:25:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0364,18507,6668,587,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
109,109,13-03-2020 08:25:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.4239,1110411,400050,35211,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
