,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
38,38,06-03-2020 22:51:36,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0322,20255,7539,671,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
39,39,06-03-2020 22:51:36,Tbilisi,be97026d1d,MDMA from Europe!!! 5g BTC SALE 5%(Место на ваш выбор!!!),True,нет,2,Тбилиси,5 гр,0.042,26669,9926,883,395.0,,,,,,,,,,,MDMA from Europe!!! 5g BTC SALE 5%(Mesto na vash vybor!!!)
40,40,06-03-2020 22:51:36,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0202,12828,4775,425,190.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
41,41,06-03-2020 22:51:36,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0194,13504,5026,447,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
42,42,06-03-2020 22:51:36,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2723,190000,87429,6413,,,,,,,,,,,,reagent 25i nbome. 5gr
43,43,06-03-2020 22:51:36,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2903,202553,75390,6707,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,06-03-2020 22:51:36,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0923,57998,21587,1920,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,45,06-03-2020 22:51:36,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0199,12491,4649,414,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,46,06-03-2020 22:51:36,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0526,33016,12289,1093,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
47,47,06-03-2020 22:51:36,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0354,22213,8268,736,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
48,48,06-03-2020 22:51:36,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0193,12153,4523,402,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
49,49,06-03-2020 22:51:36,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0958,60766,22617,2012,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,06-03-2020 22:51:36,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0745,47262,17591,1565,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,51,06-03-2020 22:51:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0425,26939,10027,892,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,06-03-2020 22:51:36,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0376,23631,8796,783,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
53,53,06-03-2020 22:51:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0851,54014,20104,1789,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,54,06-03-2020 22:51:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2368,150226,55914,4974,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,55,06-03-2020 22:51:36,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1558,97833,36413,3240,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,06-03-2020 22:51:36,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0397,24914,9273,825,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,06-03-2020 22:51:36,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0321,20188,7514,668,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,58,06-03-2020 22:51:36,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0644,40443,15053,1339,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
