,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
12,12,29-05-2020 19:03:12,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.0311,21226,8115,724,300.0,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
13,13,29-05-2020 19:03:12,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,1,нет,Тбилиси,5 гр,0.0062,4174,1596,142,59.0,True,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
14,14,29-05-2020 19:03:12,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0185,12382,4734,422,175.0,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
15,15,29-05-2020 19:03:12,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,2,нет,Тбилиси,5 гр,0.0264,17688,6763,603,250.0,True,,,,,,,,,MARIXYANA - INDICA - 5 G.
16,16,29-05-2020 19:03:12,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,,11,нет,Тбилиси,10 гр,0.0105,7075,2705,241,100.0,True,,,,,,,,,10 gr marihuana list'ja top gibrid
17,17,29-05-2020 19:03:12,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0456,31838,12173,1086,450.0,True,,,,,,,,,Gashish Evro 10gr
18,18,29-05-2020 19:03:12,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,6,нет,Тбилиси,20 гр,0.0034,2547,974,87,36.0,True,,,,,,,,,GABAGAMA 20 SHTUK
19,19,29-05-2020 19:03:12,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.078,54974,21018,1875,777.0,True,,,,,,,,,Gashish Evro 20gr
20,20,29-05-2020 19:03:12,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.0076,5660,2164,193,80.0,True,,,,,,,,,GABAGAMA 50 SHTUK
21,21,29-05-2020 19:03:12,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1902,141504,54100,4827,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,29-05-2020 19:03:12,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0176,13089,5004,447,185.0,True,,,,,,,,,GABAGAMA 150 shtuk
23,23,29-05-2020 19:03:12,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,5,Тбилиси,2 гр,0.0222,14858,5681,507,210.0,True,,,,,,,,,✨✨2gram. MDMA✨✨
24,24,29-05-2020 19:03:12,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,7,Тбилиси,2 гр,0.039,26107,9981,891,369.0,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
25,25,29-05-2020 19:03:12,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0612,40965,15662,1398,579.0,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
26,26,29-05-2020 19:03:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0418,28301,10820,965,400.0,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
27,27,29-05-2020 19:03:12,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,1,Тбилиси,4 гр,0.0146,9905,3787,338,140.0,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
28,28,29-05-2020 19:03:12,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0732,49526,18935,1690,700.0,True,,,,,,,,,"""Kief"" Weed trichomes 5G"
29,29,29-05-2020 19:03:12,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0575,38914,14878,1328,550.0,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
30,30,29-05-2020 19:03:12,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0246,16627,6357,567,235.0,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
31,31,29-05-2020 19:03:12,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0251,16980,6492,579,240.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
32,32,29-05-2020 19:03:12,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0241,16273,6222,555,230.0,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,29-05-2020 19:03:56,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.024,16273,6222,555,230.0,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,34,29-05-2020 19:03:56,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,16980,6492,579,240.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,35,29-05-2020 19:03:56,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0251,16980,6492,579,240.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,36,29-05-2020 19:03:56,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.024,16273,6222,555,230.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,37,29-05-2020 19:03:56,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15495,5924,529,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,38,29-05-2020 19:03:56,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16627,6357,567,235.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,39,29-05-2020 19:03:56,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2552,190000,87429,6453,,True,,,,,,,,,reagent 25i nbome. 5gr
40,40,29-05-2020 19:03:56,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2851,212256,81150,7241,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,41,29-05-2020 19:03:56,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1012,67851,25941,2315,959.0,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,42,29-05-2020 19:03:56,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0201,13443,5140,459,190.0,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,43,29-05-2020 19:03:56,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0516,34598,13227,1180,489.0,True,,,,,,,,,💘✨5g. MDMA ✨💘
44,44,29-05-2020 19:03:56,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0941,63677,24345,2172,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
45,45,29-05-2020 19:03:56,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0418,28301,10820,965,400.0,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,46,29-05-2020 19:03:56,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0732,49526,18935,1690,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,29-05-2020 19:03:56,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0439,29716,11361,1014,420.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,29-05-2020 19:03:56,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0836,56602,21640,1931,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,29-05-2020 19:03:56,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2326,157423,60186,5370,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,29-05-2020 19:03:56,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,3,Тбилиси,10 гр,0.1646,110302,42171,3763,1559.0,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,51,29-05-2020 19:03:56,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.039,26107,9981,891,369.0,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,52,29-05-2020 19:03:56,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,нет,10,Тбилиси,20 гр,0.0417,28230,10793,963,399.0,True,,,,,,,,,20 gr georgian weed. Package on magnet
53,53,29-05-2020 19:03:56,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5279,353760,135250,12069,5000.0,True,,,,,,,,,METADON - 20 G.
54,54,29-05-2020 19:03:56,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0632,42380,16203,1446,599.0,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,29-05-2020 19:03:56,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1358,91907,35138,3135,1299.0,True,,,,,,,,,50 gr georgian weed. Package on magnet
56,56,29-05-2020 19:03:56,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2612,176809,67598,6032,2499.0,True,,,,,,,,,100 gr georgian weed. Package on magnet
57,57,29-05-2020 19:03:56,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2509,169805,64920,5793,2400.0,True,,,,,,,,,100 gr marijuana buds
58,58,29-05-2020 19:03:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2091,141504,54100,4827,2000.0,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,59,29-05-2020 19:03:56,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2613,176880,67625,6034,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,29-05-2020 19:03:56,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6167,417437,159595,14241,5900.0,True,,,,,,,,,180 gr marihuana persoalno
61,61,29-05-2020 19:03:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4808,325459,124430,11103,4600.0,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,62,29-05-2020 19:03:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7839,530640,202875,18103,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,63,29-05-2020 19:03:56,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8885,601392,229925,20516,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,29-05-2020 19:03:56,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14150,5410,483,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
65,65,29-05-2020 19:03:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0209,14150,5410,483,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,66,29-05-2020 19:03:56,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0261,17688,6763,603,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,29-05-2020 19:03:56,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,,нет,1,Тбилиси,1 гр,0.0209,14150,5410,483,200.0,True,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
68,68,29-05-2020 19:04:34,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5822,1061280,405750,36206,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,29-05-2020 19:06:23,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2301,155654,59510,5310,2200.0,,,,,,True,,,,[100g] SPAIN HASH
70,70,29-05-2020 19:06:23,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0089,6014,2299,205,85.0,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
71,71,29-05-2020 19:06:23,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.043,29716,11361,1014,420.0,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
72,72,29-05-2020 19:06:23,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.16699999999999998,112990,51992,3838,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
73,73,29-05-2020 19:06:23,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2645,178900,82321,6076,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
74,74,29-05-2020 19:06:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7075,2705,241,100.0,,,,,,True,,,,kur'er v Batumi
75,75,29-05-2020 19:06:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17688,6763,603,250.0,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
76,76,29-05-2020 19:06:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17688,6763,603,250.0,,,,,,True,,,,Ischu kur'era v Gruzii!
77,77,29-05-2020 19:06:23,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.028999999999999998,19637,7488,664,,,,,,,True,250.0,,,Rabota na marki (kur'er)
78,78,29-05-2020 19:06:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5831,1061280,405750,36206,15000.0,,,,,,True,,,,Vakansija optovogo kur'era na mef
79,79,29-05-2020 19:06:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,35376,13525,1207,500.0,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
80,80,29-05-2020 19:08:09,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0502,34315,13119,1171,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
81,81,29-05-2020 19:08:09,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,4,нет,Кутаиси,3 гр,0.02,13797,5275,471,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
82,82,29-05-2020 19:08:09,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.028999999999999998,19637,7488,664,,,,,,,,250.0,,True,Rabota na marki (kur'er)
