,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Батуми,Центр,Кутаиси,desc_en
17,17,10-06-2020 22:32:58,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,2,нет,Тбилиси,10 гр,0.0014,961,375,33,,True,14.0,,,,,,,GABAGAMA 10 shtuk
18,18,10-06-2020 22:32:58,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0457,34309,13375,1189,,True,500.0,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
19,19,10-06-2020 22:32:58,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0027,1990,776,69,,True,29.0,,,,,,,GABAGAMA 20 SHTUK
20,20,10-06-2020 22:32:58,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2029,137237,53500,4757,,True,2000.0,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,10-06-2020 22:32:58,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0588,39730,15488,1377,,True,579.0,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
22,22,10-06-2020 22:32:58,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0402,27447,10700,951,,True,400.0,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
23,23,10-06-2020 22:32:58,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0141,9607,3745,333,,,140.0,,True,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
24,24,10-06-2020 22:32:58,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0553,37740,14713,1308,,True,550.0,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,10-06-2020 22:32:58,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,7,Тбилиси,5 гр,0.0236,16125,6286,559,,True,235.0,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
26,26,10-06-2020 22:32:58,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0241,16468,6420,571,,True,240.0,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
27,27,10-06-2020 22:32:58,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,7,Тбилиси,5 гр,0.0231,15782,6153,547,,True,230.0,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
28,28,10-06-2020 22:32:58,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16468,6420,571,,True,240.0,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
29,29,10-06-2020 22:32:58,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0241,16468,6420,571,,True,240.0,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
30,30,10-06-2020 22:32:58,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0231,15782,6153,547,,True,230.0,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,31,10-06-2020 22:32:58,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.02,15027,5858,521,,True,219.0,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,32,10-06-2020 22:32:58,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0254,17155,6688,595,,True,250.0,,,,,,,MARIXYANA - INDICA - 5 G.
33,33,10-06-2020 22:32:58,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0236,16125,6286,559,,True,235.0,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,34,10-06-2020 22:32:58,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2531,190000,87429,6572,,True,,,,,,,,reagent 25i nbome. 5gr
35,35,10-06-2020 22:33:31,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0193,13037,5083,452,,True,190.0,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,10-06-2020 22:33:31,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0497,33554,13081,1163,,True,489.0,,,,,,,💘✨5g. MDMA ✨💘
37,37,10-06-2020 22:33:31,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0905,61756,24075,2141,,True,900.0,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,10-06-2020 22:33:31,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0402,27447,10700,951,,True,400.0,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,10-06-2020 22:33:32,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0704,48033,18725,1665,,True,700.0,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,10-06-2020 22:33:32,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0422,28820,11235,999,,True,420.0,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,10-06-2020 22:33:32,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0805,54895,21400,1903,,True,800.0,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,10-06-2020 22:33:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,нет,1,Тбилиси,10 гр,0.0269,18321,7142,635,,True,267.0,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
43,43,10-06-2020 22:33:32,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2238,152676,59519,5292,,True,2225.0,,,,,,,Amfetamin [White] [Import] 10G
44,44,10-06-2020 22:33:32,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1584,106976,41703,3708,,True,1559.0,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,45,10-06-2020 22:33:32,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0821,55444,21614,1922,,True,808.0,,,,,,,💘✨10gram MDMA ✨💘
46,46,10-06-2020 22:33:32,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0375,25320,9871,878,,True,369.0,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,10-06-2020 22:33:32,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0355,24016,9363,832,,True,350.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
48,48,10-06-2020 22:33:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,,нет,1,Тбилиси,20 гр,0.0513,34995,13643,1213,,True,510.0,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
49,49,10-06-2020 22:33:32,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1372,102927,40125,3568,,True,1500.0,,,,,,,✨💘20g MDMA💘✨
50,50,10-06-2020 22:33:32,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0608,41102,16023,1425,,True,599.0,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,51,10-06-2020 22:33:32,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1307,89135,34748,3090,,True,1299.0,,,,,,,50 gr georgian weed. Package on magnet
52,52,10-06-2020 22:33:32,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2513,171477,66848,5944,,True,2499.0,,,,,,,100 gr georgian weed. Package on magnet
53,53,10-06-2020 22:33:32,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2414,164684,64200,5708,,True,2400.0,,,,,,,100 gr marijuana buds
54,54,10-06-2020 22:33:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2012,137237,53500,4757,,True,2000.0,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,55,10-06-2020 22:33:32,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2514,171546,66875,5946,,True,2500.0,,,,,,,Marihuana [Shishki] [Gali] 100G
56,56,10-06-2020 22:33:32,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5934,404848,157825,14033,,True,5900.0,,,,,,,180 gr marihuana persoalno
57,57,10-06-2020 22:33:32,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4313,291628,113688,10109,,True,4250.0,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
58,58,10-06-2020 22:33:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4627,315644,123050,10941,,True,4600.0,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,59,10-06-2020 22:33:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7543,514637,200625,17839,,True,7500.0,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,60,10-06-2020 22:33:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8549,583256,227375,20217,,True,8500.0,,,,,,,10000sht marki 25i-nbome. predoplata
61,61,10-06-2020 22:33:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0183,13724,5350,476,,True,200.0,,,,,,,KURYER..500RUB.+BONUS
62,62,10-06-2020 22:33:32,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5224,1029275,401250,35678,,True,15000.0,,,,,,,Vakansija optovogo kur'era na mef
63,63,10-06-2020 22:35:19,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0414,28820,11235,999,,,420.0,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
64,64,10-06-2020 22:35:19,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1656,112990,51992,3909,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
65,65,10-06-2020 22:35:19,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2621,178900,82321,6189,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
66,66,10-06-2020 22:35:19,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0091,6862,2675,238,,,100.0,,,,True,,,kur'er v Batumi
67,67,10-06-2020 22:35:19,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0229,17155,6688,595,,,250.0,,,,True,,,Rabota kladmenom. Tol'ko shishki.
68,68,10-06-2020 22:35:19,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0229,17155,6688,595,,,250.0,,,,True,,,Ischu kur'era v Gruzii!
69,69,10-06-2020 22:35:19,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0201,13724,5350,476,,,200.0,,,,True,,,Kur'er Batumi na marihuanu
70,70,10-06-2020 22:35:19,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0285,19481,7600,670,250.0,,,,,,True,,,Rabota na marki (kur'er)
71,71,10-06-2020 22:35:19,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5219,1029275,401250,35678,,,15000.0,,,,True,,,Vakansija optovogo kur'era na mef
72,72,10-06-2020 22:35:19,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0503,34309,13375,1189,,,500.0,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
73,73,10-06-2020 22:36:30,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0285,19481,7600,670,250.0,,,,,,,,True,Rabota na marki (kur'er)
