,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Nadzaladevi,$,Saburtalo,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
43,12-07-2020 17:00:50,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0262,17807,6813,608,,True,,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
44,12-07-2020 17:00:50,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0576,39176,14988,1337,,True,,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,12-07-2020 17:00:50,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0283,19232,7358,656,,True,,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
46,12-07-2020 17:00:50,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,5,Тбилиси,5 гр,0.0293,19944,7630,680,,True,,280,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,12-07-2020 17:00:50,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0288,19588,7494,668,,True,,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
48,12-07-2020 17:00:50,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,17095,6540,583,,True,,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,12-07-2020 17:00:50,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0293,19944,7630,680,,True,,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,12-07-2020 17:00:50,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0283,19232,7358,656,,True,,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,12-07-2020 17:00:50,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15599,5968,532,,True,,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,12-07-2020 17:00:50,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0283,19232,7358,656,,True,,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,12-07-2020 17:00:50,Tbilisi,7U9YP,ChitosPizz,Кристаллы Синие очень мощные на рынке 5 гр,,нет,1,Тбилиси,5 гр,0.0799,59833,22890,2041,,True,,840,,,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
54,12-07-2020 17:00:50,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 5грам,,нет,10,Тбилиси,5 гр,0.0076,5698,2180,194,,True,,80,,,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
55,12-07-2020 17:00:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2539,190000,87429,6482,,True,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,12-07-2020 17:00:50,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2855,213689,81750,7290,,,,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,12-07-2020 17:00:50,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0238,16054,6140,549,200,True,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
58,12-07-2020 17:00:50,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0942,64107,24525,2187,,True,,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,12-07-2020 17:00:50,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0576,39176,14988,1337,,True,,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
60,12-07-2020 17:00:50,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0733,49861,19075,1701,,True,,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,12-07-2020 17:00:50,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.044,29917,11445,1021,,True,,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,12-07-2020 17:00:50,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0837,56984,21800,1944,,True,,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,12-07-2020 17:00:50,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2329,158486,60631,5407,,True,,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,12-07-2020 17:00:50,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0524,35318,13508,1207,440,True,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
65,12-07-2020 17:00:50,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0464,31305,11973,1070,390,True,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
66,12-07-2020 17:00:50,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Тбилиси,11 гр,0.0475,32027,12249,1095,399,True,,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
67,12-07-2020 17:00:50,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0619,46299,17713,1580,,True,,650,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
68,12-07-2020 17:00:50,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2512,170952,65400,5832,,True,,2400,,,,,,,,,,,100 gr marijuana buds
69,12-07-2020 17:01:26,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2512,170952,65400,5832,,True,,2400,,,,,,,,,,,100 gr marijuana buds
70,12-07-2020 17:01:26,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2617,178075,68125,6075,,True,,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,12-07-2020 17:01:26,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6175,420256,160775,14337,,True,,5900,,,,,,,,,,,180 gr marihuana persoalno
72,12-07-2020 17:01:26,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 200шт. вес таблетки 450mg,,нет,1,Тбилиси,200 гр,0.3768,256427,98100,8748,,True,,3600,,,,,,,,,,,Extasy GUCCI 200sht. ves tabletki 450mg
73,12-07-2020 17:01:26,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8897,605453,231625,20655,,True,,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,12-07-2020 17:01:26,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14246,5450,486,,True,,200,,,,,,,,,,,KURYER..500RUB.+BONUS
75,12-07-2020 17:01:26,Tbilisi,LGRP8,Walker12,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0157,10684,4088,365,,True,,150,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
76,12-07-2020 17:01:26,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0262,17807,6813,608,,True,,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
