,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Gldani,€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
11,11,12-03-2020 17:49:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,3,нет,Тбилиси,1 гр,0.0247,13251,4761,414,179.0,,,,,,,,,,,Cocaine Pure VHQ 1g
12,12,12-03-2020 17:49:43,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,1,нет,Тбилиси,1 гр,0.0784,44416,15960,1388,600.0,,,,,,,,,,,Metadon VHQ 1 24/7
13,13,12-03-2020 17:49:43,Tbilisi,ae784bef73,NEW ! Afghan HQ buds ! NEW ! 1G,True,3,нет,Тбилиси,1 гр,0.0072,3701,1330,116,50.0,,,,,,,,,,,NEW ! Afghan HQ buds ! NEW ! 1G
14,14,12-03-2020 17:49:43,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0269,13991,5027,437,189.0,,,,,,,,,,,Kokain HQ 1g.
15,15,12-03-2020 17:49:43,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0257,13251,4761,414,179.0,True,,,,,,,,,,Kokain KOLUMBIA 1g
16,16,12-03-2020 17:49:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1175,66625,23940,2083,900.0,,,,,,,,,,,Metadon 1gr
17,17,12-03-2020 17:49:43,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,11,нет,Тбилиси,1 гр,0.0026,1481,532,46,20.0,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
18,18,12-03-2020 17:49:43,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,4,нет,Тбилиси,1 гр,0.0261,13325,4788,417,180.0,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
19,19,12-03-2020 17:49:43,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0091,5182,1862,162,70.0,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
20,20,12-03-2020 17:49:43,Tbilisi,64284550d9,2G ---> INDICA,,18,нет,Тбилиси,2 гр,0.0087,4590,1649,143,62.0,,True,,,,,,,,,2G ---> INDICA
21,21,12-03-2020 17:49:43,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.012,6144,2208,192,83.0,,,True,,,,,,,,2g super Skunk top class buds. Indica
22,22,12-03-2020 17:49:43,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,6,нет,Тбилиси,2 гр,0.0046,2591,931,81,35.0,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
23,23,12-03-2020 17:49:43,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,4,нет,Тбилиси,2 гр,0.0522,28056,10081,877,379.0,,,,,,,,,,,Kokain HQ 2g.
24,24,12-03-2020 17:49:43,Tbilisi,e56bb6ca93,3 gr Indica dominant Buds,True,2,нет,Тбилиси,3 гр,0.012,6440,2314,201,87.0,,,,,,,,,,,3 gr Indica dominant Buds
25,25,12-03-2020 17:49:43,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0405,21751,7813,682,,,,,260.0,,,,,,,3 gr mdma (skidka v bitkoin 5%)
26,26,12-03-2020 17:49:43,Tbilisi,64284550d9,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0114,6440,2314,201,87.0,,True,,,,,,,,,3G ---> INDICA
27,27,12-03-2020 17:49:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,9,нет,Тбилиси,3 гр,0.0152,7773,2793,243,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
28,28,12-03-2020 17:49:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0418,23689,8512,741,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
29,29,12-03-2020 17:49:43,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0584,31372,11269,983,,,,,375.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
30,30,12-03-2020 17:49:43,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,5,нет,Тбилиси,5 гр,0.0182,10290,3697,322,139.0,True,,,,,,,,,,5gr georgian indica (hight quality)
31,31,12-03-2020 17:49:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0254,12955,4655,405,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
32,32,12-03-2020 17:49:43,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,3,нет,Тбилиси,5 гр,0.0213,11104,3990,347,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
33,33,12-03-2020 17:49:43,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.113,58260,20934,1821,787.0,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
34,34,12-03-2020 17:51:25,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0223,12585,4522,393,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
35,35,12-03-2020 17:51:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0085,4812,1729,150,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
36,36,12-03-2020 17:51:25,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0634,32868,11810,1027,444.0,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
37,37,12-03-2020 17:51:25,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0526,27020,9709,845,365.0,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
38,38,12-03-2020 17:51:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,4,нет,Тбилиси,10 гр,0.0385,19765,7102,618,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
39,39,12-03-2020 17:51:25,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.013000000000000001,7329,2633,229,99.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
40,40,12-03-2020 17:51:25,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0554,29611,10640,926,400.0,,,,,,,,,,,gashish evro 10g
41,41,12-03-2020 17:51:25,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1223,62775,22557,1962,848.0,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
42,42,12-03-2020 17:51:25,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0393,19987,7182,625,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
43,43,12-03-2020 17:51:25,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0513,26576,9549,831,359.0,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
44,44,12-03-2020 17:51:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0859,43676,15694,1365,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,12-03-2020 17:51:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0577,29611,10640,926,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,12-03-2020 17:51:25,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0793,40715,14630,1273,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,47,12-03-2020 17:51:25,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0225,11548,4150,361,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
48,48,12-03-2020 17:51:25,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0287,14731,5293,461,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,49,12-03-2020 17:51:25,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0231,11844,4256,370,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
50,50,12-03-2020 17:51:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0287,14731,5293,461,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,12-03-2020 17:51:25,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0287,14731,5293,461,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
52,52,12-03-2020 17:51:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0209,10734,3857,336,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,12-03-2020 17:51:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0287,16212,5825,507,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,12-03-2020 17:51:25,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0437,22208,7980,694,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
55,55,12-03-2020 17:51:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0216,11104,3990,347,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
56,56,12-03-2020 17:51:25,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0262,14805,5320,463,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
57,57,12-03-2020 17:51:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3365,190000,87429,6149,,,,,,,,,,,,reagent 25i nbome. 5gr
58,58,12-03-2020 17:51:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3933,222082,79800,6942,3000.0,True,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
59,59,12-03-2020 17:51:25,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1251,63590,22849,1988,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
60,60,12-03-2020 17:51:25,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0269,13695,4921,428,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,12-03-2020 17:51:25,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0712,36199,13007,1132,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
62,62,12-03-2020 17:51:25,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0479,24355,8751,761,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
63,63,12-03-2020 17:51:25,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0262,13325,4788,417,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,64,12-03-2020 17:51:25,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1298,66625,23940,2083,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,12-03-2020 17:51:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.10099999999999999,51819,18620,1620,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
66,66,12-03-2020 17:51:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0575,29537,10613,923,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,12-03-2020 17:53:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1314,66625,23940,2083,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
68,68,12-03-2020 17:53:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1022,51819,18620,1620,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
69,69,12-03-2020 17:53:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0583,29537,10613,923,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,70,12-03-2020 17:53:07,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0516,25910,9310,810,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
71,71,12-03-2020 17:53:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1168,59222,21280,1851,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,12-03-2020 17:53:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.325,164711,59185,5149,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,12-03-2020 17:53:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2137,107266,38543,3353,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,12-03-2020 17:53:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0544,27316,9815,854,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,12-03-2020 17:53:07,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0441,22134,7953,692,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,76,12-03-2020 17:53:07,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2483,125847,45220,3934,1700.0,,,,,,,,,,,MDMA 20 g
77,77,12-03-2020 17:53:07,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0884,44342,15933,1386,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
78,78,12-03-2020 17:53:07,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0981,51819,18620,1620,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
79,79,12-03-2020 17:53:07,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1593,88833,31920,2777,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
80,80,12-03-2020 17:53:07,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.14,73953,26573,2312,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
81,81,12-03-2020 17:53:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2921,148055,53200,4628,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,12-03-2020 17:53:07,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.295,148055,53200,4628,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
83,83,12-03-2020 17:53:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3651,185069,66500,5785,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,12-03-2020 17:53:07,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2213,111041,39900,3471,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,85,12-03-2020 17:53:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6718,340526,122360,10645,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
86,86,12-03-2020 17:53:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0953,555206,199500,17356,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
87,87,12-03-2020 17:53:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2414,629233,226100,19670,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,12-03-2020 17:53:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0266,14805,5320,463,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
89,89,12-03-2020 17:53:07,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0199,11104,3990,347,150.0,,,,,,,,,,,Rabota na marki (kur'er)
90,90,12-03-2020 17:53:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0292,14805,5320,463,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
91,91,12-03-2020 17:53:07,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0365,18507,6650,579,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
92,92,12-03-2020 17:53:07,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.2106,1110411,399000,34712,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
93,93,12-03-2020 17:56:15,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,15,нет,Батуми,1 гр,0.0262,14805,5320,463,200.0,,,,,,,,True,,,NZT-52 limited 1 g muka
94,94,12-03-2020 17:56:15,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0079,4072,1463,127,55.0,,,,,,,,True,,,ORANGE PUNCH [1g]
95,95,12-03-2020 17:56:15,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0472,26650,9576,833,360.0,,,,,,,,True,,,NZT-52 limited 2g muka
96,96,12-03-2020 17:56:15,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0361,18507,6650,579,250.0,,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
97,97,12-03-2020 17:56:15,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2163,111041,39900,3471,1500.0,,,,,,,,True,,,Skunk! 50 gr.
98,98,12-03-2020 17:56:15,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,4,5,Батуми,0.27 гр,0.0393,19987,7182,625,270.0,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
99,99,12-03-2020 17:56:15,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0262,14805,5320,463,200.0,,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
100,100,12-03-2020 17:56:15,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2913,148055,53200,4628,2000.0,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
101,101,12-03-2020 17:56:15,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2185,111041,39900,3471,1500.0,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
102,102,12-03-2020 17:56:15,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0066,3701,1330,116,50.0,,,,,,,,True,,,kur'er v Batumi
103,103,12-03-2020 17:56:15,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0328,18507,6650,579,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
104,104,12-03-2020 17:56:15,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0197,11104,3990,347,150.0,,,,,,,,True,,,Rabota na marki (kur'er)
105,105,12-03-2020 17:56:15,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0328,18507,6650,579,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
106,106,12-03-2020 17:56:15,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1830000000000003,1110411,399000,34712,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
