,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Old Tbilisi (Старый город),Gldani,Varketili,Vake,Авлобари,Дигоми,Vazisubani,Nadzaladevi,Tbilisis Zgva,€,Батуми,Центр,Кутаиси,desc_en
14,14,23-04-2020 10:47:43,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0217,11941,4224,387,155.0,,,,,True,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
15,15,23-04-2020 10:47:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1559,88598,31338,2869,1150.0,,,,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
16,16,23-04-2020 10:47:43,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,1,нет,Тбилиси,10 гр,0.013999999999999999,7704,2725,249,100.0,,,,,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
17,17,23-04-2020 10:47:43,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0537,30817,10900,998,400.0,,,,,,,,,,,,,,,,gashish evro 10g
18,18,23-04-2020 10:47:43,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1042,59861,21173,1939,777.0,,,,,,,,,,,,,,,,Gashish Evro 20gr
19,19,23-04-2020 10:47:43,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2541,154083,54500,4990,2000.0,,,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
20,20,23-04-2020 10:47:43,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0521,28428,10055,921,369.0,,,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
21,21,23-04-2020 10:47:43,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0833,45455,16078,1472,590.0,,,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
22,22,23-04-2020 10:47:43,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,40,Тбилиси,4 гр,0.0076,4603,1628,149,,True,True,True,True,True,True,True,True,True,True,True,55.0,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
23,23,23-04-2020 10:47:43,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0559,30817,10900,998,400.0,,,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
24,24,23-04-2020 10:47:43,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0224,12327,4360,399,160.0,,,,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
25,25,23-04-2020 10:47:43,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0769,42373,14988,1372,550.0,,,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,23-04-2020 10:47:43,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0238,13097,4633,424,170.0,,,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
27,27,23-04-2020 10:47:43,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0278,15331,5423,496,199.0,,,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
28,28,23-04-2020 10:47:43,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0278,15331,5423,496,199.0,,,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
29,29,23-04-2020 10:47:43,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0278,16872,5968,546,219.0,,,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
30,30,23-04-2020 10:47:43,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0278,15331,5423,496,199.0,,,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
31,31,23-04-2020 10:47:43,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3134,190000,87429,6167,,,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
32,32,23-04-2020 10:47:43,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3812,231125,81750,7485,3000.0,,,True,,,,True,,,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
33,33,23-04-2020 10:48:46,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1227,66949,23680,2168,869.0,,,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
34,34,23-04-2020 10:48:46,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0267,14561,5150,472,189.0,,,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
35,35,23-04-2020 10:48:46,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0268,14638,5178,474,190.0,,,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,36,23-04-2020 10:48:46,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.069,37673,13325,1220,489.0,,,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
37,37,23-04-2020 10:48:46,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0267,14561,5150,472,189.0,,,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
38,38,23-04-2020 10:48:46,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1258,69337,24525,2245,900.0,,,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,39,23-04-2020 10:48:46,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0978,53929,19075,1746,700.0,,,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,23-04-2020 10:48:46,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0447,24653,8720,798,320.0,,,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,23-04-2020 10:48:46,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1118,61633,21800,1996,800.0,,,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,23-04-2020 10:48:46,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.311,171418,60631,5551,2225.0,,,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
43,43,23-04-2020 10:48:46,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2046,111633,39485,3615,1449.0,,,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
44,44,23-04-2020 10:48:46,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0521,28428,10055,921,369.0,,,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,23-04-2020 10:48:46,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0422,23035,8148,746,299.0,,,,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
46,46,23-04-2020 10:48:46,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0566,31202,11036,1010,405.0,,,,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
47,47,23-04-2020 10:48:46,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0846,46148,16323,1494,599.0,,,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
48,48,23-04-2020 10:48:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1538,84746,29975,2744,1100.0,,,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
49,49,23-04-2020 10:48:46,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3355,184900,65400,5988,2400.0,,,,,,,,,,,,,,,,100 gr marijuana buds
50,50,23-04-2020 10:48:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2796,154083,54500,4990,2000.0,,,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
51,51,23-04-2020 10:48:46,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2824,154083,54500,4990,2000.0,,,,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
52,52,23-04-2020 10:48:46,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3495,192604,68125,6237,2500.0,,,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,23-04-2020 10:48:46,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8247,454545,160775,14720,5900.0,,,,,,,,,,,,,,,,180 gr marihuana persoalno
54,54,23-04-2020 10:48:46,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4403,242681,85838,7859,3150.0,,,,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
55,55,23-04-2020 10:48:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.643,354391,125350,11477,4600.0,,,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
56,56,23-04-2020 10:48:46,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0484,577812,204375,18712,7500.0,,,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
57,57,23-04-2020 10:48:46,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1881,654854,231625,21207,8500.0,,,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
58,58,23-04-2020 10:48:46,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0254,15408,5450,499,200.0,,,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
59,59,23-04-2020 10:48:46,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.027999999999999997,15408,5450,499,200.0,,,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,60,23-04-2020 10:48:46,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0349,19260,6813,624,250.0,,,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
61,61,23-04-2020 10:48:46,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.027999999999999997,15408,5450,499,200.0,,,,,,,,,,,,,,,,Rabota na marki (kur'er)
62,62,23-04-2020 10:48:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1158,1155624,408750,37424,15000.0,,,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
63,63,23-04-2020 10:49:57,Batumi,54915c4374,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0025,1506,533,49,,,,,,,,,,,,,18.0,True,,,Batumi n-booom 1 shtuka
64,64,23-04-2020 10:49:57,Batumi,54915c4374,Батуми н-бооом 2 штуки,,4,нет,Батуми,2 гр,0.0049,2678,947,86,,,,,,,,,,,,,32.0,True,,,Batumi n-booom 2 shtuki
65,65,23-04-2020 10:49:57,Batumi,54915c4374,Батуми н-бооом 4 штуки,,4,нет,Батуми,4 гр,0.0076,4603,1628,149,,,,,,,,,,,,,55.0,True,True,,Batumi n-booom 4 shtuki
66,66,23-04-2020 10:49:57,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0083,5021,1776,162,,,,,,,,,,,,,60.0,True,,,Batumi n-booom 5 shtuk
67,67,23-04-2020 10:49:57,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3075,169492,59950,5489,2200.0,,,,,,,,,,,,,True,,,[100g] SPAIN HASH
68,68,23-04-2020 10:49:57,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2824,154083,54500,4990,2000.0,,,,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
69,69,23-04-2020 10:49:57,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0127,7704,2725,249,100.0,,,,,,,,,,,,,True,,,kur'er v Batumi
70,70,23-04-2020 10:49:57,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0318,19260,6813,624,250.0,,,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,71,23-04-2020 10:49:57,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0318,19260,6813,624,250.0,,,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
72,72,23-04-2020 10:49:57,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1158,1155624,408750,37424,15000.0,,,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
73,73,23-04-2020 10:49:57,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0699,38521,13625,1247,500.0,,,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,23-04-2020 10:50:57,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0262,14561,5150,472,189.0,,,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,75,23-04-2020 10:50:57,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,2 гр,0.0621,34206,12099,1108,444.0,,,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,76,23-04-2020 10:50:57,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0433,23883,8448,773,310.0,,,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,23-04-2020 10:50:57,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.027999999999999997,15408,5450,499,200.0,,,,,,,,,,,,,,,True,Rabota na marki (kur'er)
