,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Varketili,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
37,37,24-05-2020 04:40:31,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15742,5924,525,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,38,24-05-2020 04:40:31,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0248,16892,6357,564,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,39,24-05-2020 04:40:31,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0264,17970,6763,600,250.0,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
40,40,24-05-2020 04:40:31,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2539,190000,87429,6351,,,,,,,,,,,,reagent 25i nbome. 5gr
41,41,24-05-2020 04:40:31,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2882,215641,81150,7196,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,24-05-2020 04:40:31,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1023,68933,25941,2300,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,43,24-05-2020 04:40:31,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,13657,5140,456,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,44,24-05-2020 04:40:31,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0522,35150,13227,1173,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
45,45,24-05-2020 04:40:31,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0202,13585,5112,453,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
46,46,24-05-2020 04:40:31,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0951,64692,24345,2159,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,47,24-05-2020 04:40:31,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0423,28752,10820,959,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,48,24-05-2020 04:40:31,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.07400000000000001,50316,18935,1679,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,49,24-05-2020 04:40:31,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,30190,11361,1007,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,50,24-05-2020 04:40:31,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0143,9704,3652,324,135.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
51,51,24-05-2020 04:40:31,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0845,57504,21640,1919,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,52,24-05-2020 04:40:31,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2351,159934,60186,5337,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,53,24-05-2020 04:40:31,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1664,112062,42171,3739,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,54,24-05-2020 04:40:31,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0394,26524,9981,885,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,55,24-05-2020 04:40:31,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0336,22642,8521,756,315.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,56,24-05-2020 04:40:31,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0559,38025,14309,1269,529.0,,,,,,,,,,,20 gr georgian weed. Package on magnet
57,57,24-05-2020 04:40:31,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5336,359402,135250,11993,5000.0,,,,,,,,,,,METADON - 20 G.
58,58,24-05-2020 04:40:31,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0639,43056,16203,1437,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,24-05-2020 04:40:31,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1373,93373,35138,3116,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
60,60,24-05-2020 04:40:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1162,79068,29755,2638,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
61,61,24-05-2020 04:40:31,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2641,179629,67598,5994,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
62,62,24-05-2020 04:40:31,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2536,172513,64920,5757,2400.0,,,,,,,,,,,100 gr marijuana buds
63,63,24-05-2020 04:40:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2113,143761,54100,4797,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,64,24-05-2020 04:40:31,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2642,179701,67625,5997,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,24-05-2020 04:40:31,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6234,424094,159595,14152,5900.0,,,,,,,,,,,180 gr marihuana persoalno
66,66,24-05-2020 04:40:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4861,330650,124430,11034,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,67,24-05-2020 04:40:31,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7925,539103,202875,17990,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,68,24-05-2020 04:40:31,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8982,610983,229925,20388,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,24-05-2020 04:41:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14376,5410,480,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
70,70,24-05-2020 04:41:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14376,5410,480,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,71,24-05-2020 04:41:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0265,17970,6763,600,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,24-05-2020 04:41:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6052,1078206,405750,35979,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
73,73,24-05-2020 04:42:35,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,6,нет,Батуми,0.5 гр,0.0063,4313,1623,144,60.0,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
74,74,24-05-2020 04:42:35,Batumi,3c4662c591,шишки марихуаны 5G,,6,нет,Батуми,5 гр,0.0317,21564,8115,720,300.0,,,,,,,,,True,,shishki marihuany 5G
75,75,24-05-2020 04:42:35,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0634,43128,16230,1439,600.0,,,,,,,,,True,,Super Critical 10G
76,76,24-05-2020 04:42:35,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2326,158137,59510,5277,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
77,77,24-05-2020 04:42:35,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,4,Батуми,0.5 гр,0.009000000000000001,6110,2299,204,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
78,78,24-05-2020 04:42:35,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0346,25886,9719,864,,,,,,330.0,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
79,79,24-05-2020 04:42:35,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,8,Батуми,2 гр,0.0038,2589,972,86,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
80,80,24-05-2020 04:42:35,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0476,32346,12173,1079,450.0,,,,,,,,True,,,MDMA !! 3 gramma
81,81,24-05-2020 04:42:35,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1662,112990,51992,3777,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,82,24-05-2020 04:42:35,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2631,178900,82321,5980,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,83,24-05-2020 04:42:35,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7188,2705,240,100.0,,,,,,,,True,,,kur'er v Batumi
84,84,24-05-2020 04:42:35,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17970,6763,600,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,85,24-05-2020 04:42:35,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17970,6763,600,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
86,86,24-05-2020 04:42:35,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0115,7844,2945,262,,,,,,100.0,,,True,,,Rabota na marki (kur'er)
87,87,24-05-2020 04:42:35,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6003,1078206,405750,35979,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,88,24-05-2020 04:42:35,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35940,13525,1199,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,24-05-2020 04:44:27,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 0.55г бтк скидка 10% !!,,1,нет,Кутаиси,0.55 гр,0.0021,1581,595,53,22.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 0.55g btk skidka 10% !!
90,90,24-05-2020 04:44:27,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 1.1г бтк скидка 10% !!,,2,нет,Кутаиси,1.1 гр,0.0029,2156,812,72,30.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 1.1g btk skidka 10% !!
91,91,24-05-2020 04:44:27,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0508,34862,13119,1163,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,24-05-2020 04:44:27,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0387,26596,10009,887,370.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,24-05-2020 04:44:27,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0072,5391,2029,180,75.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
94,94,24-05-2020 04:44:27,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0111,8266,3111,276,115.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
95,95,24-05-2020 04:44:27,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0115,7844,2945,262,,,,,,100.0,,,,,True,Rabota na marki (kur'er)
