,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Vake,Saburtalo,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
12,12,21-03-2020 22:05:20,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0288,15999,5761,525,205.0,,,,,,,,,,,,VHQ BEST Cocaine 1g.
13,13,21-03-2020 22:05:20,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,1,нет,Тбилиси,1 гр,0.0262,13970,5030,458,179.0,,True,,,,,,,,,,Kokain KOLUMBIA 1g
14,14,21-03-2020 22:05:20,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1196,70240,25290,2303,900.0,,,,,,,,,,,,Metadon 1gr
15,15,21-03-2020 22:05:20,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,6,нет,Тбилиси,2 гр,0.013999999999999999,8195,2951,269,105.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,16,21-03-2020 22:05:20,Tbilisi,64284550d9,2G ---> ONLY BUDS,,8,нет,Тбилиси,2 гр,0.0089,4761,1714,156,61.0,,,True,,,,,,,,,2G ---> ONLY BUDS
17,17,21-03-2020 22:05:20,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5% ПОДЪЕЗД!!! НА МАГНИТЕ!!!,,1,нет,Тбилиси,2 гр,0.0514,27706,9976,908,355.0,,,,True,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5% POD'EZD!!! NA MAGNITE!!!
18,18,21-03-2020 22:05:20,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,5,нет,Тбилиси,2 гр,0.0048,2810,1012,92,36.0,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
19,19,21-03-2020 22:05:20,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0532,29579,10650,970,379.0,,,,,,,,,,,,Kokain HQ 2g.
20,20,21-03-2020 22:05:20,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0146,7726,2782,253,99.0,,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
21,21,21-03-2020 22:05:20,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0425,24974,8992,819,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
22,22,21-03-2020 22:05:20,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0434,23413,8430,768,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
23,23,21-03-2020 22:05:21,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,2,нет,Тбилиси,5 гр,0.0291,15531,5592,509,199.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
24,24,21-03-2020 22:05:21,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0469,26088,9409,856,,310.0,,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
25,25,21-03-2020 22:05:21,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0258,13658,4918,448,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,26,21-03-2020 22:05:21,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,1,нет,Тбилиси,5 гр,0.1151,61421,22115,2014,787.0,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
27,27,21-03-2020 22:05:21,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0086,5073,1827,166,65.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,21-03-2020 22:05:21,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0475,25364,9133,832,325.0,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
29,29,21-03-2020 22:05:21,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0534,28486,10257,934,365.0,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
30,30,21-03-2020 22:05:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.039,20838,7503,683,267.0,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
31,31,21-03-2020 22:05:21,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (10г) BТС 10% СКИДКА,True,2,нет,Тбилиси,10 гр,0.0412,24194,8711,793,310.0,,,,,,,,,,,,Hybrid Weed VHQ (10g) BTS 10% SKIDKA
32,32,21-03-2020 22:05:21,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,10 гр,0.0132,7726,2782,253,99.0,,,,,,True,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,21-03-2020 22:05:21,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0561,31218,11240,1024,400.0,,,,,,,,,,,,gashish evro 10g
34,34,21-03-2020 22:05:50,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,1,нет,Тбилиси,11 гр,0.0929,49558,17844,1625,635.0,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
35,35,21-03-2020 22:05:50,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2659,156089,56200,5118,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
36,36,21-03-2020 22:05:50,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G - (SALE),True,11,5,Тбилиси,0.27 гр,0.0369,19511,7025,640,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G - (SALE)
37,37,21-03-2020 22:05:50,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,2,3,Тбилиси,1.1 гр,0.1108,58533,21075,1919,750.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
38,38,21-03-2020 22:05:50,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,2,Тбилиси,1.4 гр,0.1024,54631,19670,1791,700.0,,,,,,,,,,,,Methadone HQ in city 1.4g
39,39,21-03-2020 22:05:50,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0295,15609,5620,512,200.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
40,40,21-03-2020 22:05:50,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,2,Тбилиси,3 гр,0.0871,46046,16579,1510,590.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
41,41,21-03-2020 22:05:50,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0585,31218,11240,1024,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,42,21-03-2020 22:05:50,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0804,42924,15455,1408,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,21-03-2020 22:05:50,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0228,12175,4384,399,156.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,21-03-2020 22:05:50,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0291,15531,5592,509,199.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
45,45,21-03-2020 22:05:50,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0234,12487,4496,409,160.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,21-03-2020 22:05:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0291,15531,5592,509,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,21-03-2020 22:05:50,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0291,15531,5592,509,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
48,48,21-03-2020 22:05:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0212,11316,4075,371,145.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,21-03-2020 22:05:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0291,17092,6154,560,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,21-03-2020 22:05:50,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0443,23413,8430,768,300.0,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
51,51,21-03-2020 22:05:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0219,11707,4215,384,150.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,21-03-2020 22:05:50,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0292,15609,5620,512,200.0,,,,,,,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
53,53,21-03-2020 22:05:50,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0266,15609,5620,512,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
54,54,21-03-2020 22:05:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3236,190000,87429,6224,,,,,,,,,,,,,reagent 25i nbome. 5gr
55,55,21-03-2020 22:05:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3988,234133,84300,7677,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,56,21-03-2020 22:05:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1269,67040,24138,2198,859.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
57,57,21-03-2020 22:05:50,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0273,14438,5199,473,185.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,21-03-2020 22:05:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0722,38164,13741,1251,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,21-03-2020 22:05:50,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,4,Тбилиси,5 гр,0.0486,25677,9245,842,329.0,,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
60,60,21-03-2020 22:05:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,8,Тбилиси,5 гр,0.0266,14048,5058,461,180.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
61,61,21-03-2020 22:05:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1316,70240,25290,2303,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,21-03-2020 22:05:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1024,54631,19670,1791,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,21-03-2020 22:05:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0468,24974,8992,819,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,21-03-2020 22:05:50,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0517,27316,9835,896,350.0,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
65,65,21-03-2020 22:05:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.11699999999999999,62435,22480,2047,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,21-03-2020 22:06:27,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0522,27316,9835,896,350.0,,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
67,67,21-03-2020 22:06:27,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.11800000000000001,62435,22480,2047,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,21-03-2020 22:06:27,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3283,173649,62523,5694,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,21-03-2020 22:06:27,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2159,113086,40717,3708,1449.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,21-03-2020 22:06:27,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.055,28798,10369,944,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
71,71,21-03-2020 22:06:27,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0446,23335,8402,765,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
72,72,21-03-2020 22:06:27,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0893,46749,16832,1533,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,21-03-2020 22:06:27,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1609,93653,33720,3071,1200.0,,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
74,74,21-03-2020 22:06:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2951,156089,56200,5118,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,21-03-2020 22:06:27,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.298,156089,56200,5118,2000.0,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,21-03-2020 22:06:27,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3688,195111,70250,6398,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,21-03-2020 22:06:27,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2235,117066,42150,3839,1500.0,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,21-03-2020 22:06:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6787,359004,129260,11772,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,21-03-2020 22:06:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.1065,585332,210750,19193,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,21-03-2020 22:06:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.254,663377,238850,21752,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,21-03-2020 22:06:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0268,15609,5620,512,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,21-03-2020 22:06:27,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0201,11707,4215,384,150.0,,,,,,,,,,,,Rabota na marki (kur'er)
83,83,21-03-2020 22:06:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0295,15609,5620,512,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,21-03-2020 22:06:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0369,19511,7025,640,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,21-03-2020 22:06:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.2331,1170665,421500,38387,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,21-03-2020 22:08:48,Batumi,99accec7c7,MEPHEDRONE 0.5 gr,,9,нет,Батуми,0.5 гр,0.0107,6244,2248,205,80.0,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
87,87,21-03-2020 22:08:48,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0402,23413,8430,768,300.0,,,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
88,88,21-03-2020 22:08:48,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,21,нет,Батуми,1 гр,0.0254,14828,5339,486,190.0,,,,,,,,,,True,,NZT-52 limited 1 g muka
89,89,21-03-2020 22:08:48,Batumi,c72111ac1a,NZT-52 limited 2г мука,,9,нет,Батуми,2 гр,0.0455,26535,9554,870,340.0,,,,,,,,,,True,,NZT-52 limited 2g muka
90,90,21-03-2020 22:08:48,Batumi,012f23b5ea,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0141,8195,2951,269,105.0,,,,,,,,,,True,,Power Africa 2.5 g
91,91,21-03-2020 22:08:48,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3241,171697,61820,5630,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
92,92,21-03-2020 22:08:48,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,15,Батуми,5 гр,0.0268,15609,5620,512,200.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
93,93,21-03-2020 22:08:48,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2975,156089,56200,5118,2000.0,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
94,94,21-03-2020 22:08:48,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2232,117066,42150,3839,1500.0,,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
95,95,21-03-2020 22:08:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0134,7804,2810,256,100.0,,,,,,,,,,True,,kur'er v Batumi
96,96,21-03-2020 22:08:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0335,19511,7025,640,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
97,97,21-03-2020 22:08:48,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0201,11707,4215,384,150.0,,,,,,,,,,True,,Rabota na marki (kur'er)
98,98,21-03-2020 22:08:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0335,19511,7025,640,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
99,99,21-03-2020 22:08:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.2295,1170665,421500,38387,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
100,100,21-03-2020 22:08:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0736,39022,14050,1280,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
101,101,21-03-2020 22:10:18,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! КУТАИСИ!!!,,9,нет,Кутаиси,1 гр,0.0299,15999,5761,525,205.0,,,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! KUTAISI!!!
102,102,21-03-2020 22:10:18,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0261,13970,5030,458,179.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! KUTAISI!!!
