,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Дигоми,Vake,Nadzaladevi,Авлобари,Батуми,Центр,desc_en
10,10,15-06-2020 05:13:37,Tbilisi,7bd1a5deba,10 - GRAMM BEASTWEED,,5,нет,Тбилиси,10 гр,0.0186,13824,5380,476,,True,200.0,,,,,,,,10 - GRAMM BEASTWEED
11,11,15-06-2020 05:13:37,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,5,нет,Тбилиси,10 гр,0.0204,13755,5353,473,,True,199.0,,,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
12,12,15-06-2020 05:13:37,Tbilisi,e56bb6ca93,"Отходы, листья и шишки. 🍃 Leafs and Buds (Good for making bubble hash)",,6,нет,Тбилиси,10 гр,0.0097,6497,2529,224,,True,94.0,,,,,,,,"Othody, list'ja i shishki. 🍃 Leafs and Buds (Good for making bubble hash)"
13,13,15-06-2020 05:13:37,Tbilisi,83f3d55917,Химка !! 10 г %%5%% скидка новинка !!!!,,2,нет,Тбилиси,10 гр,0.0064,4493,1749,155,,,65.0,,,,True,,,,Himka !! 10 g %%5%% skidka novinka !!!!
14,14,15-06-2020 05:13:37,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0466,34561,13450,1189,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
15,15,15-06-2020 05:13:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2068,138244,53800,4756,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
16,16,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day,,нет,2,Тбилиси,0.5 гр,0.0173,11682,4546,402,,True,169.0,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 0.5G Same Day
17,17,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 0.5G,,нет,2,Тбилиси,0.5 гр,0.0113,7603,2959,262,,True,110.0,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 0.5G
18,18,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 1G,,нет,1,Тбилиси,1 гр,0.0164,11060,4304,381,,True,160.0,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 1G
19,19,15-06-2020 05:13:37,Tbilisi,54915c4374,Сирец (геройн) очень сильный 1 гр (предзаказ на 10% дешевле!!!),,нет,20,Тбилиси,1 гр,0.0359,24193,9415,832,,True,350.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 1 gr (predzakaz na 10% deshevle!!!)
20,20,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 2G,,нет,2,Тбилиси,2 гр,0.0533,35943,13988,1237,,True,520.0,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ A+++ 2G
21,21,15-06-2020 05:13:37,Tbilisi,52fe6d0af9,New !!! VHQ Ketamine Imported!! New!!! 2G,,нет,1,Тбилиси,2 гр,0.0307,20737,8070,713,,True,300.0,,,,,,,,New !!! VHQ Ketamine Imported!! New!!! 2G
22,22,15-06-2020 05:13:37,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,8,Тбилиси,2 гр,0.0382,25506,9926,878,,True,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,15-06-2020 05:13:37,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0599,40022,15575,1377,,True,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,15-06-2020 05:13:37,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.040999999999999995,27649,10760,951,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,15-06-2020 05:13:37,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0564,38017,14795,1308,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
26,26,15-06-2020 05:13:37,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0241,16244,6322,559,,True,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
27,27,15-06-2020 05:13:37,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0246,16589,6456,571,,True,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
28,28,15-06-2020 05:13:37,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0236,15898,6187,547,,True,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
29,29,15-06-2020 05:13:37,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16589,6456,571,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30,15-06-2020 05:13:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0246,16589,6456,571,,True,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,15-06-2020 05:13:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0236,15898,6187,547,,True,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,15-06-2020 05:13:37,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15138,5891,521,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,15-06-2020 05:13:37,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0259,17280,6725,595,,True,250.0,,,,,,,,MARIXYANA - INDICA - 5 G.
34,34,15-06-2020 05:14:17,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16244,6322,559,,True,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,15-06-2020 05:14:17,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2558,190000,87429,6482,,True,,,,,,,,,reagent 25i nbome. 5gr
36,36,15-06-2020 05:14:17,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2792,207366,80700,7134,,,3000.0,,,,,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,15-06-2020 05:14:17,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0991,66288,25797,2281,,True,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,15-06-2020 05:14:17,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13133,5111,452,,True,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
39,39,15-06-2020 05:14:17,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0506,33801,13154,1163,,True,489.0,,,,,,,,💘✨5g. MDMA ✨💘
40,40,15-06-2020 05:14:17,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,62210,24210,2140,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,15-06-2020 05:14:17,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0409,27649,10760,951,,True,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,42,15-06-2020 05:14:17,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0716,48385,18830,1665,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,15-06-2020 05:14:17,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,29031,11298,999,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,15-06-2020 05:14:17,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0819,55298,21520,1902,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,15-06-2020 05:14:17,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2277,153796,59853,5291,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
46,46,15-06-2020 05:14:17,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1612,107761,41937,3707,,True,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,15-06-2020 05:14:17,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0816,54537,21224,1876,,True,789.0,,,,,,,,💘✨10gram MDMA ✨💘
48,48,15-06-2020 05:14:17,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0381,25506,9926,878,,True,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,15-06-2020 05:14:17,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1396,103683,40350,3567,,True,1500.0,,,,,,,,✨💘20g MDMA💘✨
50,50,15-06-2020 05:14:17,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0619,41404,16113,1424,,True,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,51,15-06-2020 05:14:17,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.133,89789,34943,3089,,True,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
52,52,15-06-2020 05:14:17,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,нет,5,Тбилиси,50 гр,0.0082,5530,2152,190,,True,80.0,,,,,,,,GABAGAMA 50 SHTUK
53,53,15-06-2020 05:14:17,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2558,172736,67223,5943,,True,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
54,54,15-06-2020 05:14:17,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2457,165893,64560,5707,,True,2400.0,,,,,,,,100 gr marijuana buds
55,55,15-06-2020 05:14:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2047,138244,53800,4756,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,15-06-2020 05:14:17,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2559,172805,67250,5945,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,15-06-2020 05:14:17,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,нет,1,Тбилиси,150 гр,0.0189,12788,4977,440,,True,185.0,,,,,,,,GABAGAMA 150 shtuk
58,58,15-06-2020 05:14:17,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6039,407819,158710,14031,,True,5900.0,,,,,,,,180 gr marihuana persoalno
59,59,15-06-2020 05:14:17,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.439,293768,114325,10107,,True,4250.0,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
60,60,15-06-2020 05:14:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4708,317961,123740,10939,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,61,15-06-2020 05:14:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7677,518414,201750,17836,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,62,15-06-2020 05:14:17,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.87,587536,228650,20214,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,15-06-2020 05:14:17,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13824,5380,476,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
64,64,15-06-2020 05:14:17,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0205,13824,5380,476,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,15-06-2020 05:14:17,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5493,1036829,403500,35672,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
66,66,15-06-2020 05:15:21,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,1,нет,Батуми,10 гр,0.0422,29031,11298,999,,,420.0,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
67,67,15-06-2020 05:15:21,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1675,112990,51992,3855,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,68,15-06-2020 05:15:21,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2652,178900,82321,6103,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,69,15-06-2020 05:15:21,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6912,2690,238,,,100.0,,,,,,True,,kur'er v Batumi
70,70,15-06-2020 05:15:21,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17280,6725,595,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
71,71,15-06-2020 05:15:21,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17280,6725,595,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
72,72,15-06-2020 05:15:21,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0205,13824,5380,476,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
73,73,15-06-2020 05:15:21,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5509,1036829,403500,35672,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
74,74,15-06-2020 05:15:21,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0512,34561,13450,1189,,,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
