,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
38,38,25-02-2020 01:28:34,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,7,нет,Тбилиси,2 гр,0.0071,4501,1716,155,70.0,,,,,,,,,,"LSD - 250 ug, 2 pieces"
39,39,25-02-2020 01:28:34,Tbilisi,edfbad0151,THC Snow Buds Only 2G (THC 23+%),True,1,нет,Тбилиси,2 гр,0.0085,5466,2083,188,85.0,,,,,,,,,,THC Snow Buds Only 2G (THC 23+%)
40,40,25-02-2020 01:28:34,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0355,25077,9559,863,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
41,41,25-02-2020 01:28:34,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.035,22441,8554,772,349.0,,,,True,,,,,,Kokain KOLUMBIA 2g
42,42,25-02-2020 01:28:34,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,7,нет,Тбилиси,2 гр,0.0106,7073,2696,243,110.0,,,,,,,,,,🍃 2gr GAShISh 🍃
43,43,25-02-2020 01:28:34,Tbilisi,7ee4f68218,3 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,3 гр,0.0104,6942,2653,239,,,,100.0,,,,,,,3 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
44,44,25-02-2020 01:28:34,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0245,15754,6005,542,245.0,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
45,45,25-02-2020 01:28:34,Tbilisi,ae784bef73,NEW ! Easy Bud ! SALE ! 3g,True,7,нет,Тбилиси,3 гр,0.008,5144,1961,177,80.0,,,,,,,,,,NEW ! Easy Bud ! SALE ! 3g
46,46,25-02-2020 01:28:34,Tbilisi,4be7861731,metadon sirop 4ml,True,4,нет,Тбилиси,4 гр,0.0067,4308,1642,148,67.0,,,,,,,,,,metadon sirop 4ml
47,47,25-02-2020 01:28:34,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,8,нет,Тбилиси,5 гр,0.0157,9967,3799,343,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
48,48,25-02-2020 01:28:34,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,2,нет,Тбилиси,5 гр,0.0173,12217,4657,420,190.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
49,49,25-02-2020 01:28:34,Tbilisi,7ee4f68218,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0171,11454,4377,394,,,,165.0,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
50,50,25-02-2020 01:28:34,Tbilisi,7ee4f68218,5 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,5 гр,0.0171,11454,4377,394,,,,165.0,,,,,,,5 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
51,51,25-02-2020 01:28:34,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0177,11253,4289,387,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
52,52,25-02-2020 01:28:34,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0152,9645,3677,332,150.0,,,,,,,,,,"LSD - 250 ug, 5 pieces"
53,53,25-02-2020 01:28:35,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0161,10224,3897,352,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
