,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
64,29-04-2020 03:03:34,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0231,14914,5450,493,200,,,,,,,,,,,KURYER..500RUB.+BONUS
65,29-04-2020 03:03:34,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0254,14914,5450,493,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,29-04-2020 03:03:34,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0317,18643,6813,616,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,29-04-2020 03:03:34,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0254,14914,5450,493,200,,,,,,,,,,,Rabota na marki (kur'er)
68,29-04-2020 03:03:34,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.919,1118559,408750,36945,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
69,29-04-2020 03:04:50,Batumi,A3I9,Joookerrr,Батуми н-бооом 10 штук,,2,нет,Батуми,10 гр,0.0125,8077,2960,265,,,,,,100,,,True,,,Batumi n-booom 10 shtuk
70,29-04-2020 03:04:50,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2784,164055,59950,5419,2200,,,,,,,,True,,,[100g] SPAIN HASH
71,29-04-2020 03:04:50,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Батуми,20 гр,0.639,372853,136250,12315,5000,,,,,,,,True,,,METADON - 20 G.
72,29-04-2020 03:04:50,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0115,7457,2725,246,100,,,,,,,,True,,,kur'er v Batumi
73,29-04-2020 03:04:50,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0288,18643,6813,616,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
74,29-04-2020 03:04:50,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0288,18643,6813,616,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
75,29-04-2020 03:04:50,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9152,1118559,408750,36945,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
76,29-04-2020 03:04:50,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0633,37285,13625,1232,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,29-04-2020 03:06:31,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0237,14094,5150,466,189,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,29-04-2020 03:06:31,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0612,36092,13189,1192,484,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,29-04-2020 03:06:31,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0421,24832,9074,820,333,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,29-04-2020 03:06:31,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0253,14914,5450,493,200,,,,,,,,,,True,Rabota na marki (kur'er)
