,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
17,17,09-06-2020 10:07:45,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,1,Тбилиси,2 гр,0.0215,14346,5639,498,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
18,18,09-06-2020 10:07:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0593,39553,15546,1374,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
19,19,09-06-2020 10:07:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0405,27325,10740,949,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
20,20,09-06-2020 10:07:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0558,37572,14768,1305,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,21,09-06-2020 10:07:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,8,Тбилиси,5 гр,0.0238,16053,6310,558,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
22,22,09-06-2020 10:07:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0243,16395,6444,570,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
23,23,09-06-2020 10:07:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0233,15712,6176,546,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
24,24,09-06-2020 10:07:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,16395,6444,570,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
25,25,09-06-2020 10:07:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0243,16395,6444,570,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
26,26,09-06-2020 10:07:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0233,15712,6176,546,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
27,27,09-06-2020 10:07:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0202,14960,5880,520,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
28,28,09-06-2020 10:07:45,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0256,17078,6713,593,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
29,29,09-06-2020 10:07:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0238,16053,6310,558,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
30,30,09-06-2020 10:07:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2563,190000,87429,6605,,,,,,,,,,,reagent 25i nbome. 5gr
31,31,09-06-2020 10:07:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2764,204937,80550,7120,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
32,32,09-06-2020 10:07:45,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0982,65512,25749,2276,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
33,33,09-06-2020 10:07:45,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0195,12979,5102,451,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
34,34,09-06-2020 10:08:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0501,33405,13130,1161,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
35,35,09-06-2020 10:08:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0912,61481,24165,2136,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
36,36,09-06-2020 10:08:29,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0406,27325,10740,949,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
37,37,09-06-2020 10:08:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.071,47819,18795,1661,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
38,38,09-06-2020 10:08:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0426,28691,11277,997,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
39,39,09-06-2020 10:08:29,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0811,54650,21480,1899,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
40,40,09-06-2020 10:08:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,нет,1,Тбилиси,10 гр,0.0271,18239,7169,634,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
41,41,09-06-2020 10:08:29,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2256,151995,59741,5280,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
42,42,09-06-2020 10:08:29,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1596,106499,41859,3700,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
43,43,09-06-2020 10:08:29,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0827,55196,21695,1918,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
44,44,09-06-2020 10:08:29,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0378,25207,9908,876,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
45,45,09-06-2020 10:08:29,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,11 гр,0.0357,23909,9398,831,350.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
46,46,09-06-2020 10:08:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 20шт. вес таблетки 450mg,True,нет,1,Тбилиси,20 гр,0.0517,34839,13694,1210,510.0,,,,,,,,,,Extasy GUCCI 20sht. ves tabletki 450mg
47,47,09-06-2020 10:08:29,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5119,341562,134250,11866,5000.0,,,,,,,,,,METADON - 20 G.
48,48,09-06-2020 10:08:29,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1382,102468,40275,3560,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
49,49,09-06-2020 10:08:29,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0613,40919,16083,1422,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,09-06-2020 10:08:29,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1317,88738,34878,3083,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
51,51,09-06-2020 10:08:29,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2533,170712,67098,5931,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
52,52,09-06-2020 10:08:29,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2433,163950,64440,5696,2400.0,,,,,,,,,,100 gr marijuana buds
53,53,09-06-2020 10:08:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2027,136625,53700,4746,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,09-06-2020 10:08:29,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2534,170781,67125,5933,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,09-06-2020 10:08:29,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5981,403043,158415,14002,5900.0,,,,,,,,,,180 gr marihuana persoalno
56,56,09-06-2020 10:08:29,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4348,290327,114113,10086,4250.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
57,57,09-06-2020 10:08:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4663,314237,123510,10917,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,09-06-2020 10:08:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7603,512342,201375,17799,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,09-06-2020 10:08:29,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8617,580655,228225,20172,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,09-06-2020 10:08:29,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0184,13662,5370,475,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,09-06-2020 10:08:29,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0203,13662,5370,475,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,09-06-2020 10:08:29,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5344,1024685,402750,35598,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
63,63,09-06-2020 10:09:41,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0228,15712,6176,546,230.0,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
64,64,09-06-2020 10:09:41,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0417,28691,11277,997,420.0,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
65,65,09-06-2020 10:09:41,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5118,341562,134250,11866,5000.0,,,,,,True,,,,METADON - 20 G.
66,66,09-06-2020 10:09:41,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1676,112990,51992,3928,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
67,67,09-06-2020 10:09:41,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2654,178900,82321,6219,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
68,68,09-06-2020 10:09:41,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6831,2685,237,100.0,,,,,,True,,,,kur'er v Batumi
69,69,09-06-2020 10:09:41,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.023,17078,6713,593,250.0,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
70,70,09-06-2020 10:09:41,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.023,17078,6713,593,250.0,,,,,,True,,,,Ischu kur'era v Gruzii!
71,71,09-06-2020 10:09:41,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13662,5370,475,200.0,,,,,,True,,,,Kur'er Batumi na marihuanu
72,72,09-06-2020 10:09:41,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0286,19297,7600,671,,,,,,,True,250.0,,,Rabota na marki (kur'er)
73,73,09-06-2020 10:09:41,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5341,1024685,402750,35598,15000.0,,,,,,True,,,,Vakansija optovogo kur'era na mef
74,74,09-06-2020 10:09:41,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0507,34156,13425,1187,500.0,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,75,09-06-2020 10:11:08,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0286,19297,7600,671,,,,,,,,250.0,,True,Rabota na marki (kur'er)
