,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Zahesi,Gldani,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
51,51,05-07-2020 19:09:39,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,12,нет,Батуми,2 гр,0.0058,3878,1504,133,55.0,,,,,,,,True,,Melkie shishki (Indica) 2g
52,52,05-07-2020 19:09:39,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,1,нет,Батуми,2 гр,0.012,7922,3060,273,,,,,,,,100.0,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
53,53,05-07-2020 19:09:39,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0268,17625,6838,605,250.0,,,,,,,,True,,METADON - 0.25 - SALE
54,54,05-07-2020 19:09:39,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.047,30896,11934,1065,,,,,,,,390.0,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,55,05-07-2020 19:09:39,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0506,33273,12852,1147,,,,,,,,420.0,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
56,56,05-07-2020 19:09:39,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1702,112990,51992,3882,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
57,57,05-07-2020 19:09:39,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2695,178900,82321,6147,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
58,58,05-07-2020 19:09:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7050,2735,242,100.0,,,,,,,,True,,kur'er v Batumi
59,59,05-07-2020 19:09:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17625,6838,605,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
60,60,05-07-2020 19:09:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17625,6838,605,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
61,61,05-07-2020 19:09:39,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14100,5470,484,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
62,62,05-07-2020 19:09:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6074,1057499,410250,36321,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
63,63,05-07-2020 19:09:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,35250,13675,1211,500.0,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
