,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,$,Varketili,Saburtalo,Nadzaladevi,Didube,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,39,11-07-2020 17:59:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2127,142460,54500,4860,,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,11-07-2020 17:59:40,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,5,Тбилиси,1 гр,0.0372,24883,9517,850,310.0,,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
41,41,11-07-2020 17:59:40,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0144,10684,4088,365,,150.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
42,42,11-07-2020 17:59:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,3,Тбилиси,4 гр,0.0422,28492,10900,972,,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,43,11-07-2020 17:59:40,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0264,17807,6813,608,,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
44,44,11-07-2020 17:59:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,4,Тбилиси,5 гр,0.057999999999999996,39176,14988,1337,,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,11-07-2020 17:59:40,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0285,19232,7358,656,,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
46,46,11-07-2020 17:59:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0295,19944,7630,680,,280.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,11-07-2020 17:59:40,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.028999999999999998,19588,7494,668,,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
48,48,11-07-2020 17:59:40,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,17095,6540,583,,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,11-07-2020 17:59:40,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0295,19944,7630,680,,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,11-07-2020 17:59:40,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0285,19232,7358,656,,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,51,11-07-2020 17:59:40,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15599,5968,532,,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,52,11-07-2020 17:59:40,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0285,19232,7358,656,,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,11-07-2020 17:59:40,Tbilisi,7f1273da70,марихуана пудра высокое качество 5грам,True,нет,10,Тбилиси,5 гр,0.0077,5698,2180,194,,80.0,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
54,54,11-07-2020 17:59:40,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2556,190000,87429,6482,,,,,,,,,,,,,,reagent 25i nbome. 5gr
55,55,11-07-2020 17:59:40,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2875,213689,81750,7290,,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,56,11-07-2020 17:59:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,5 гр,0.024,16054,6140,549,200.0,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
57,57,11-07-2020 17:59:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0949,64107,24525,2187,,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,58,11-07-2020 17:59:40,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.057999999999999996,39176,14988,1337,,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,59,11-07-2020 17:59:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0738,49861,19075,1701,,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,11-07-2020 17:59:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0443,29917,11445,1021,,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,11-07-2020 17:59:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0843,56984,21800,1944,,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,11-07-2020 17:59:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2345,158486,60631,5407,,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,11-07-2020 17:59:40,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0527,35318,13508,1207,440.0,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
64,64,11-07-2020 17:59:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0467,31305,11973,1070,390.0,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,65,11-07-2020 17:59:40,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,4,Тбилиси,11 гр,0.0478,32027,12249,1095,399.0,,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
66,66,11-07-2020 17:59:40,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0623,46299,17713,1580,,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
67,67,11-07-2020 17:59:40,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.253,170952,65400,5832,,2400.0,,,,,,,,,,,,100 gr marijuana buds
68,68,11-07-2020 17:59:40,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2635,178075,68125,6075,,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,11-07-2020 18:00:16,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6218,420256,160775,14337,,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
70,70,11-07-2020 18:00:16,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8958,605453,231625,20655,,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,11-07-2020 18:00:16,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14246,5450,486,,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,11-07-2020 18:00:16,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0158,10684,4088,365,,150.0,,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
73,73,11-07-2020 18:00:16,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0263,17807,6813,608,,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,11-07-2020 18:00:16,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0211,14246,5450,486,,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,11-07-2020 18:00:16,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0263,17807,6813,608,,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
76,76,11-07-2020 18:00:16,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0527,35615,13625,1215,,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
77,77,11-07-2020 18:00:16,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0192,14246,5450,486,,200.0,,,,,,,,,,,,Rabota kur'erom
78,78,11-07-2020 18:00:16,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5951,1068447,408750,36450,,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,11-07-2020 18:00:16,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0527,35615,13625,1215,,500.0,True,,,,True,,True,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
80,80,11-07-2020 18:02:00,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,2,нет,Батуми,2 гр,0.0192,14246,5450,486,,200.0,,,,,,,,,True,,,Golosa(GHS)+ DOS-vi-DOS 2g
81,81,11-07-2020 18:02:00,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0371,24883,9517,850,310.0,,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,82,11-07-2020 18:02:00,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.0527,35318,13508,1207,440.0,,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
83,83,11-07-2020 18:02:00,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0467,31305,11973,1070,390.0,,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
84,84,11-07-2020 18:02:00,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Батуми,11 гр,0.0478,32027,12249,1095,399.0,,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
85,85,11-07-2020 18:02:00,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1671,112990,51992,3855,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,86,11-07-2020 18:02:00,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2646,178900,82321,6104,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,87,11-07-2020 18:02:00,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7123,2725,243,,100.0,,,,,,,,,True,,,kur'er v Batumi
88,88,11-07-2020 18:02:00,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17807,6813,608,,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
89,89,11-07-2020 18:02:00,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17807,6813,608,,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
90,90,11-07-2020 18:02:00,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14246,5450,486,,200.0,,,,,,,,,True,,,Kur'er Batumi na marihuanu
91,91,11-07-2020 18:02:00,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5948,1068447,408750,36450,,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
92,92,11-07-2020 18:02:00,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0527,35615,13625,1215,,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
93,93,11-07-2020 18:03:50,Kutaisi,b7446e2cca,CUSTOM Шишки 3in1 3g,,1,нет,Кутаиси,3 гр,0.0105,7123,2725,243,,100.0,,,,,,,,,,,True,CUSTOM Shishki 3in1 3g
94,94,11-07-2020 18:03:50,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4446,300590,114995,10255,,4220.0,,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
