,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
32,28-05-2020 16:01:53,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0247,16709,6371,566,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,28-05-2020 16:02:55,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0253,17064,6506,578,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,28-05-2020 16:02:55,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0242,16353,6235,554,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,28-05-2020 16:02:55,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0167,11305,4310,383,159,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
36,28-05-2020 16:02:55,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,17064,6506,578,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,28-05-2020 16:02:55,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0253,17064,6506,578,240,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,28-05-2020 16:02:55,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0242,16353,6235,554,230,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,28-05-2020 16:02:55,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,15571,5937,528,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,28-05-2020 16:02:55,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0247,16709,6371,566,235,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
41,28-05-2020 16:02:55,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0263,17775,6778,602,250,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
42,28-05-2020 16:02:55,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2558,190000,87429,6448,,,,,,,,,,,,reagent 25i nbome. 5gr
43,28-05-2020 16:02:55,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2872,213304,81330,7227,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,28-05-2020 16:02:55,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.102,68186,25998,2310,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,28-05-2020 16:02:55,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0202,13509,5151,458,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,28-05-2020 16:02:55,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.052,34768,13257,1178,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
47,28-05-2020 16:02:55,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0948,63991,24399,2168,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
48,28-05-2020 16:02:55,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0421,28440,10844,964,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,28-05-2020 16:02:55,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0737,49771,18977,1686,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,28-05-2020 16:02:55,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0442,29863,11386,1012,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,28-05-2020 16:02:55,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0842,56881,21688,1927,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,28-05-2020 16:02:55,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2343,158200,60320,5360,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,28-05-2020 16:02:55,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1658,110847,42264,3756,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,28-05-2020 16:02:55,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0392,26236,10004,889,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,28-05-2020 16:02:55,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,10,Тбилиси,20 гр,0.042,28369,10817,961,399,,,,,,,,,,,20 gr georgian weed. Package on magnet
56,28-05-2020 16:02:55,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5318,355506,135550,12045,5000,,,,,,,,,,,METADON - 20 G.
57,28-05-2020 16:02:55,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0637,42590,16239,1443,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,28-05-2020 16:02:55,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1368,92360,35216,3129,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
59,28-05-2020 16:02:55,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2632,177682,67748,6020,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
60,28-05-2020 16:02:55,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2527,170643,65064,5782,2400,,,,,,,,,,,100 gr marijuana buds
61,28-05-2020 16:02:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2106,142202,54220,4818,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,28-05-2020 16:02:55,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2633,177753,67775,6023,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,28-05-2020 16:02:55,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6213,419497,159949,14213,5900,,,,,,,,,,,180 gr marihuana persoalno
64,28-05-2020 16:02:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4844,327066,124706,11081,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,28-05-2020 16:02:55,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7898,533259,203325,18068,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,28-05-2020 16:02:55,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8951,604360,230435,20477,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,28-05-2020 16:02:55,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14220,5422,482,200,,,,,,,,,,,KURYER..500RUB.+BONUS
68,28-05-2020 16:03:37,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0191,14220,5422,482,200,,,,,,,,,,,Trebuetsja Kur'er
69,28-05-2020 16:03:37,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.021,14220,5422,482,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,28-05-2020 16:03:37,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0263,17775,6778,602,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,28-05-2020 16:03:37,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5916,1066518,406650,36135,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
72,28-05-2020 16:04:45,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0059,3982,1518,135,56,,,,,,,True,,,,Marki n-BoooooooM 4 sht
73,28-05-2020 16:04:45,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2311,156423,59642,5300,2200,,,,,,,,True,,,[100g] SPAIN HASH
74,28-05-2020 16:04:45,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0089,6044,2304,205,85,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
75,28-05-2020 16:04:45,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0425,28796,10980,976,405,,,,,,,,True,,,MDMA !! 3 gramma
76,28-05-2020 16:04:45,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0432,29863,11386,1012,420,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
77,28-05-2020 16:04:45,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1669,112990,51992,3834,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,28-05-2020 16:04:45,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2643,178900,82321,6071,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,28-05-2020 16:04:45,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7110,2711,241,100,,,,,,,,True,,,kur'er v Batumi
80,28-05-2020 16:04:45,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17775,6778,602,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,28-05-2020 16:04:45,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17775,6778,602,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
82,28-05-2020 16:04:45,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0289,19565,7450,661,,,,,,,,,True,250,,Rabota na marki (kur'er)
83,28-05-2020 16:04:45,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5897,1066518,406650,36135,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
84,28-05-2020 16:04:45,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0525,35551,13555,1205,500,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,28-05-2020 16:06:24,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0504,34484,13148,1168,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,28-05-2020 16:06:24,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.034,23463,8946,795,330,,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
87,28-05-2020 16:06:24,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0289,19565,7450,661,,,,,,,,,,250,True,Rabota na marki (kur'er)
