,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
44,01-06-2020 14:31:41,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,4,Тбилиси,5 гр,0.0198,13089,4995,446,185,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
45,01-06-2020 14:31:41,Tbilisi,EIH4,San4oPan4o,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,,нет,1,Тбилиси,6 гр,0.0487,33183,12663,1130,469,True,,,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
46,01-06-2020 14:31:41,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0953,63677,24300,2169,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
47,01-06-2020 14:31:41,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0424,28301,10800,964,400,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,01-06-2020 14:31:41,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0741,49526,18900,1687,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,01-06-2020 14:31:41,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0445,29716,11340,1012,420,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,01-06-2020 14:31:41,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0847,56602,21600,1928,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,01-06-2020 14:31:41,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2356,157423,60075,5362,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
52,01-06-2020 14:31:41,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,2,Тбилиси,10 гр,0.1668,110302,42093,3757,1559,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,01-06-2020 14:31:41,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0395,26107,9963,889,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,01-06-2020 14:31:41,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0336,22287,8505,759,315,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,01-06-2020 14:31:41,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Тбилиси,20 гр,0.5348,353760,135000,12050,5000,True,,,,,,,,,METADON - 20 G.
56,01-06-2020 14:31:41,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0641,42380,16173,1444,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
57,01-06-2020 14:31:41,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1376,91907,35073,3131,1299,True,,,,,,,,,50 gr georgian weed. Package on magnet
58,01-06-2020 14:31:41,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2647,176809,67473,6023,2499,True,,,,,,,,,100 gr georgian weed. Package on magnet
59,01-06-2020 14:31:41,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2542,169805,64800,5784,2400,True,,,,,,,,,100 gr marijuana buds
60,01-06-2020 14:31:41,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2118,141504,54000,4820,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
61,01-06-2020 14:31:41,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2648,176880,67500,6025,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,01-06-2020 14:31:41,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6248,417437,159300,14219,5900,True,,,,,,,,,180 gr marihuana persoalno
63,01-06-2020 14:31:41,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4872,325459,124200,11086,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,01-06-2020 14:31:41,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7943,530640,202500,18075,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,01-06-2020 14:31:41,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9002,601392,229500,20485,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,01-06-2020 14:31:41,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0193,14150,5400,482,200,True,,,,,,,,,KURYER..500RUB.+BONUS
67,01-06-2020 14:31:41,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0212,14150,5400,482,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,01-06-2020 14:31:41,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0265,17688,6750,603,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,01-06-2020 14:32:18,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,,нет,1,Тбилиси,1 гр,0.0212,14150,5400,482,200,True,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
70,01-06-2020 14:32:18,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.603,1061280,405000,36150,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
71,01-06-2020 14:33:31,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 гр",,2,нет,Батуми,0.25 гр,0.0053,3538,1350,121,50,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gr"
72,01-06-2020 14:33:31,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.009,6014,2295,205,85,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
73,01-06-2020 14:33:31,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2329,155654,59400,5302,2200,,,,,,,True,,,[100g] SPAIN HASH
74,01-06-2020 14:33:31,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0239,16273,6210,554,230,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
75,01-06-2020 14:33:31,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0436,29716,11340,1012,420,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
76,01-06-2020 14:33:31,Batumi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5347,353760,135000,12050,5000,,,,,,,True,,,METADON - 20 G.
77,01-06-2020 14:33:31,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1691,112990,51992,3853,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,01-06-2020 14:33:31,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2677,178900,82321,6100,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,01-06-2020 14:33:31,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2700,241,100,,,,,,,True,,,kur'er v Batumi
80,01-06-2020 14:33:31,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17688,6750,603,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,01-06-2020 14:33:31,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17688,6750,603,250,,,,,,,True,,,Ischu kur'era v Gruzii!
82,01-06-2020 14:33:31,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0212,14150,5400,482,200,,,,,,,True,,,Kur'er Batumi na marihuanu
83,01-06-2020 14:33:31,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0294,19637,7513,669,,,,,,,,True,250,,Rabota na marki (kur'er)
84,01-06-2020 14:33:31,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6026,1061280,405000,36150,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
85,01-06-2020 14:33:31,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35376,13500,1205,500,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,01-06-2020 14:34:47,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,2 гр,0.0321,21862,8343,745,309,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
87,01-06-2020 14:34:47,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0202,13797,5265,470,195,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
88,01-06-2020 14:34:47,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0294,19637,7513,669,,,,,,,,,250,True,Rabota na marki (kur'er)
