,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Vake,€,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
83,05-03-2020 22:08:05,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2095,132371,49640,4462,2000,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
84,05-03-2020 22:08:05,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1571,99278,37230,3347,1500,,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
85,05-03-2020 22:08:05,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0105,6619,2482,223,100,,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
86,05-03-2020 22:08:05,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0047,3309,1241,112,50,,,,,,,,True,,,kur'er v Batumi
87,05-03-2020 22:08:05,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,16546,6205,558,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,05-03-2020 22:08:05,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0141,9928,3723,335,150,,,,,,,,True,,,Rabota na marki (kur'er)
89,05-03-2020 22:08:05,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,16546,6205,558,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
90,05-03-2020 22:08:05,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5699,992781,372300,33467,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,05-03-2020 22:08:05,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,33093,12410,1116,500,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,05-03-2020 22:09:11,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0113,7148,2681,241,108,,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
93,05-03-2020 22:09:11,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0105,6619,2482,223,100,,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
94,05-03-2020 22:09:11,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0141,9928,3723,335,150,,,,,,,,,,True,Rabota na marki (kur'er)
