,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
66,66,30-06-2020 00:50:34,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2317,155642,59853,5304,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
67,67,30-06-2020 00:50:34,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2291,153893,59180,5245,,True,2200.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
68,68,30-06-2020 00:50:34,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2628,174808,67223,5957,,True,2499.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,30-06-2020 00:50:34,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0421,27981,10760,954,,True,400.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
70,70,30-06-2020 00:51:43,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.046,30686,11759,1043,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
71,71,30-06-2020 00:51:43,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0841,55961,21520,1907,,True,800.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
72,72,30-06-2020 00:51:43,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2499,167883,64560,5721,,True,2400.0,,,,,,,,100 gr marijuana buds
73,73,30-06-2020 00:51:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2083,139903,53800,4768,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
74,74,30-06-2020 00:51:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2603,174878,67250,5960,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,75,30-06-2020 00:51:43,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6143,412713,158710,14065,,True,5900.0,,,,,,,,180 gr marihuana persoalno
76,76,30-06-2020 00:51:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.479,321776,123740,10966,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,77,30-06-2020 00:51:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7809,524635,201750,17879,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,78,30-06-2020 00:51:43,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8851,594586,228650,20263,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
79,79,30-06-2020 00:51:43,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,13990,5380,477,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
80,80,30-06-2020 00:51:43,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,13990,5380,477,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,81,30-06-2020 00:51:43,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.026000000000000002,17488,6725,596,,True,250.0,,,,,,,,Rabota na marki (kur'er)
