,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Vazisubani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
34,23-05-2020 00:44:27,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,17251,6470,573,240,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,23-05-2020 00:44:27,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0254,17251,6470,573,240,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
36,23-05-2020 00:44:27,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0244,16533,6201,549,230,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
37,23-05-2020 00:44:27,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15742,5904,522,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
38,23-05-2020 00:44:27,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16892,6336,561,235,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
39,23-05-2020 00:44:27,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.017,11501,4314,382,160,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
40,23-05-2020 00:44:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2547,190000,87429,6393,,,,,,,,,,,,,reagent 25i nbome. 5gr
41,23-05-2020 00:44:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2891,215641,80880,7157,3000,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1027,68933,25855,2288,959,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
43,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,1,Тбилиси,5 гр,0.0203,13657,5122,453,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
44,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0524,35150,13183,1167,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
45,23-05-2020 00:44:27,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0954,64692,24264,2147,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,23-05-2020 00:44:27,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0424,28752,10784,954,400,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,23-05-2020 00:44:27,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0742,50316,18872,1670,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,23-05-2020 00:44:27,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0445,30190,11323,1002,420,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,23-05-2020 00:44:27,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0143,9704,3640,322,135,,,,,,,,,,,,10G Hybrid Marijuana Leafs
50,23-05-2020 00:44:27,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0848,57504,21568,1908,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,23-05-2020 00:44:27,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0307,20845,7818,692,290,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
52,23-05-2020 00:44:27,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2358,159934,59986,5308,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
53,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1669,112062,42031,3719,1559,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
54,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0395,26524,9948,880,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
55,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0337,22642,8492,751,315,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
56,23-05-2020 00:44:27,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0561,38025,14262,1262,529,,,,,,,,,,,,20 gr georgian weed. Package on magnet
57,23-05-2020 00:44:27,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5353,359402,134800,11928,5000,,,,,,,,,,,,METADON - 20 G.
58,23-05-2020 00:44:27,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0641,43056,16149,1429,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,23-05-2020 00:44:27,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,7,Тбилиси,50 гр,0.1377,93373,35021,3099,1299,,,,,,,,,,,,50 gr georgian weed. Package on magnet
60,23-05-2020 00:44:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1166,79068,29656,2624,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
61,23-05-2020 00:44:27,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2649,179629,67373,5962,2499,,,,,,,,,,,,100 gr georgian weed. Package on magnet
62,23-05-2020 00:44:27,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2544,172513,64704,5725,2400,,,,,,,,,,,,100 gr marijuana buds
63,23-05-2020 00:44:27,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.212,143761,53920,4771,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,23-05-2020 00:44:27,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.265,179701,67400,5964,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,23-05-2020 00:44:27,Tbilisi,HWUW,opiopi,GABAGAMA 150 shtuk,True,нет,5,Тбилиси,150 гр,0.0178,13298,4988,441,185,,,,,,,,,,,,GABAGAMA 150 shtuk
