,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Saburtalo,$,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
51,51,13-05-2020 17:29:07,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0106,2690,244,7358,,100.0,,,,,,,,,10G Hybrid Marijuana Leafs
52,52,13-05-2020 17:29:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.085,21520,1951,58866,,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,13-05-2020 17:29:07,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0308,7801,707,21339,,290.0,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
54,54,13-05-2020 17:29:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2363,59853,5427,163720,,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
55,55,13-05-2020 17:29:07,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1673,41937,3803,114714,,1559.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,56,13-05-2020 17:29:07,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0396,9926,900,27152,,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,57,13-05-2020 17:29:07,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5364,134500,12196,367910,,5000.0,,,,,,,,,METADON - 20 G.
58,58,13-05-2020 17:29:07,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0643,16113,1461,44076,,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,13-05-2020 17:29:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1168,29590,2683,80940,,1100.0,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,13-05-2020 17:29:07,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2549,64560,5854,176597,,2400.0,,,,,,,,,100 gr marijuana buds
61,61,13-05-2020 17:29:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2124,53800,4878,147164,,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,13-05-2020 17:29:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2656,67250,6098,183955,,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,13-05-2020 17:29:07,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6267,158710,14391,434133,,5900.0,,,,,,,,,180 gr marihuana persoalno
64,64,13-05-2020 17:29:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4886,123740,11220,338477,,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,13-05-2020 17:29:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7967,201750,18294,551864,,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,13-05-2020 17:29:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9029,228650,20733,625446,,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,13-05-2020 17:29:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,5380,488,14716,,200.0,,,,,,,,,KURYER..500RUB.+BONUS
68,68,13-05-2020 17:29:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,5380,488,14716,,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,13-05-2020 17:30:39,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2339,59180,5366,161880,,2200.0,,,,,,True,,,[100g] SPAIN HASH
70,70,13-05-2020 17:30:39,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1633,51992,3750,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
71,71,13-05-2020 17:30:39,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2585,82321,5938,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
72,72,13-05-2020 17:30:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,2690,244,7358,,100.0,,,,,,True,,,kur'er v Batumi
73,73,13-05-2020 17:30:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0242,6725,610,18395,,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
74,74,13-05-2020 17:30:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0242,6725,610,18395,,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
75,75,13-05-2020 17:30:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6095,403500,36588,1103729,,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
76,76,13-05-2020 17:30:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0532,13450,1220,36791,,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,77,13-05-2020 17:33:59,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0219,5649,512,15452,,210.0,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,13-05-2020 17:33:59,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0511,13047,1183,35687,,485.0,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,13-05-2020 17:33:59,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0389,9953,903,27225,,370.0,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
80,80,13-05-2020 17:33:59,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0213,5380,488,14716,,200.0,,,,,,,,True,Rabota na marki (kur'er)
