,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Авлобари,Дигоми,Varketili,Gldani,Didube,Nadzaladevi,€,Центр,Батуми,Кутаиси,desc_en
38,06-05-2020 14:16:47,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,6,нет,Тбилиси,20 гр,0.0398,27563,10252,925,379,,,,True,,,,True,,,,,20 gr Indica marijuana buds (hight quality)
39,06-05-2020 14:16:47,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0783,56508,21018,1896,777,,,,,,,,,,,,,Gashish Evro 20gr
40,06-05-2020 14:16:47,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.0997,69017,25670,2316,949,,True,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
41,06-05-2020 14:16:47,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.191,145453,54100,4881,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
42,06-05-2020 14:16:47,Tbilisi,8B31,GEOWEEDSHOP,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1785,123562,45958,4146,1699,,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
43,06-05-2020 14:16:47,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,12,Тбилиси,0.2 гр,0.0041,2836,1055,95,39,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
44,06-05-2020 14:16:47,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0168,11636,4328,390,160,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
45,06-05-2020 14:16:47,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0142,9818,3652,329,135,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
46,06-05-2020 14:16:47,Tbilisi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0343,26109,9669,877,,,,,,,,,,330,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
47,06-05-2020 14:16:47,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,39,Тбилиси,2 гр,0.0037,2545,947,85,35,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
48,06-05-2020 14:16:47,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0223,15273,5681,512,210,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
49,06-05-2020 14:16:47,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0391,26836,9981,901,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
50,06-05-2020 14:16:47,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0614,42109,15662,1413,579,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,06-05-2020 14:16:47,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.042,29091,10820,976,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,06-05-2020 14:16:47,Tbilisi,A3I9,Joookerrr,Предзаказ н-бооом 4 штуки!!!,True,нет,6,Тбилиси,4 гр,0.0063,4364,1623,146,60,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
