,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
58,58,30-04-2020 10:20:17,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2648,184224,68000,6090,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
59,59,30-04-2020 10:20:17,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6249,434767,160480,14373,5900.0,,,,,,,,,,180 gr marihuana persoalno
60,60,30-04-2020 10:20:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4872,338971,125120,11206,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
61,61,30-04-2020 10:20:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7944,552671,204000,18271,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
62,62,30-04-2020 10:20:17,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9003,626360,231200,20707,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
63,63,30-04-2020 10:20:17,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14738,5440,487,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
64,64,30-04-2020 10:20:17,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14738,5440,487,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,30-04-2020 10:20:17,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0265,18422,6800,609,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
66,66,30-04-2020 10:20:17,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0212,14738,5440,487,200.0,,,,,,,,,,Rabota na marki (kur'er)
67,67,30-04-2020 10:20:17,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6032,1105341,408000,36542,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
68,68,30-04-2020 10:22:20,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2316,162117,59840,5359,2200.0,,,,,,,True,,,[100g] SPAIN HASH
69,69,30-04-2020 10:22:20,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0116,8106,2992,268,110.0,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
70,70,30-04-2020 10:22:20,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.5317,368447,136000,12181,5000.0,,,,,,,True,,,METADON - 20 G.
71,71,30-04-2020 10:22:20,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7369,2720,244,100.0,,,,,,,True,,,kur'er v Batumi
72,72,30-04-2020 10:22:20,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,18422,6800,609,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
73,73,30-04-2020 10:22:20,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,18422,6800,609,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
74,74,30-04-2020 10:22:20,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5937,1105341,408000,36542,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
75,75,30-04-2020 10:22:20,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,36845,13600,1218,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,76,30-04-2020 10:23:52,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0197,13927,5141,460,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,30-04-2020 10:23:52,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0509,35666,13165,1179,484.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,30-04-2020 10:23:52,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.035,24539,9058,811,333.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
79,79,30-04-2020 10:23:52,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.021,14738,5440,487,200.0,,,,,,,,,True,Rabota na marki (kur'er)
